language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
ar,Arabic,#الهلال حارس قزم ولاعب وسط قلب دفاع أما أن لهذا العبث ان يتوقف مايحدث في الهلال يتطلب تدخل اعضاء الشرف لإنقاذ ا…,#الهلال حارس هاوي ولاعب وسط قلب دفاع أما أن لهذا العبث ان يتوقف مايحدث في الهلال يتطلب تدخل اعضاء الشرف لإنقاذ ا…,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,آمل أن يجدوهم ويشنقوهم عاليا,آمل أن يجدوهم ويضعوهم في العدالة,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أتمنى ان كل متخلف يمسك جوال حقه يعرف ايش قاعد يشوف او ايش قاعد يكتب…,أتمنى ان كل واحد يمسك جوال حقه يعرف ايش قاعد يشوف او ايش قاعد يكتب…,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أجل، لكن هذا الضراط جون أذكى منك بكثير,أجل، لكن جون أذكى منك بكثير,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أريدكم جميعاً لنفسي، أيتها العاهرة.,أريدكم جميعا لنفسي,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أزمة الوفيات الناجمة عن شبائه الأفيون هي نتيجة مباشرة لسياسة الحظر الغبية والفاسدة.,أزمة الموت بالأفكار هي نتيجة مباشرة لسياسة الحظر الفاسدة.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أقرباء ميامي و هافانا الصغار مجانين بما يكفي ليفعلوا هذا,إن أقرباء ميامي أي أهل مكة وهافانا الصغير أي أهل مكة يستطيعون ذلك أي جزاءه.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أكثر برهانا على أن الليبرالية قد تكون اضطرابا عقليا,المزيد من البرهان على أن الليبرالية قد تكون مشكلة,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,ألبرت أراكلين: لا يمكنني معرفة إذا كان منشورك ساخراً أو غبياً.,ألبرت أراكلين: لا يمكنني معرفة إذا كان منشورك ساخراً أو غير مدروس.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنا أمريكي قوقازي، وهؤلاء الأغبياء ذوي الرؤوس المدببة الذين يواجهون تحديات معرفية لا يمثلونني بأي حال من الأحوال.,أنا أمريكي قوقازي، وهؤلاء الأشخاص الذين يواجهون تحديات معرفية لا يمثلونني بأي حال من الأحوال.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنا لله وإنا إليه راجعون ولا حولا ولا قوة الا بالله. زهرة شبابنا تقتل بدم بارد وبايدى اقزام كنا نحسبهم وطنيين!,أنا لله وإنا إليه راجعون ولا حولا ولا قوة الا بالله. زهرة شبابنا تقتل بدم بارد وبايدى ناس كنا نحسبهم وطنيين!,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنا متأكد من أن بعضهم متحيز سياسيًا، وبعضها يغطي مؤخرته ويتظاهر بأنه لا يوجد شيء خاطئ.,أنا متأكد من أن بعضهم متحيز سياسيًا، ويتظاهر بأنه لا يوجد شيء خاطئ.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنت تعلم جيداً أنني لم أفعل عمل جاك اللعين .,أنت تعلم جيداً أنني لم أفعل شيئاً.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنت غبيا بما فيه الكفاية لفهم الدعابة.,أنت لست ذكيًا بما فيه الكفاية لفهم الدعابة.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنت مختل عقلبا ؟,أليس لديك عقل؟,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أنصار درامب المزريون يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.,أنصار درامب يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أوقفوا التغطية واجعلهم يتعفنون .,من فضلكم أوقفوا التغطية,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أوه، انها موافقة zuker، نحن غبيون جدا لنصدقك على أية حال.,أوه، انها موافقة zuker، نحن غبيون جدا للن نصدقك على أية حال.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أوه، شيء آخر، عندما يتعلق الأمر بالحياة قبل التاريخ، يا رفاق انتم أغبياء!,أوه، شيء آخر، عندما يتعلق الأمر بالحياة قبل التاريخ، يا رفاق ليستم أذكياء .,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,أي شخص غبي سيكون قادراً على فهم ذلك.,أي شخص سيكون قادراً على فهم ذلك.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,إذا جاء أي من الأطفال الذين لا يحترمون الديمقراطية، فسيكون ذلك هجرة غبية,إذا أتى أي من الأطفال الذين لا يحترمون الديمقراطية، فإنه سيكون استنزاف سيئ.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,إذاً، من الأحمق الآن؟,إذاً، من الشخص غير المطلع الآن؟,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,إذاً، ميركوسكي وسوليفان كانوا حثالة لسنوات.,إذاً، ميركوسكي وسوليفان كانوا غير جيدين لسنوات.,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,إنا نواجه في الدنيا موجة من سائقين عدوانيين جاهلين جاهلين.,نواجه موجة من السائقين العدوانيين والمستعجلين .,MultiParaDetox,MultiParaDetox,,True
ar,Arabic,إنه يعمل مع روسيا للقضاء على أمريكا والمهرجين مثلك جاهلين جدا ليلاحظوا ذلك,إنه يعمل مع روسيا للقضاء على أمريكا وأنت لم تلاحظ,MultiParaDetox,MultiParaDetox,,True
