Language,Toxic Sentence (Input),Detoxified Sentence (Output)
isiXhosa,Ulibele ukuba ungumntu ongenangqondo nje?,Ulibele ukuba ungumntu ongena lwazi?
isiXhosa,"Hamba uyokufa wedwa, asinamdla ngawe!","Ungasifaki kulongxaki yakho, asinamdla ngawe!"
isiXhosa,"Yhu, uthetha izinto ezisisenxibo nje!","Ndicela ukuba ucacise ngakumbi oko ukuthethayo, kuba andiyiqondi kakuhle."
isiXhosa,Ndiza kukwenza uzisole ngale.,Ndiyathemba ukuba uya kucamngca ngeziphumo zezenzo zakho.
isiXhosa,Uya kuhlawula into oyenzileyo.,Uyakujongana neziphumo zalento uyenzileyo.
isiXhosa,Ndiza kubophula ubuso bakho.,Ndidinga ukuwubonisa umsindo wam.
isiXhosa,Ndiza kukufumana.,Andiyi kuyivumela le nto ingadlikisi.
isiXhosa,Ndiza kukubetha,Ndicela ukuba uyeke le ndlela yokuziphatha.
isiXhosa,Ndiza kukwenza okungazalwanga.,Ndifuna ukuba sifumane isisombululo esisebenza kuye wonke umntu.
isiXhosa,Uya kuzisola ngokundila.,Ndiya kuphoxeka ukuba uwele umda ekuvunyelwene ngawo.
isiXhosa,Ndiza kukutshabalalisa.,Ndiza kwenza yonke into esemandleni am ukukhusela umdla wam. 
isiXhosa,Ndiza kukwenzakalisa.,Ndiziva ndonzakele ngamazwi / izenzo zakho.
isiXhosa,Awunokwazi ukuba kubetha ntoni.,Ndiza kukwenza indawo yam icace.
isiXhosa,Ndiza kukwenza ukubandezeleka.,Andifuni ukuba nabani na abe neengxaki.
isiXhosa,Ndiza kukufundisa isifundo.,Ndifuna ufunde kule meko.
isiXhosa,Uya kufumana into eza kuwe.,Kuya kubakho iziphumo zezi zenzo.
isiXhosa,Ndiza kwenza ubomi bakho bube lusizi.,Andonwababga yindlela ondiphethe ngayo.
isiXhosa,Uza kuzisola.,Ndifuna ukuqhubela phambili kwicala elifanelekileyo.
isiXhosa,Ndizakufumana nawe.,Ndiyakholelwa kwisigqibo esifanelekileyo.
isiXhosa,Ndiza kukwenza uhlawule.,Ndizimisele ukufuna imbuyekezo.
isiXhosa,Awusoze uyibone ezayo.,Ndiza kunxibelelana neenjongo zam.
isiXhosa,Ndiza kuphelisa le nto.,Ndifuna ukuzisa esi sigqibo esaneleyo.
isiXhosa,Udlala umdlalo oyingozi.,Ndixhalabile ngomngcipheko obandakanyekayo.
isiXhosa,Ndizakuvala.,Ndicela ukuba uyeke ukuphazamisa.
isiXhosa,Uyakufumana into ekufaneleyo.,Uxanduva lokuphendula lubalulekile.
isiXhosa,Ndiza kwenza umzekelo wakho.,Ndifuna ukuqinisekisa ukuba le nto iphinde yenzeke.
isiXhosa,Uya kuzisola ngemini odibene naye.,Ndiyazisola ngendlela esiphuhliswe ngayo intsebenzo yethu.
isiXhosa,Ndiza kususa loo mazwi ebusweni bakho.,Andonwabanga yindlela yakho.
isiXhosa,Ndiza kukwenza utye la magama.,Andivumelani nento oyithethileyo.
isiXhosa,Uya kwenzakala.,Ndikhathazekile ukuba umntu uya kukwenzakala.
isiXhosa,Ndiza kuthatha yonke into kuwe.,Ndiza kukhusela iimpahla zam.
isiXhosa,Uya kuzisola owakhe waqalisa oku.,Ndinqwenela ukuba sifumane isisombululo esinoxolo ngakumbi.
isiXhosa,Ndiza kukwenza ukuba ucele.,Ndifuna ukuba sifumane isisombululo esigcina isidima sakho kumntu wonke.
isiXhosa,Uyahla.,Ndiyakholelwa ukuba sinokufumana indlela ebhetele.
isiXhosa,Ndiza kuqinisekisa ukuba ungaze ulibale le nto.,Ndiyathemba ukuba singafunda kula mava.
isiXhosa,Ndiza kukonakalisa.,Ndiza kukhusela igama lam.
isiXhosa,Uya kuhlawula ixabiso.,Kukho iimpembelelo zemali kwezi zenzo.
isiXhosa,Ndiza kukwenza uzisole ngesi sigqibo.,Andivumelani nesi sigqibo.
isiXhosa,Ndiza kukwenza ukuba ube ufile.,Ndibuhlungu ngale meko.
isiXhosa,"Uya kufumana into eza kuwe, kwaye imbi.",Ndiyakholelwa kubulungisa.
isiXhosa,Ndiza kukwenza ukuba ubendezeleke iziphumo ongakwaziyo nokucinga.,Ndifuna ukuqinisekisa ukuba iziphumo zinhle.
isiXhosa,Ndiza kutshabalalisa igama lakho.,Ndixhalabile ngomonakalo kuwo onke amaqela abandakanyekayo.
isiXhosa,Uya kuphulukana nayo yonke into.,Ndifuna ukufumana isisombululo esinciphisa ilahleko.
isiXhosa,Ndiza kukwenzela umzekelo kwabanye.,Ndifuna ukuseka izikhokelo ezicacileyo.
isiXhosa,Uya kujongana nengqumbo yam.,Ndinomsindo kakhulu.
isiXhosa,Ndiza kungena esihogweni.,Ndibona uxinzelelo olukhulu kakhulu.
isiXhosa,Uya kuzisola ngemini owazalwa ngayo.,Ndidanile kakhulu.
isiXhosa,Ndiza kwenza ubomi bakho bube sisihogo esiphilayo.,Ndifuna ukukuphucula le meko.
isiXhosa,"Uya kufumana into oyifaneleyo, ulishumi.",Ndiyakholelwa ngokulinganayo.
isiXhosa,Ndiza kukwenza ukuba ungakhange udibane nam.,Ndiyazisola ukusebenzisana kwethu.
isiXhosa,Uza kuhlawula kakuhle ngale nto.,Oku kuya kuba neendleko ezibalulekileyo.
isiXhosa,Ndiza kuqinisekisa ukuba ungaze ulibale lo mhlazo.,Ndiyathemba ukuba singafunda kwaye sikhule kule nto.
isiXhosa,Uya kubandezeleka iziphumo zezenzo zakho.,Izenzo zinezinto ezihlaziyiweyo.
isiXhosa,Ndiza kuwe.,Ndilandela zonke iindlela zokusombulula lo mbandela.
isiXhosa,Uziphosile nomntu ongalunganga.,Undikhathazile kakhulu.
