language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
xh,isiXhosa,uthetha umsunu kwedini! URL,Uthetha izinto ezingaqondakaliyo apha!,afrihate_human_reviewed,AfriHate,dev_isixhosa_00007,True
xh,isiXhosa,yawthetha umsunu lo dzudzu yazi. URL,"Uyathetha izinto ezingaqondakaliyo, yazi.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00020,True
xh,isiXhosa,"brother wam uthi bakhe bayovotisa abantu abadala ezindlini so babuza lo makhulu uzawvotela nton yena wathi ""ndizovotela umnqundu"" 😭","brother wam uthi bakhe bayovotisa abantu abadala ezindlini so babuza lo makhulu uzawvotela ntoni yena wathi ""ndizovotela umntu"" 😭",afrihate_human_reviewed,AfriHate,dev_isixhosa_00037,True
xh,isiXhosa,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt","Inkazana, nceda ungandixeleli ukuba ndithini ngemali yam #lrt",afrihate_human_reviewed,AfriHate,dev_isixhosa_00045,True
xh,isiXhosa,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt",Akufuneki ukuba inkazana indixelele ndenze ntoni ngemali yam #lrt,afrihate_human_reviewed,AfriHate,dev_isixhosa_00045,True
xh,isiXhosa,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt",Andiyithandi le nto; umntu undixelela ukuba ndenzeni ngemali yam. #lrt,afrihate_human_reviewed,AfriHate,dev_isixhosa_00045,True
xh,isiXhosa,kwedini 😂😭😂😭😂 ungaphinde uthi masikusindise kwezi ntwana URL,"Nceda ungaphindi uthi ""masikusindise kwezi ntwana"".",afrihate_human_reviewed,AfriHate,dev_isixhosa_00095,True
xh,isiXhosa,"@username ahhh kodwa lol @username uzizwele rt @username : @username msebenzi womchamo, futsek nalowo msebenzi wakhe","@username ahhh kodwa lol @username uzizwele rt @username : @username umsebenzi ongafanelekanga, nceda shintsha lowo msebenzi wakhe",afrihate_human_reviewed,AfriHate,dev_isixhosa_00102,True
xh,isiXhosa,kanti khange nithi nilele ezifubeni? thina bantu balele begoniwe nisibiza injubaqa xa kungoku😅😎 URL,Kanti khange nithi nilele ezifubeni? Thina bantu balele begoniwe nisibiza ngamagama angalunganga ngoku 😅😎 URL,afrihate_human_reviewed,AfriHate,dev_isixhosa_00137,True
xh,isiXhosa,ulahle imenemene lakho for imenemene elilahlwe limenemene lalo ngenxa yobumenemene kwawena ube ulimenemene 🙆🏾‍♂️🙆🏾‍♂️,"Ulahle into yakho ngenxa yokuziphatha kwakho, nceda ucinge ngakumbi 🙆🏾‍♂️🙆🏾‍♂️",afrihate_human_reviewed,AfriHate,dev_isixhosa_00144,True
xh,isiXhosa,akujwayeleki ukubona isidudla somjitha whos not balling! gci.,akujwayeleki ukubona umntu othanda ukuzibonakalisa ongaphumeleli.,afrihate_human_reviewed,AfriHate,dev_isixhosa_00172,True
xh,isiXhosa,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,Unayo kodwa indawo engathi lowo muntu udlala ngezulu... ngoko ke le-tweet ingandothusi.,afrihate_human_reviewed,AfriHate,dev_isixhosa_00179,True
xh,isiXhosa,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,"Unayo, kodwa indawo engathi leli lidlala ngezulu, lo mntu... hence le tweet ayindothusi.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00179,True
xh,isiXhosa,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,"Unayo, kodwa kukho indawo engathi eli lizwe lidlala ngezulu, lo mntu... ngoko ke, ungandothusi ngale tweet.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00179,True
xh,isiXhosa,"@username ngova, kwedini boke uthule xa kuthetha u nongxowa. ubalekisa elidlagusha ngezi  politics zenu ze bmf zingazi na niks after all. yekani ukuba zii populists maan","@username ngova, kwedini bonke nceda uthobe xa kuthetha u nongxowa. Ipolitiki zenu zeBMF ibonakala i-populist; yeka ukuba ni-populists",afrihate_human_reviewed,AfriHate,dev_isixhosa_00220,True
xh,isiXhosa,@username #ukhozifmtop20 #ripmphomadonsela aw solikhumbula ixoki bakithi kwazekwabuhlungu engukuzwayo imsebenzi yakhe soze yashabalala @username luhamba phambili,"#ukhozifmtop20 #ripmphomadonsela Siyakukhumbula; kuyabuhlungu, kodwa imisebenzi yakhe ayisoze yashabalala. Luhamba phambili",afrihate_human_reviewed,AfriHate,dev_isixhosa_00229,True
xh,isiXhosa,"khona @username ndileli ndihleka phezolo, coz i came across tweets zakho uthuka esinye isidenge esikuqhela kakubi.","khona @username, ndihlekile izolo kuba ndawabona tweets zakho apho uthuka omnye umntu.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00245,True
xh,isiXhosa,rabishi lento...izinqa ezintshwame kanje URL,Le nto ayilunganga... abantu abenza oku bayenza ngendlela engalunganga kanje URL,afrihate_human_reviewed,AfriHate,dev_isixhosa_00253,True
xh,isiXhosa,@username ngathi u lunga utsotsi,@username Kubonakala ngathi ungabandakanyeka kwizinto ezingaqhelekanga,afrihate_human_reviewed,AfriHate,dev_isixhosa_00257,True
xh,isiXhosa,@username ngathi u lunga utsotsi,@username Ngathi ubonakala uthatha izinto ezingenguye zakho.,afrihate_human_reviewed,AfriHate,dev_isixhosa_00257,True
xh,isiXhosa,"itya ngomlomo bhuti, sukhupha ikaka ngawo. URL","Yitya ngomlomo, bhuti, musa ukuthetha izinto ezingalunganga.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00275,True
xh,isiXhosa,"itya ngomlomo bhuti, sukhupha ikaka ngawo. URL","Itya ngomlomo, bhuti, susa ukungcola kuwo.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00275,True
xh,isiXhosa,"itya ngomlomo bhuti, sukhupha ikaka ngawo. URL","Yitya ngomlomo, bhuti; musa ukuthetha izinto ezingalunganga.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00275,True
xh,isiXhosa,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,umntu onomkhwa wokulala nabantu abaninzi akanelisekanga ngoqabane olunye💅,afrihate_human_reviewed,AfriHate,dev_isixhosa_00286,True
xh,isiXhosa,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,Ubonakala engoneliyo ngokuba neqabane elinye💅,afrihate_human_reviewed,AfriHate,dev_isixhosa_00286,True
xh,isiXhosa,@username futsek sathana suhleka sathana asingawo la maxhegwazana uwatyayo xa ulapha ekapa moerskont,@username Ndicela ungathethi kabi malunga nala maxhegwazana xa ulapha eKapa,afrihate_human_reviewed,AfriHate,dev_isixhosa_00288,True
xh,isiXhosa,kwasho esinye isidenge sathi bayazala abanye omama,kwasho omnye umntu sathi bayazala abanye omama,afrihate_human_reviewed,AfriHate,dev_isixhosa_00301,True
xh,isiXhosa,“uthetha umsunu” 😭😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂,“uthetha into engacacanga” 😭😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂,afrihate_human_reviewed,AfriHate,dev_isixhosa_00302,True
xh,isiXhosa,"@username banganya kum. i don’t know how, but andinokwenziwa inkwenkwe olu hlobo mna.","@username bayandiphazamisa. Andazi ukuba njani, kodwa andinakunyanzeliswa ukuba ndibe yinkwenkwe enjalo.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00319,True
xh,isiXhosa,uyanuka kodwa ukwazi ukukhuluma kakhulu.,Kunuka kancinci kodwa uyakwazi ukukhuluma kakhulu.,afrihate_human_reviewed,AfriHate,dev_isixhosa_00344,True
xh,isiXhosa,kunuka ibhentse apha 😳😳😳😳😷,Kunuka apha kwibhentshi 😳😳😳😳😷,afrihate_human_reviewed,AfriHate,dev_isixhosa_00438,True
xh,isiXhosa,kunuka ibhentse apha 😳😳😳😳😷,Ibhentshi linuka apha 😳😳😳😳😷,afrihate_human_reviewed,AfriHate,dev_isixhosa_00438,True
xh,isiXhosa,@username yiyo lento niqhuba ikaka😂,@username yiyo lento niqhuba kabi😂,afrihate_human_reviewed,AfriHate,dev_isixhosa_00456,True
xh,isiXhosa,@username yiyo lento niqhuba ikaka😂,@username yiyo lento niqhuba 😂,afrihate_human_reviewed,AfriHate,dev_isixhosa_00456,True
xh,isiXhosa,@USER last night i showed @USER my whatsapp calls and azikho ezakho. wafounela umntu orongo masende akho.,Izolo ebusuku ndamkhombise u-@USER i-WhatsApp yam yeefowuni kwaye azikho ezakho. Wafowunela omnye umntu.,afrihate_human_reviewed,AfriHate,dev_isixhosa_00489,True
xh,isiXhosa,kulapho ke mna ndithi umnqundu wabo. simple! URL,"Kulapho ndithi khona, ""lumka ngazo."" Kulula! I-URL",afrihate_human_reviewed,AfriHate,dev_isixhosa_00521,True
xh,isiXhosa,kulapho ke mna ndithi umnqundu wabo. simple! URL,kulapho ke mna ndithi ingxaki yabo. simple!,afrihate_human_reviewed,AfriHate,dev_isixhosa_00521,True
xh,isiXhosa,yes ngawafaka amacici nami but ngokuhamba kwesikhath ngawayeka! angisayizwisisi nje kwelova namacici! ivele injubaqa izalifaka ekhaleni,"Ndazifaka nam amacici, kodwa ngokuhamba kwexesha ndawayeka. Andisaziqondi kakuhle indlela abantu abathanda ngayo amacici; bazifaka nje ezindlebeni.",afrihate_human_reviewed,AfriHate,dev_isixhosa_00532,True
xh,isiXhosa,@username msunu kanyoko wena.. ungathola isikhathi sihloniphe,Ungathola ixesha lokuhlonipha?,afrihate_human_reviewed,AfriHate,dev_isixhosa_00557,True
xh,isiXhosa,@USER labuya ihule lam 🥺,@USER intombi yam ibuyile,afrihate_human_reviewed,AfriHate,dev_isixhosa_00561,True
xh,isiXhosa,@USER labuya ihule lam 🥺,@USER labuya sithandwa sam 🥺,afrihate_human_reviewed,AfriHate,dev_isixhosa_00561,True
xh,isiXhosa,@USER zogulisa iinduna zethu wena mgodoyi kutheni ungayohlala kwakho or uyobabusy kule mortuary yakho etonoreraaaaa kamnandi didi..,@USER uyenza iinduna zethu zigule; kutheni ungaqhubeki uhlale kwakho okanye uye usebenzela kwimortuary yakho?,afrihate_human_reviewed,AfriHate,test_isixhosa_00027,True
xh,isiXhosa,niyathanda  undenza  ihule mxm,niyathanda undenza ndibe nomfanekiso ongafanelekanga,afrihate_human_reviewed,AfriHate,test_isixhosa_00028,True
xh,isiXhosa,niyathanda  undenza  ihule mxm,Niyathanda undenza ndizive ndingahlonitshwa,afrihate_human_reviewed,AfriHate,test_isixhosa_00028,True
xh,isiXhosa,"utyiwe zingcongconi kabuhlungu kufike isibhanxa sikubuze "" lovebite yona udibanaphi nayo ?"" URL","Ndityiwe ziingcongconi, kubuhlungu, kufike umntu wandibuza ""lovebite yona, udibanaphi nayo?""",afrihate_human_reviewed,AfriHate,test_isixhosa_00074,True
