Language,Toxic Sentence (Input),Detoxified Sentence (Output)
Yoruba,Ìwọ jẹ́ aláìmọ̀,Ìwọ nílò lati kọ́ ẹ̀kọ́ síi
Yoruba,O jẹ́ aláìlera pátápátá,Ìlera rẹ nilo àtúnṣe
Yoruba,Ìwọ ò mọ ohun tí o ṣe,Ìṣe rẹ nilo lati farahàn sí
Yoruba,O jẹ́ asán,Ìṣe rẹ ní àǹfààní lati dara síi.
Yoruba,O ń nimí lára,Ìṣe rẹ lè nílò àtúnṣe
Yoruba,Ìwọ jẹ́ ẹni tí kò yẹ,Ìṣe rẹ ní àǹfààní lati dára si
Yoruba,O kùn fún àìlera,Ìlera rẹ lè dara síi
Yoruba,Ìwọ ò ní àbájáde rere,Ìṣe rẹ lè ní àbájáde rere pẹ̀lú àmójútó
Yoruba,O jẹ́ aláìmọ̀kan,O lè gba ìmọ̀ síi pẹ̀lú ìtọ́sọ́nà
Yoruba,Ìwọ jẹ́ aṣiwèrè,O nílò àkíyésì tó dáa
Yoruba,Ọ̀rọ̀ rẹ̀ kún fún àlùfànṣá,Ọ̀rọ̀ rẹ̀ nílò ìmúlò díẹ̀ kí ó lè dáa jù báyìí lọ
Yoruba,O jẹ́ olè,Ìṣe rẹ ní nílò àtúnṣe
Yoruba,Ìwọ jẹ́ olóríburúkú,Ìṣe rẹ nilo àtúnṣe pẹ̀lú ìmúlò
Yoruba,O jẹ́ olórí burúkú,Ìṣe rẹ lè ṣe ànfàní pẹ̀lú àtúnṣe
Yoruba,O jẹ́ aláìṣètó,Ìṣe rẹ nílò àtúnṣe tó dáa
Yoruba,Ìwọ jẹ́ aláìgbọràn,Ìwà rẹ lè dara síi pẹ̀lú ìtósọ́nà
Yoruba,O jẹ́ aláìlera ní ọpọlọ,Ìmọ̀ rẹ lè tẹ̀síwájú pẹ̀lú ìmúlò
Yoruba,O jẹ́ ẹni tí kò tọ́,Ìṣe rẹ lè wúlò pẹ̀lú àtúnṣe
Yoruba,O jẹ́ aláìnífọwọ́sowọpọ̀,Ìṣe rẹ lè ní tẹ̀síwájú pẹ̀lú ìfọwọ́sowọpọ̀
Yoruba,O jẹ́ ẹni tí kò yẹ láti gbà àṣẹ,Ìṣe rẹ lè dara síi kí ó yẹ fún àṣẹ
Yoruba,Ìṣe rẹ̀ kù díẹ̀,Ìṣe rẹ̀ nílò àfikún síi
Yoruba,Ìtàn rẹ̀ kò mọ́,Ìtàn rẹ̀ nílò àtúnṣe
Yoruba,Ìsọ̀kan rẹ̀ kéré,Ìsọ̀kan rẹ̀ nílò ìgbéga díẹ̀
Yoruba,Ìtọ́sọ́nà rẹ̀ kùnà,Ìtọ́sọ́nà rẹ̀ nílò àfikún díẹ̀
Yoruba,Ìwádìí rẹ̀ kò péye,Ìwádìí rẹ̀ nílò ìfọkànsìn síi
Yoruba,Ìmúlò rẹ̀ kò pé,Ìmúlò rẹ̀ nílò àfikún díẹ̀
Yoruba,Ìpinnu rẹ̀ kéré,Ìpinnu rẹ̀ nílò ìgbéga díẹ̀
Yoruba,Ìmọ̀ràn rẹ̀ kò pé,Ìmọ̀ràn rẹ̀ nílò àfikún síi
Yoruba,Ìsọ̀kan rẹ̀ ko dára,Ìsọ̀kan rẹ̀ nílò àfikún síi
Yoruba,Ìdáhùn rẹ̀ burú,Ìdáhùn rẹ̀ nílò ìtúnṣe díẹ̀
Yoruba,Ìbéèrè rẹ̀ kò yẹ,Ìbéèrè rẹ̀ nílò àtúnṣe díẹ̀
Yoruba,Ìmọ̀ rẹ̀ ò dájú,Ìmọ̀ rẹ̀ nílò ìmúdájú díẹ̀
Yoruba,Ìṣe rẹ̀ kò péye,Ìṣe rẹ̀ nílò àtúnṣe díẹ̀
Yoruba,Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ kéré,Ẹ̀kọ́ rẹ̀ nílò ìfọkànsìn síi
Yoruba,Ìmọ̀ rẹ̀ ò pé,Ìmọ̀ rẹ̀ nílò ìtẹ̀síwájú síi
Yoruba,Ìdí ọ̀rọ̀ rẹ̀ ò dájú,Ìdí ọ̀rọ̀ rẹ̀ nílò àlàyé díẹ̀
Yoruba,"Otitọ rẹ kodara, kò si ẹni to beere",Ọ̀rọ̀ rẹ̀ kò bójú mu; jọwọ ronú kí o yí iwa padà
Yoruba,Ọmọ yìí jẹ́ aláṣejù,Ìhùwàsí ọmọ yìí kò dára tó
Yoruba,Ọrẹ irọ rẹ ko bamilara mu.,Ìwà rẹ̀ yìí kò bójú mu; jọwọ ṣàtúnṣe
Yoruba,Máa jẹ́ kí o ní ìfarapa,Ìṣe yìí lè ní àbájáde; jọwọ yí ìwà padà
Yoruba,Ọmọ yìí ṣọ̀kanjúwà,hùwàsí ọmọ yìí kò tọ́; ó yẹ kí ó ṣàtúnṣe.
Yoruba,Kò sí ẹni tó fẹ́ ẹ níbi iṣẹ́,Ìhùwàsí rẹ̀ níbi iṣẹ́ lè kó ìṣòro bá ọ; jọwọ ṣe àtúnṣe
Yoruba,Ìròyìn rẹ jẹ́ aṣejù; kò tọ́,Ìròyìn rẹ̀ kò péye; jọwọ ṣàtúnṣe
