language,source_id,toxic,detox,afrihate_label,judge_decision,human_decision,human_comments,edited_detox
Yorùbá,test_yoruba_00244,"""gbabe olofo lon binu ologo! URL",gbabe eni ti ko tii saseyori lon binu ologo! URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01135,"""@USER neville way be olofo oloriburuku.""",@USER neville way dey talk too much.,Abuse,accepted,,,
Yorùbá,train_yoruba_01754,"""@USER 'o se lekini olule, o se lekeji olule, igba to se lori eleketa totun lule, o sunkun lori television'.""","""o se lekini, o se lekeji, igba to se lori eleketa tuntun ko saseyori, o sunkun lori television.""",Abuse,accepted,,,
Yorùbá,train_yoruba_03325,"""gbé sénlé ko soro soké werey #endsars #endpolicebrutality""",gbé sénlé ko soro soké #endsars #endpolicebrutality,Abuse,accepted,,,
isiXhosa,train_isixhosa_00712,"@USER uqinisile, vele uyanya mgodoyi","@USER uqinisile, vele uyasaba",Abuse,accepted,,,
isiXhosa,train_isixhosa_01028,@USER nasi esinye isibhanxa #blocksenzoooou URL,@USER nasi esinye umntu onengxaki #blocksenzoooou URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_01206,"@USER igqwirha elenze lepizza liselitsha, lenza umatric sana. wow!","@USER umpheki owenze le pizza intsha, wenze into emangalisayo kakhulu. wow!",Abuse,accepted,,,
isiXhosa,train_isixhosa_02047,@USER izwe lenzeni mdidi wakho?,"@USER izwe lenzeni, mhlobo wakho?",Abuse,accepted,,,
isiXhosa,train_isixhosa_02411,uyayinxila ikaka 😂 URL,Uyaphoxa kakhulu 😂 URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01273,"""gbogbo yin ti ya werey URL",Gbogbo yín nílò láti ronú dáadáa.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00202,ó fi omi abíyá nu wèrè lójú,ó fi omi abíyá nu aláìlera ọpọlọ lójú,Abuse,accepted,,,
Yorùbá,train_yoruba_03404,"""olofo lo n binu ologo. #k1liveinconcert #k1llveinconcert URL",Eni ti ko tii se aseyori lo n binu ologo. #k1liveinconcert #k1llveinconcert URL,Abuse,accepted,,,
Yorùbá,train_yoruba_03319,"""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆""",imole ati egbe pdp maa padanu ni osun ni ojo saturday,Hate,accepted,,,
Yorùbá,train_yoruba_01000,lókè ọya níbí orin òyìnbó ni àwon ẹgbẹ́ akórin ṣọ́ọ̀ṣì wa ma n kọ bíi ọ̀pẹ́ẹ̀rẹ̀ ṣùgbón a ṣe ìsìn orin kan níjọ́sí wọ́n bá pe onílù kan wa okùnrin yìí ma gbá ìlù oooo háà àjẹbí lógbọdọ̀ jẹ́ọmọ àyàn tómọ èdè ìlù ni,Lókè ọya níbí orin òyìnbó ni àwọn ẹgbẹ́ akórin ṣọ́ọ̀ṣì wa máa ń kọ bíi ẹni ń tẹ̀lé ṣùgbọ́n a ṣe ìsìn orin kan níjọ́sí wọ́n bá pe onílù kan wá okùnrin yìí máa gbá ìlù oooo háà àjẹbí ló gbọ́dọ̀ jẹ́ ọmọ Àyàn tó mọ èdè ìlù ni,Abuse,accepted,,,
Yorùbá,test_yoruba_00386,"""orí ẹ dàrú dànù URL",O dà bí ẹni pé o ní ìdàrú díẹ̀ URL,Abuse,accepted,,,
Yorùbá,dev_yoruba_00374,"""eranko like proper eranko lo mo elomi ninu yin""",Ìwa díẹ̀ nínú yín nílò ìtúnṣe gangan.,Abuse,accepted,,,
Yorùbá,train_yoruba_00671,"""@USER oloriburuku ni bobo yen sha""",@USER bobo yen ni iwa buburu sha,Abuse,accepted,,,
Yorùbá,test_yoruba_00137,"""gbogbo yin ti ya werey papo😂😂 URL",gbogbo yin ti n ṣe aṣiṣe papo 😂😂,Abuse,accepted,,,
Yorùbá,train_yoruba_01744,"""@USER oriwon ti buru se!!""",@USER Ìrònú rẹ nílò ìtúnṣe díẹ̀!!,Abuse,accepted,,,
Yorùbá,train_yoruba_03148,àṣìgbà àṣìgbọ́ ẹ̀sìn ìgbàlódé sọ elòmíì di sọ̀bọ̀dìyẹsà kò lọ́gbọ́n nínú mọ́ èrò ọkàn rẹ̀ ni pé ọmọèṣù ló ń lo ọṣẹ dúdú,"àṣìgbà àṣìgbọ́ ẹ̀sìn ìgbàlódé sọ elòmíì di aláìmọ̀kan; kò lọ́gbọ́n nínú mọ́, èrò ọkàn rẹ̀ ni pé ẹni tí kò dara ló ń lo ọṣẹ dúdú",Hate,accepted,,,
Yorùbá,train_yoruba_01493,idí tí mo fi pèé bẹ́ẹ̀ ni pé ní ìbẹ̀rẹ̀pẹ̀pẹ̀ àwọn abirùn nílé ìwòsàn ní wọ́n dá ìdíje yìí sílẹ̀ fún,idí tí mo fi pèé bẹ́ẹ̀ ni pé ní ìbẹ̀rẹ̀pẹ̀pẹ̀ àwọn ènìyàn tó ní àìlera nílé ìwòsàn ni wọ́n dá ìdíje yìí sílẹ̀ fún,Abuse,accepted,,,
Yorùbá,dev_yoruba_00153,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin àgbèrè nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi gbégbáa ọ̀dọ́kọ,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin náà nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi lọ bá ọkùnrin mìíràn,Abuse,accepted,,,
Yorùbá,train_yoruba_02920,Awon Clown gbogbo.,Gbogbo won nilo lati dara sii.,Abuse,accepted,,,
Yorùbá,train_yoruba_00206,"""tanla takus alatarodo ti oun gbe in amuloko.. omo ale jati jati URL",Alátàròdò tí ó ń gbé ní Amuloko... ìwà rẹ nílò ìtúnṣe.,Abuse,accepted,,,
