language,toxic_input,detox_output,source,split
hi,जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया,आस मोहम्मद को गिरफ्तार किया गया,MultiParaDetox,hi
hi,मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए ,मैच फिनिश कर देना चाहिए  ज्यादा देर नहीं करनी चाहिए ,MultiParaDetox,hi
hi,देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा ,इसपे तेरा मुह नही खुलेगा,MultiParaDetox,hi
hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ,MultiParaDetox,hi
hi,ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया,ममता_बनर्जी ने शाह को औकात पे ला दिया,MultiParaDetox,hi
hi,देखिए आज की रिपोर्ट अमीश भड़वा से,देखिए आज की रिपोर्ट बेकार अमीश से,MultiParaDetox,hi
hi,यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |,यही एक आखरी रास्ता हो सकता है बाकी बेकार लोग किसी के नहीं होंगे |,MultiParaDetox,hi
hi,चुप मादरचोद मेरी बाइक तुमने तोड़ी ,चुप कर अब मेरी बाइक तुमने तोड़ी,MultiParaDetox,hi
hi,अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?,अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?,MultiParaDetox,hi
hi,मोदी सूअर का पीला भी तो चुप है ,मोदी भी तो चुप है,MultiParaDetox,hi
hi,अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?    ,अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?,MultiParaDetox,hi
hi,मादरचोद दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया,वह दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया,MultiParaDetox,hi
hi,मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?,उधर नेटवर्क का प्रॉब्लम है तो सिम कार्ड क्यों इश्यू करते हो उस एरिया में?,MultiParaDetox,hi
hi,साले की शक्ल ही सूअर जैसी लग रही है। जैसा काम वैसी शक्ल । ,उसकी शक्ल ही बेकार सी लग रही है | जैसा काम वैसी शक्ल । ,MultiParaDetox,hi
hi,समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।,समस्या तुम जैसे ढोंगी पुजारी है।,MultiParaDetox,hi
hi,रंडि के पैदाइस कुछ नहि बोलेगे ?,यह लोग कुछ नहि बोलेगे ?,MultiParaDetox,hi
hi,इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।,इसको ऐसा सबक सिखाओ कि किसी दूसरी औरत को कभी गंदी नजर से ना देखे |,MultiParaDetox,hi
hi,इन सालों की गांड पर लात मार के बाहर कर देना चाहिए मादरचोद रास्ता जाम किये बैठा है,इन को जबरदस्ती बाहर कर देना चाहिए  रास्ता जाम किये बैठा है,MultiParaDetox,hi
hi,चला है लोडा एक्सपर्ट बनने...,चला है एक्सपर्ट बनने...,MultiParaDetox,hi
hi,"भड्वा, तल्वे चातु, कुत्ते से भी बडा कुत्ता देखना हो तो तुजे देख लेना चाहिये",अगर इस्से भी खराब इंसान देखना है तो तुम्हें देखना चाहिए,MultiParaDetox,hi
hi,"कभी तो अपने कॉम की गंदगी को साफ करो, हलाला, तहर्रूष, मुताह",कभी तो अपने कॉम की गंदगी को साफ करो,MultiParaDetox,hi
hi,इस सुअर के बच्चे ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।,इस बेकार आदमी ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।,MultiParaDetox,hi
hi,सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब ,बेकार आदमी इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब,MultiParaDetox,hi
hi,तुम लोग सालों नंगे कर के मारे जाओगे सुवर की औलाद,तुम लोगों का अंजाम अच्छा नहीं होगा ,MultiParaDetox,hi
hi,"अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी  और अन्याय तीनों है जो आपके यहां हो रहा है","अगर ये गलत है तो जो जसोदाबेन के साथ हो रहा है वो पक्षपात, गलत और अन्याय तीनों है जो आपके यहां हो रहा है",MultiParaDetox,hi
hi,भोसडी बालो तुम ही अपनी बहनो को भेजते हो चुदबाने इन लिव-इन रिलेशनशिप के नाम पर,तुम ही अपनी बहनो को लिव-इन रिलेशनशिप में रहने की इजाजत देते हो ,MultiParaDetox,hi
hi,सूअर के पिछवाड़े मे और बाथरुम मे अपनी बेटी को ढूंढ रहा है,अपनी बेटी को हर जगह ढूंढ रहा है ,MultiParaDetox,hi
hi,काहे के प्रोफेशनल बे भड़वा गिरी और दलाली के ?,काहे के प्रोफेशनल बे गलत काम करने के ?,MultiParaDetox,hi
hi,और ये रोहित ने घुसेड़ा पहला छक्का गांड में..,और ये रोहित ने मारा पहला जबरदस्त छक्का..,MultiParaDetox,hi
hi,एड्रेस पर भोसड़ी के भेज रहा हू ,एड्रेस पर तेरे भेज रहा हू ,MultiParaDetox,hi
hi,भोंसड़ी के तेरे पिछवाड़े में कांग्रेस का पंजा पड़ेगा तो समझ मे आएगा,जब कांग्रेस जीतेगी तभी तुझे समझ मे आएगा ,MultiParaDetox,hi
hi,कुछ लोग तो अपने बायो मे फाउंडर तो ऎसे लिखेंगे कि जैसे कोई बड़ी सी कंपनी खोल रखी है. हट भेनचोद.,कुछ लोग तो अपने बायो मे फाउंडर तो ऎसे लिखेंगे कि जैसे कोई बड़ी सी कंपनी खोल रखी है.,MultiParaDetox,hi
hi,ये हराम का पिल्ला हरामखोर हरामी है जिस का खाता है उसी में ये हरामखोर छेद करता है।।,ये धोखेबाज जिस का खाता है उसी के साथ धोखा करता है।।,MultiParaDetox,hi
hi,तू जेएनयू में झांठ नहीं उखाड़ता भोसडीके,तू जेएनयू में कुछ नहीं कर पाता समझे,MultiParaDetox,hi
hi,ये हराम की खाने वाले पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती,ये भ्रष्ट पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती,MultiParaDetox,hi
hi,"अभिनेत्री ने अभिनय हराम बता फिल्में छोड़ीं। तो क्या सायरा,  शबाना,  सलमान,  शाहरुख , अमीर, आदि हरामी हैं ?","अभिनेत्री ने अभिनय हराम बता फिल्में छोड़ीं। तो क्या सायरा,  शबाना,  सलमान,  शाहरुख , अमीर, आदि गलत काम कर रहे हैं ?",MultiParaDetox,hi
hi,मूर्खो! ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?,ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?,MultiParaDetox,hi
hi,भड़वे के पास कुत्ता जैसा नाक है हरामखोर पत्रकार,उस चापलूस पत्रकार को तुरंत सब कुछ पता चल जाता है ,MultiParaDetox,hi
hi,अब तो भेनचोद बेइज्जती को भी शर्म आ रही हो गई |,अब तो बेइज्जती को भी शर्म आ रही हो गई |,MultiParaDetox,hi
