language,toxic_input,detox_output,source,split
de,"#LandderVollidioten #geisteskrank - ""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ....","""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ....",MultiParaDetox,de
de,#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP,#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP,MultiParaDetox,de
de,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!,MultiParaDetox,de
de,"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht","So eine Person, lässt Kinder im Krieg allein und Fahnenflucht",MultiParaDetox,de
de,"ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?","ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?",MultiParaDetox,de
de,Wer will ein Hering So Dumm wie die Göring🤯,Wer will ein Hering So schlau wie die Göring🤯,MultiParaDetox,de
de,Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,MultiParaDetox,de
de,Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD,Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD,MultiParaDetox,de
de,Verdammt die Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!,MultiParaDetox,de
de,Der Fettsack soll mal besser den Kopf zu machen.,Der Mann soll mal besser den Kopf zu machen.,MultiParaDetox,de
de,"RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !","RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !",MultiParaDetox,de
