pair_id,group_id,language,toxic_input,detox_output,source,orig_split,split,source_row_index
am-0000,am-g0382,am,ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን የዛሬ ወርም አርድተኘን ነበር ??,እሳቸው ስንቴ ነው ሞቱ ብለህ የምትነግረን ?,MultiParaDetox,am,reserve,0
am-0002,am-g0380,am,ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ኣንተ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ከትግራይ ህዝብ አንሳ ኣንተ ዲቃላ የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,በትግራይ ህዝብ ላይ ተገቢ ያልሆኑ ነገሮችን ከመፈጸም ብተቆጠብ የተሻለ ነው፡፡,MultiParaDetox,am,reserve,2
am-0005,am-g0373,am,ደደብ ለምን አንተ አትሞትም ለኢትዮጽያ አንድነት ከሆነ አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ድንጋይ ራስ መጀመርያ ሰው ሁን,የኢትዮጵያን አንደነትም ሰው ሳይሞት ማምጣት መቻል ያስፈልጋል፡፡,MultiParaDetox,am,reserve,5
am-0008,am-g0192,am,አንተ ውታፍ ነቃይ የትላንቱን ዲቤት አየህው አንገትን የሚያስደፋ እንዳንተ አይነቱን በቁሙ የሚቀብር ነው ከአብን ጋር ወደፊት ደደብ ዲቃላ,የትላንቱን ክርክር አየህው በጣም ጠንካራና የምትሉትን ያሳጣ ነበር,MultiParaDetox,am,reserve,8
am-0010,am-g0309,am,ወሬኛ በለው ባክህ አሁን ነው ይሄ የሚታየው ግደል ተጋደል ሲል ከርሞ:: መገለባበጥማ ይችሉበታል,ትርጉም የሌለው ነገር ነው አሁን የሚናገረው ፤ አሁን ነው ይሄ የሚታየው ለጦርነት ሲያነሳሳ ከርሞ :: ሀሳብን እንደቀልድ መቀየር ይችሉበታል,MultiParaDetox,am,reserve,10
am-0012,am-g0214,am,አንቺ ደደብ ስለ ሃገርሽ የምታስቢ ከሆነ ወሬሽን ከምትነፊ አንድ የዳቦ ለተራበው የትግራይ ምስኪኑ ህዝብ ብትረጅው ይሻላል,ስለ ሃገርሽ የምታስቢ ከሆነ ሌላ ነገር ትተሽ  አንድ የዳቦ ለተራበው የትግራይ ምስኪኑ ህዝብ ብትረጅው ይሻላል,MultiParaDetox,am,reserve,12
am-0013,am-g0063,am,መፅሀፍ ማለት አንቺ ተጋድመሽ እንዳሮጌ እርግብ አልጋላይ የምታጎላጂጂበት ማለት ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,መፅሀፍ ማለት አንቺ እንደ ነገሩ ጋደም ብለሽ  ዝምብሎ የሚነበብ ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,MultiParaDetox,am,reserve,13
am-0014,am-g0212,am,አንቺ ምነው እንዲህ ቅጥል አልሽ የሰው ድምጽ ለማፈን ብለሽ ነው ደደብ ሂጅይ እዛ የህወሀት ቡችላ።,አንቺ በዚህ ደረጃ ልትበሳጪ አይገባም ሰውም ድምፁን በነፃነት ማሰማቱ ተገቢ ነው ፡፡,MultiParaDetox,am,reserve,14
am-0015,am-g0260,am,እኔ አልተረዳሁም ምንድነው የምትቀባጥረው? ማን አንተን የብዙሀኑ ህዝብ ተወካይ አደረገህ? ወሬኛ ብሄርተኛ በቃ ዘራፍ ለማለት ትንቀዠቀዣላችሁ.,እኔ አልተረዳሁም ምንድነው እያልክ ያለኸው? ማን አንተን የብዙሀኑ ህዝብ ተወካይ አደረገህ? በቃ ዘራፍ ለማለት ትቸኩላላችሁ.,MultiParaDetox,am,reserve,15
am-0016,am-g0075,am,ምን እገባሽ እዚያው የአረብ ባርነትሽ ይቀብርሻል ባንዳን ተጠቅመው ነው የሚቀብሩት ይሆም እውነት የማይቀር ነው::,ይኸ አንቺን አይመለከትም እዚያው አረብ ሀገር ስራሽን ስሪ,MultiParaDetox,am,reserve,16
