language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
yo,Yorùbá,"""awon eleyi ti ya werey 🤣🤣🤣 URL",awon eleyi ti ko ro o daadaa 🤣🤣🤣 URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00041,True
yo,Yorùbá,"""awon eleyi ti ya werey 🤣🤣🤣 URL",awon eleyi ti ṣe aṣiṣe 🤣🤣🤣 URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00041,True
yo,Yorùbá,"""awon eleyi ti ya werey 🤣🤣🤣 URL",awon eleyi ti n huwa ajeji 🤣🤣🤣 URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00041,True
yo,Yorùbá,Mi ò gbádùn ohun aláìlérè yẹn rárá.,"I truly enjoy it—the way it is, I really enjoy it.",afrihate_human_reviewed,AfriHate,dev_yoruba_00069,True
yo,Yorùbá,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin àgbèrè nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi gbégbáa ọ̀dọ́kọ,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin náà nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi lọ bá ọkùnrin mìíràn,afrihate_human_reviewed,AfriHate,dev_yoruba_00153,True
yo,Yorùbá,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin àgbèrè nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi gbégbáa ọ̀dọ́kọ,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin náà ni kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi lọ bẹ̀rẹ̀ owó ọ̀dọ́ ọkùnrin,afrihate_human_reviewed,AfriHate,dev_yoruba_00153,True
yo,Yorùbá,"""@username oro werey...oro ofo""",@username oro ti ko da lori...oro ti ko ni itumo,afrihate_human_reviewed,AfriHate,dev_yoruba_00171,True
yo,Yorùbá,"""set awon omo buruku #unilag #madeinlagos""",set awon omo #unilag #madeinlagos,afrihate_human_reviewed,AfriHate,dev_yoruba_00183,True
yo,Yorùbá,"""set awon omo buruku #unilag #madeinlagos""",set awon eniyan ti iwa won ko daa #unilag #madeinlagos,afrihate_human_reviewed,AfriHate,dev_yoruba_00183,True
yo,Yorùbá,èyí ti já irọ́ àwọn òǹpìtàn èké tí ó sọ pé òkèèrè ni a ti mú owó ẹyọ wọ ilẹ̀ adúláwọ̀,èyí ti já irọ́ àwọn òǹpìtàn kan tí ó sọ pé òkèèrè ni a ti mú owó ẹyọ wọ ilẹ̀ adúláwọ̀,afrihate_human_reviewed,AfriHate,dev_yoruba_00240,True
yo,Yorùbá,"""olórí burúkú ni gbogboyin URL",Gbogbo yín nílò láti dara síi URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00260,True
yo,Yorùbá,"""@username man utd je ìkíni olule, o je ìkejì olule, o jẹ iketa olule, o jẹ ekerin olule, emi lo kan, e mi iya yi kan #mcimun""","@username Man Utd ti padanu lẹ́ẹ̀kan, o ti padanu lẹ́ẹ̀mejì, o ti padanu lẹ́ẹ̀mẹ́ta, o ti padanu lẹ́ẹ̀rin, emi lo kan, ìyà yìí kan mi #mcimun",afrihate_human_reviewed,AfriHate,dev_yoruba_00306,True
yo,Yorùbá,oníṣẹ́ ìjọ ọba tó bẹ́ orí ọ̀daràn sí mògún yóò ti gba owó iṣẹ́ lọ́wọ́ ọ̀daràn kí ó tó ṣiṣẹ́,oníṣẹ́ ìjọ ọba tó bẹ́ orí ọ̀daràn sí mògún ó lè ti gba owó iṣẹ́ lọ́wọ́ ọ̀daràn kí ó tó ṣiṣẹ́,afrihate_human_reviewed,AfriHate,dev_yoruba_00320,True
yo,Yorùbá,"""odaran ni bobo yí sa URL",Bobo yìí ní ọ̀ràn òfin sa,afrihate_human_reviewed,AfriHate,dev_yoruba_00348,True
yo,Yorùbá,"""omo ale ni eleyi o URL",Iwa ti eleyi n hu ko daa o,afrihate_human_reviewed,AfriHate,dev_yoruba_00369,True
yo,Yorùbá,"""omo ale ni eleyi o URL",Iwa eni yii ko dara o URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00369,True
yo,Yorùbá,"""eranko like proper eranko lo mo elomi ninu yin""",Ìwa díẹ̀ nínú yín nílò ìtúnṣe gangan.,afrihate_human_reviewed,AfriHate,dev_yoruba_00374,True
yo,Yorùbá,"""eranko like proper eranko lo mo elomi ninu yin""",Díẹ̀ ninu yín nílò kí ìwà yín dara síi gan-an.,afrihate_human_reviewed,AfriHate,dev_yoruba_00374,True
yo,Yorùbá,"""werey la pe keee ko ki n tan lara omo’ba koma ku dansaki😂 URL",aláìlera la pe keee ko ki n tan lara omo’ba koma ku dansaki😂 URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00384,True
yo,Yorùbá,"""@USER ori eleyi to buru bayi o""",ero eleyi nilo itunse die bayi o,afrihate_human_reviewed,AfriHate,dev_yoruba_00516,True
yo,Yorùbá,"""@USER ori eleyi to buru bayi o""",Èrò eléyìí kò dáa báyìí o,afrihate_human_reviewed,AfriHate,dev_yoruba_00516,True
yo,Yorùbá,"""@USER ori eleyi to buru bayi o""",@USER Ipo yii kii ṣe ohun ti a nireti.,afrihate_human_reviewed,AfriHate,dev_yoruba_00516,True
yo,Yorùbá,"""@username ori eleyi to buru bayi o""",@username ero re ko daa bayi o,afrihate_human_reviewed,AfriHate,dev_yoruba_00516,True
yo,Yorùbá,"""oloshi ni parrot yi oooo""",parrot yi ko dara oooo,afrihate_human_reviewed,AfriHate,dev_yoruba_00552,True
yo,Yorùbá,"""oloshi ni parrot yi oooo""",parrot yi nilo lati dara sii oooo,afrihate_human_reviewed,AfriHate,dev_yoruba_00552,True
yo,Yorùbá,"""@USER olori ibu omo, omo ale jatijati.""",@USER Ìwà rẹ̀ nílò ìtúnṣe.,afrihate_human_reviewed,AfriHate,dev_yoruba_00634,True
yo,Yorùbá,"""@username eyan @username 😂  awon olodo 😋😋😋😋""",@username eyan @username 😂  awon ti nilo lati ko eko sii 😋😋😋😋,afrihate_human_reviewed,AfriHate,dev_yoruba_00638,True
yo,Yorùbá,"""@username awon iran baba e ni omo ale, o de ni kure… iwo oloriburuku omo iran kiran, adojutini omo lawujo… o ni sorire !""",@username Ìwa rẹ̀ kò dáa… ìwọ ń hùwà adojútini ní awujọ… ṣe àtúnṣe.,afrihate_human_reviewed,AfriHate,dev_yoruba_00644,True
yo,Yorùbá,"""oloriburuku ni gbogbo yin😂😂😂 URL",gbogbo yin nilo lati dara sii😂😂😂 URL,afrihate_human_reviewed,AfriHate,dev_yoruba_00707,True
yo,Yorùbá,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ wèrè ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ aláìlera ọkàn ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,afrihate_human_reviewed,AfriHate,dev_yoruba_00714,True
yo,Yorùbá,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa buburu lo poju ninu yin 😎😎😎😎,afrihate_human_reviewed,AfriHate,test_yoruba_00023,True
yo,Yorùbá,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa ti ko daa lo poju ninu yin 😎😎😎😎,afrihate_human_reviewed,AfriHate,test_yoruba_00023,True
yo,Yorùbá,"""oniranu omo lo poju ninu yin 😎😎😎😎""",omo ti ko ni iwa rere lo poju ninu yin 😎😎😎😎,afrihate_human_reviewed,AfriHate,test_yoruba_00023,True
yo,Yorùbá,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa ti ko dara lo poju ninu yin 😎😎😎😎,afrihate_human_reviewed,AfriHate,test_yoruba_00023,True
yo,Yorùbá,"""oniranu omo lo poju ninu yin 😎😎😎😎""",awon ti iwa won ko dara lo poju ninu yin 😎😎😎😎,afrihate_human_reviewed,AfriHate,test_yoruba_00023,True
yo,Yorùbá,"""@username for social media polling center🙄😴😁   awon wèrèy jatijati""",@username for social media polling center🙄😴😁   awon ti ko dara,afrihate_human_reviewed,AfriHate,test_yoruba_00033,True
yo,Yorùbá,"""@username for social media polling center🙄😴😁   awon wèrèy jatijati""",@username for social media polling center🙄😴😁   awon yen nilo itunse gidigidi,afrihate_human_reviewed,AfriHate,test_yoruba_00033,True
yo,Yorùbá,"""@username oloriburuku ni bàbá rẹ̀""",Bàbá rẹ̀ lè dara síi.,afrihate_human_reviewed,AfriHate,test_yoruba_00071,True
yo,Yorùbá,"""@username oloriburuku ni bàbá rẹ̀""",@username Ìṣe bàbá rẹ̀ kò dáa.,afrihate_human_reviewed,AfriHate,test_yoruba_00071,True
yo,Yorùbá,Ori e loburu,Ìrònú rẹ nílò ìtúnṣe díẹ̀.,afrihate_human_reviewed,AfriHate,test_yoruba_00101,True
