language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
am,Amharic,1/2 ውሻታም ነሽ ማለት ነው። በህይወት ዋጋ በደኖ፣ አርባጉጉ፣ ጉራፈርዳ፣ ቤንቺ ማጂ፣ መተከል፣ መንግስት ባመነው በድምሩ ከ5ሺ ያለነሱ ሰ,መንግስት እንኳን ባመነው ፡ በደኖ፣ አርባጉጉ፣ ጉራፈርዳ፣ ቤንቺ ማጂ፣ መተከል፣ በድምሩ ከ5ሺ ያለነሱ ህይወታቸውን ማጣታቸውን አልሰማሽም ?,MultiParaDetox,MultiParaDetox,,True
am,Amharic,?? ኧረ ኡኡኡኡኡኡኡኡ አንች ክፉ ገመናዬን ገመናዬን ሌላ ነገር ነው የሚመስለው ??,ኧረ አንቺ ምን እያልሽ ነው ፤ የውስጥ ጉዳዬን ፤ ለሌላ ሰው እኮ ሌላ ነገር ነው የሚመስለው ??,MultiParaDetox,MultiParaDetox,,True
am,Amharic,?? የሱ ነገር አንደ ውሻ አብይን ነክሶ እኝኝኝኝኝኝኝኝኝ ማለት ብቻ ሆኗል። በዚህ ከቀጠለ መገርጀፉ ነው።,የሱ ነገር አብይን ዝምብሎ መቃወም ብቻ ሆኖል :: በዚህ ከቀጠለ ያለእድሜው ነው የሚያረጀው።,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Are u this much ደነዝ? ኤኒወይስ ህዝቦችም ይላል:: ምነው ዲቃላ ነኝ አልክ ግን ከርሳም,እንዴት ነው ይኸ ያልገባህ? ኤኒወይስ ህዝቦችም ይላል:: ምነው ሁለተኛ ሰው ነኝም አልክሳ,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Dani ለግዜው በህይወት አለን ለማለት ከተደበቀበት ምሽግ ፎቶውን ልኳል::,አለን የሚል መልእክት ለማስተላለፍ ታስቦ ይመስላል፤ ፎቶ ተልኳል፡፡,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Egotistic ብሬንለስ ደደብ ብቻ ነው አገሩን ሚመራው,ለራሱ ብቻ የሚያስብ ነው  አገሩን የሚመራው,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Ethiopia ብሩ ኣብይ ስለሆነ ሳይሆን የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው የተሰጠው ፤ ስለዚ ዓቃቤ ህግም ሊጠይቅ ግድ ይላል ። ካልሆነ ግን በስሙ Official ሌብነት ተብሎ,ብሩ የተሰጠው የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው  ፤ ስለዚ ዓቃቤ ህግም ይህን መጠየቅ ይችላል ።,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Good for nothing . ኤርሚያስ እንኳን ባለቤት የሌለው ከንቱ ሰው በሚል አነስተኛ መጣጥፍ ቢዘጋጅለት መልካም ነው እላለሁ። ያኛውን ተወው.በቃሬዛ ከኤርፖ,ኤርሚያስ እንኳን ይህን የሚመጥን አነስተኛ መጣጥፍ ቢዘጋጅለት መልካም ነው እላለሁ። ያኛውን ተወው,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Haha ቦቅቧቃ እና መሬትህን እስኪወረር ምን እየጠበቅ ነው,መሬቱ እስኪወሰድ መጠበቅ የለብህም,MultiParaDetox,MultiParaDetox,,True
am,Amharic,No more Ethiopian Trust Fund የሰብዓዊ መብትን አክብሮ ለሚያስከብር እንጂ ከህወሃት ብሶ ወገኖቻችንን እየፈጃ ተገዳደሉ እያለ ለሚሞዳሞድ አምባገነን ድንቡሎ አይ,No more Ethiopian Trust Fund የሰብዓዊ መብትን አክብሮ ለሚያስከብር እንጂ ለሌላ ቦታ የለንም,MultiParaDetox,MultiParaDetox,,True
