language,toxic_input,detox_output,source,split
uk,"Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...",MultiParaDetox,uk
uk,"Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік","Ахахах добре, шо не поступав туди#КНЕУ_топчік",MultiParaDetox,uk
uk,"Все одно він мудак, бо не пише)","Все одно він негідник, бо не пише",MultiParaDetox,uk
uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться вмикати режим хитрощів.,MultiParaDetox,uk
uk,"От нахуя мене зайобувати з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???",MultiParaDetox,uk
uk,"бляха, як же мені прикро, що все так ;(","як же мені прикро, що все так ;(",MultiParaDetox,uk
uk,Хороші спогади - це та ще хуйня.,Хороші спогади - це та ще штука.,MultiParaDetox,uk
uk,Бо вам то не подобається.та блять.,Бо вам то не подобається.та блін.,MultiParaDetox,uk
uk,Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй,Кольорова печать на звичайному папері 10 гривень Ідіть,MultiParaDetox,uk
uk,"І головне ж перша заговорила, а я...лох...","І головне ж перша заговорила, а я...невдаха...",MultiParaDetox,uk
uk,Ідіть нахуй зі своїми блядськими стереотипами.,Відчепіться зі своїми стереотипами.,MultiParaDetox,uk
uk,"Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю.",MultiParaDetox,uk
uk,НєБо у вас хуйовий гуртожиток,НєБо у вас  поганий гуртожиток,MultiParaDetox,uk
uk,"Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.","Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.",MultiParaDetox,uk
uk,Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.,Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.,MultiParaDetox,uk
uk,"Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!","Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки без Кобзона!",MultiParaDetox,uk
uk,Всі збиратимутися та дрочитимуть на твої фоточки.,Всі збиратимутися та вонанувати на твої фоточки.,MultiParaDetox,uk
uk,"Бандіти, написав в бложик, про те як мусарку вогнеметами озброїли.","Бандіти, написав в бложик, про те як поліцейських вогнеметами озброїли.",MultiParaDetox,uk
uk,Нахара ти включила бізнес аккаунт в інста якщо ти школоло і тебе фоловлять тільки твої однокласники блять..,Навіщо ти включила бізнес аккаунт в інста якщо ти школярка і тебе фоловлять тільки твої однокласники..,MultiParaDetox,uk
uk,Так хочеться простого людського щоб до крові відпиздили по дупі.,"Так хочеться простого людського, щоб дуже побили по попі.",MultiParaDetox,uk
uk,каре і срібло у хуйовій якості,каре і срібло у жахливой якості,MultiParaDetox,uk
uk," ба-ссуха, блять. там одна ""с"", дятел","ба-ссуха,  там одна ""с"", чол",MultiParaDetox,uk
uk,"обколються своєю марихуаною, а потім всяку хуйню роблятьнаркотики - зло ","обколються своєю марихуаною, а потім всяку дурість роблятьнаркотики - зло",MultiParaDetox,uk
uk,Коли ти дуже жостко підйобуєш Настю,Коли ти дуже жостко глузуєшь над Настєю,MultiParaDetox,uk
uk,Дуже хочу написати щось дуже розумне  але хуй його знає що...,Дуже хочу написати щось дуже розумне  але хто його знає що...,MultiParaDetox,uk
uk,Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...,Ну чьо Михасику не отримаєш ти того що ти хочеш...,MultiParaDetox,uk
uk,- Ти бухаєш водяру і забиваєш на все болт!,'- Ти п''єш горілку і перестаєш на все реагувати',MultiParaDetox,uk
uk,"Він потім думає, ну і в пизду не дуже то і хотілось їсти.","Він потім думає, ну і не дуже то і хотілось їсти.",MultiParaDetox,uk
uk,Українська термінологія - це піздєц.,Українська термінологія - це жах.,MultiParaDetox,uk
uk,"І бля, їхала сюди - то мала роботу.","І, їхала сюди - то мала роботу.",MultiParaDetox,uk
uk,"Хочу постити депресивну хуйню в інст, але там забагато знайомих","Хочу постити депресивну дурниці в інст, але там забагато знайомих",MultiParaDetox,uk
uk,не лишайте пухнастих мудаків наодинці зі шкарпетками,не лишайте пухнастих наодинці зі шкарпетками,MultiParaDetox,uk
uk,"ДаЗнав одну, їбанутішої людини не бачив","ДаЗнав одну, божевільного людини не бачив",MultiParaDetox,uk
uk,"Чоловіки, хлопці - яйця, блять, в руки і до Києва!","Чоловіки, хлопці - опануйте себе і до Києва!",MultiParaDetox,uk
uk,"В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно","'В коментарях автор пояснює, що їздив дивитися, як тубільці б''ються між собою, про “both sides” і “more neutral approach”, прекрасно'",MultiParaDetox,uk
uk,"Воно нас, блядь, ні до чого не готувало.",Воно нас ні до чого не готувало.,MultiParaDetox,uk
uk,"Люди кажуть, що всім похуй на них.","Люди кажуть, що всім всеодно на них.",MultiParaDetox,uk
uk,"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню","Очікуєш на щось гідне, а в результаті отримуєш щось погане",MultiParaDetox,uk
uk,а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?,А нє поставіть-ка мне моє достоєнство на аву і зіпсувати собі репутацію,MultiParaDetox,uk
uk,"Дякую за зауваження)Пиздити мене треба, щоб менше пизділа!","Дякую за зауваження)Бити мене треба, щоб менше тараторіла!",MultiParaDetox,uk
uk,Йди на хуй під силу,Йди геть під силу,MultiParaDetox,uk
uk,"Як воно, схоже  бляді на ваші ""незаангажовані"" опитування?","Як воно, схоже на ваші ""незаангажовані"" опитування?",MultiParaDetox,uk
uk,"ця ""безвітсоткова позика"" це водіння немитим хуєм по губам всіх, без виключення українців. ось що бісить блять у тому числі.","ця ""безвітсоткова позика"" це знущання з усіх, без виключення українців. ось що бісить у тому числі.",MultiParaDetox,uk
uk,"Ох ти ж блін, я й не бачила, шо вже так пізно.","я й не бачила, шо вже так пізно.",MultiParaDetox,uk
uk,"Лєна, краще мене кашею годуй, ніж піздюка.","Лєна, краще мене кашею годуй, ніж того хлопця.",MultiParaDetox,uk
uk,бляяя точно) і поміняти прізвище вконтактику,Блін точно)і поміняти прізвище вконтактику,MultiParaDetox,uk
uk,"Вкотре переконуюсь, шо я думаю піздою, а не мозком, блять","Ще раз переконуюсь, що я думаю чимось, а не мозком",MultiParaDetox,uk
uk,"Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!","Зараз закурю... поганий футбол, тримай себе в руках, Міла",MultiParaDetox,uk
uk,"Яка ж я зла, блять.",Яка ж я зла,MultiParaDetox,uk
uk,та тоді якийсь пиздец бувв мене рідко губи тріскають,Та тоді якийсь ужас бувв мене рідко губи тріскають,MultiParaDetox,uk
uk,"Чемпіоном він хоче бути, ага, бля.","Чемпіоном він хоче бути, ага",MultiParaDetox,uk
uk,А всюди йобаний натовп з йобаними руками.,А всюди натовп з руками,MultiParaDetox,uk
uk,"Хтіли ""паставіть падножку Порошєнка"", а вийшло дати в жопу тіко.","Хтіли ""паставіть падножку Порошєнка"", а вийшло наоборот тільки.",MultiParaDetox,uk
uk,"Мені дохуя французької, а єбав, бо усний:з","Мені багато французької, а манав, бо усний",MultiParaDetox,uk
uk,"бляха, я не можу змусити себе вчитися!","Капець, я не можу змусити себе вчитися",MultiParaDetox,uk
uk,Блядь та ну ви знущаєтесь?,та ну ви знущаєтесь?,MultiParaDetox,uk
uk,Мандєц блядьЧо ж так смєшно з цього?,Чого ж так смішно з цього?,MultiParaDetox,uk
uk,"Та нахуй ти мені впав, скотина ти така)))",Та навіщо ти мені потрібен,MultiParaDetox,uk
uk,"Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?","Дивлюсь на відповіді голосувань і, хто так погано мене знає?",MultiParaDetox,uk
uk,"та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм",Нема зворотніх плацкартні на коли мені треба в обозрімом будущєм,MultiParaDetox,uk
uk,"Ну нахуй, мудаки і є мудаки","Ну, погані і є погані",MultiParaDetox,uk
uk,"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.","Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття  кидає мені АНЕКДОТИ.",MultiParaDetox,uk
