pair_id,language,toxic_input,detox_output,prediction,sim,fl,is_copy,sta,j,model
am_0,am,Haha ቦቅቧቃ እና መሬትህን እስኪወረር ምን እየጠበቅ ነው,መሬቱ እስኪወሰድ መጠበቅ የለብህም,Haha ቦቅቧቃ እና መሬትህን እስኪወረር ምን እየጠበቅ ነው,0.99999994,0.1863573468490346,True,1.0,0.7287857624147965,mt5_seed_42
am_1,am,ሀቅ ነው፣ ሰውየው አንድ ነገር ቢሆን ወይዘሮዋ በየቦታው እየዞሩ ትምህርት ቤት አይመርቁም ነበር፣ ግን ስዪም ተሾመ በፊት ወሬ እንለቡ የአገኝ ነበር አሁን ስለተከለከለ በግምት መቀባጠር ጀመረ።,ሰውየው ጋር ችግር ቢኖር ኖሮ እሷን እዚህ ት/ት ቤት ስታስመርቅ አናያትም ነበር፡፡ ስዩም ተሾመ አሁን የመረጃ እጥረት ያጋጠመው ይመስላል፡፡,ሀቅ ነው፣ ሰውየው አንድ ነገር ቢሆን ወይዘሮዋ በየቦታው እየዞሩ ትምህርት ቤት አይመርቁም ነበር፣ ግን ስዪም ተሾመ በፊት ወሬ እንለቡ የአገኝ ነበር አሁን ስለተከለከለ ግምት መቀባጠር ጀመረ።,0.9936495,0.16575016053348718,False,1.0,0.7197998810868459,mt5_seed_42
am_2,am,ሃሃሃሃሃ.አይዱ ዲሉዥናል ይሉናል። የዲሉዢኑ ባለቤት ማን እንደሆነ በማያዳግም ሁኔታ ለመመስከር ከዘመን በላይ ማንን ምስክር እንጥራ እንግዲህ? ማየት ነው። :,የዲሉዢኑ ባለቤት ማን እንደሆነ ለመመስከር ከዘመን በላይ ማንን ምስክር እንጥራ እንግዲህ? ማየት ነው። :,አይዱ ዲሉዥናል ይሉናል። ዲሉዢኑ ባለቤት ማን እንደሆነ በማያዳግም ሁኔታ ለመመስከር ከዘመን ላይ ማንን ምስክር እንጥራ እንግዲህ? ማየት ነው። :,0.885636,0.7989373211323165,False,1.0,0.894857764385109,mt5_seed_42
am_3,am,ለውሸት የተፈጠርክ በሽተኛ በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል ሁሉ ነገርህ አስመሳይ ውሸታም ከስምህ ጀምረህ ፎርጅድ የሆንክ,የምትናገረው የሚታመን ነገር አይደለም፤  በዚህ አይነት ነገር ሰው ሊቀበልህ የማይችልበት ደረጃ ደርሷል,ለውሸት የተፈጠርክ በሽተኛ በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል,0.91878486,0.16208173290090755,False,1.0,0.6936221965657241,mt5_seed_42
am_4,am,ማነህ አንተ ስዩም፣ አንድ ሰው ከሞተ አብይ ስልጣን እለቃለሁ ብሏል ስትል አልነበረም?? የጅማውን እልቂት አልሰማህም?? የሆንክ ቱልቱላ ነህ,የሰው ነፍስ የሚጠፋ ከሆነ ጠ/ሚሩ ስልጣን እለቃለሁ ብሏል ብለህ ነበር ፤ የጅማውስ የሰው ሕይወት መጥፋት ምን ሊባል ነው ?,ማነህ አንተ ከሞተ አብይ ስልጣን እለቃለሁ ብሏል ስትል አልነበረም?? የጅማውን እልቂት አልሰማህም?? የሆንክ ሰው ከሞተ አብይ ስልጣን እለቃለሁ ብሏል ስትል አልነበረም?? የጅማውን እልቂት አልሰማህም?? የሆንክ ቱልቱላ ነህ,0.8942804,0.2308144248363834,False,1.0,0.7083649329621746,mt5_seed_42
am_5,am,ሰይጣንም ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል። ኃይማኖቱን ተወውና ፖለቲካውን በወጉ ያዘው። ጌታ የቀየር ተላላኪ ባሪያ ምን አፍ አለኝ ብሎ ያወራል? መጀመሪያ ከተ,ምን ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል .. ኃይማኖቱን ተወውና ፖለቲካውን በደንብ ያዘው። አሁን ምን አፍ አለኝ ብሎ ያወራል?,ሰይጣንም ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል። ኃይማኖቱን ተወውና ፖለቲካውን በወጉ ያዘው። ጌታ የቀየር ተላላኪ ባሪያ ምን አፍ አለኝ ብሎ ያወራል? መጀመሪያ ከተ,1.0,0.673581512260213,True,1.0,0.891193837420071,mt5_seed_42
am_6,am,በህል አለም ነው ያለሀው አቶ ሾርት ሚሞሪ የምታወራውን እንኮን ለሰው ለራስህም አትድገመው መቼስ ጅል አይሙት ኢሳያስ የአሽከር አሽከር,በህል አለም ያለህ ያህል ነው ነገሮችን የምትረሳወ ፤ የምታወራውን ለራስህም ባትደግመው ይሻላል፡፡,በህል አለም ነው ያለሀው አቶ ሾርት ሚሞሪ የምታወራውን እንኮን ለሰው ለራስህም አትድገመው መቼስ ጅል አይሙት ኢሳያስ የአሽከር አሽከር,1.0,0.2626779482859472,True,1.0,0.7542259827619824,mt5_seed_42
am_7,am,በመጀመሪያ ደደብ አንተ ነህ ሲቀጥል ደግሞ ምን አባህ አገባህ መች እንደከፈትኩት አርፈህ እዛዉ በለስህን ብላ ቀለዋጭ።,በመጀመሪያ አንተ ነህ ነገር የማይገባህ ሲቀጥል ደግሞ ምን  አገባህ መች እንደከፈትኩት,በመጀመሪያ ደደብ አንተ ነህ ሲቀጥል ደግሞ ምን አባህ አገባህ መች እንደከፈትኩት አርፈህ እዛው,0.96172893,0.6314601591527034,False,1.0,0.864396363208677,mt5_seed_42
am_8,am,አሁንም አንደበተ ጎደሎ ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ ጭራሽ ቡራ ከዮ ትያለሽ ማፈሪያ ነሽ??,አሁንም አንደበተ እንደሌለው ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ መቆጣት የለብሽም,አሁንም አንደበተ ጎደሎ ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ ጭራሽ ቡራ ከዮ ትያለሽ ማፈሪያ ነሽ??,1.0000001,0.7894955092747834,True,1.0,0.9298318761613577,mt5_seed_42
am_9,am,አቤት ከተቀደዱ አይቀር እንደ አሉላ ነው። ምንድነው የሚያጨሰው በማርያም,አቤት አሉላ እንዴት ነው የሚያጋንነው ፡፡ ምንድነው እንዲህ የሚያናግረው,አቤት ከተቀደዱ አይቀር እንደ አሉላ ነው። ምንድነው የሚያጨሰው በማርያም,1.0000001,0.21807936660877839,True,1.0,0.7393598286060227,mt5_seed_42
am_10,am,አቶ በቀለ ጃዋርን አንተ ነህ ለዚህ ያደረስከኝ ብሎት በማረሚያ ቤት ዓይንና ናጫ ሆነዋል የሚባለው እውነት ይሆን?,አቶ በቀለ ጃዋርን አንተ ነህ ለዚህ ያደረስከኝ ብሎት በማረሚያ ቤት መነጋገር አቁመዋል የሚባለው እውነት ይሆን?,አቶ ጃዋርን አንተ ነህ ለዚህ ያደስከኝ ብሎት በማረሚያ ቤት ዓይንና ናጫ ሆነዋል የሚባለው እውነት ይሆን?,0.87001467,0.6643150870073508,False,1.0,0.8447765848394457,mt5_seed_42
am_11,am,አንተ ሰውዬ አይንህም ልብህም ተሰውሮ እንዴት ትችለዋለህ? ያንተ ይለያል ደሞ ልቦና ይስጥህ ውይ ይቅርታ አይንህን ያብራልህ,አንተ ሰውዬ አይንህም አስተውል እንጅ? ያንተ ይለያል ደሞ ልቦና ይስጥህ ፡ አይንህንም ያብራልህ,አንተ ሰውዬ አይንህም ልብህም ተሰውሮ እንዴት ትችለዋለህ? ያንተ ይለያል ደሞ ልቦና ይስጥህ ውይ ይቅርታ አይንህን ያብራልህ,1.0,0.5984647396018725,True,1.0,0.8661549132006242,mt5_seed_42
am_12,am,አንተ ሽንታም መጀመሪያ አርፈህ አትቀመጥም ነካክተህ ስትኮረኮም እዬዬ አይሰራም። ከብት,መጀመሪያ ሌሎች አንተን እንዳይነኩህ፤ አንተም እነርሱን ማክበር ከዚያ ውጭ ያለው ነገር ተገቢነት የለውም,አንተ ሽንታም መጀመሪያ አርፈህ አትቀመጥም ነካክተህ ስትኮረኮም እዬዬ አይሰራም። ከብት,1.0000001,0.11514028179165461,True,1.0,0.7050468003336481,mt5_seed_42
am_13,am,አንተ ደንቆሮ የጠንቋይ ልጅ ጠላታችን እንደሆንክ ኣስተምረን እንነቃቸዋለን።,ወደጅ እንደልሆንን ኣስተምረን እንነቃቸዋለን።,አንተ ጠንቋይ ልጅ ጠላታችን እንደሆንክ ኣስተምረን እንነቃቸዋለን።,0.96840274,0.5831476320069898,False,1.0,0.8505167917821761,mt5_seed_42
am_14,am,አንች ዲቃላ ሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና በልጆችሽ ፤በእህትሽ ፤ቤተሰቦችሽ ይድረስሽ ቢያንስ አንቺ ሴት ነሽ ቆሻሻ።,በሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና ቤተሰቦችሽ ቢደርስስ,አንች ሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና በልጆችሽ ፤ቤተሰቦችሽ ይድረስሽ ቢያንስ አንቺ ሴት ነሽ ቆሻሻ።,0.9397813,0.6122280141768887,False,1.0,0.8506697741170073,mt5_seed_42
am_15,am,አንድ ነገር ይገርመኛል ኑሮን ለማሸነፍ ነብሱን አሰይዞ በባህር አረብ ሀገር የገባውን ምሰኪን አሸባሪ ብሉ ሰቃዩንይሰቃይ ብሎ የፈረደበት የሀገር መሪ እንዴት ነው መሪ ይሆነኛል በየ,አንድ ነገር ይገርመኛል ኑሮን ለማሸነፍ ነብሱን አሰይዞ በባህር አረብ ሀገር የገባውን ምሰኪን አታስፈልግም ብሎ የረሳውን መሪ እንዴት ነው መሪ ይሆነኛል በየ,አንድ ነገር ይገርመኛል ኑሮን ለማሸነፍ ነብሱን አሰይዞ በባህር አረብ ሀገር የገባውን ምሰኪን አሸባሪ ብሎ የፈረደበት ሀገር መሪ እንዴት ነው መሪ ይሆነኛል በየ,0.98330915,0.8091487663656757,False,1.0,0.9308193053692674,mt5_seed_42
am_16,am,አንገትህ ድንጋይ ተሸክሞ መዞሩ ብቻ ነው የሚያሳዝነኝ። ሌላውስ እዳው ገብስ ነው። ቆማጣ,አንገትህ ምስል ተሸክሞ መዞሩ ብቻ ነው የሚያሳዝነኝ። ሌላውስ እዳው ገብስ ነው,አንገትህ ድንጋይ ተሸክሞ መዞሩ ብቻ ነው የሚያሳዝነኝ። ሌላውስ እዳው ገብስ ነው። ቆማጣ,1.0,0.8242288136649941,True,1.0,0.9414096045549981,mt5_seed_42
am_17,am,ኤጭ ዘረኛ ሆንክ አንተም ግን አልታወቀህም መሰለኝ,አንተም ወገንተኛ ሆንክ መሰለኝ ግን አልታወቀህም መሰለኝ,ኤጭ ዘረኛ ሆንክ አንተም ግን አልታወቀህም መሰለኝ,1.0,0.528656643414935,True,1.0,0.8428855478049783,mt5_seed_42
am_18,am,እኔ እያሰብኩ ያለሁት እንደ መንጌ ሽሉክ ብለህ እንዳታመልጥብን ብቻ ነው::,አንዳንድ ጊዜ እንደመንጌ ድንገት ተነስተህ ልትሄድ እንደምትችል አስባለሁ,እኔ እያሰብኩ ያለሁት እንደ መንጌ ሽሉክ ብለህ እንዳታመልጥብን ብቻ ነው::,1.0000001,0.1538701340558926,True,1.0,0.7179567510883941,mt5_seed_42
