language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
am,Amharic,1/2 ውሻታም ነሽ ማለት ነው። በህይወት ዋጋ በደኖ፣ አርባጉጉ፣ ጉራፈርዳ፣ ቤንቺ ማጂ፣ መተከል፣ መንግስት ባመነው በድምሩ ከ5ሺ ያለነሱ ሰ,መንግስት እንኳን ባመነው ፡ በደኖ፣ አርባጉጉ፣ ጉራፈርዳ፣ ቤንቺ ማጂ፣ መተከል፣ በድምሩ ከ5ሺ ያለነሱ ህይወታቸውን ማጣታቸውን አልሰማሽም ?,MultiParaDetox,MultiParaDetox,,True
am,Amharic,?? ኧረ ኡኡኡኡኡኡኡኡ አንች ክፉ ገመናዬን ገመናዬን ሌላ ነገር ነው የሚመስለው ??,ኧረ አንቺ ምን እያልሽ ነው ፤ የውስጥ ጉዳዬን ፤ ለሌላ ሰው እኮ ሌላ ነገር ነው የሚመስለው ??,MultiParaDetox,MultiParaDetox,,True
am,Amharic,DW ሲባል  ብቻ ትዝ የሚለን የዋሆች አለን ?? በሙሉ ሥሙ ጥራው ??,DW ሲባል ብቻ ትዝ የሚለን አለን ?? በሙሉ ሥሙ ብንጠራው ይሻላል?,MultiParaDetox,MultiParaDetox,,True
am,Amharic,DW ናችሁ ወይም ግንዛቤ የላችሁም ካልክ ወዲያ የምን ሊል አስቦ ነው? የምን ጥሩና መጥፎ ነው? እንዲህ ካመናችሁ እንዲህ ናችሁ እያልከን አይደል? ??,ብዙም ግንዛቤ የላችሁም ።  ምን ሊል አስቦ ነው? የምን ጥሩና መጥፎ ነው? እንዲህ ካመናችሁ እንዲህ ናችሁ እያልከን አይደል? ??,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Dani ለግዜው በህይወት አለን ለማለት ከተደበቀበት ምሽግ ፎቶውን ልኳል::,አለን የሚል መልእክት ለማስተላለፍ ታስቦ ይመስላል፤ ፎቶ ተልኳል፡፡,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Ethiopia ብሩ ኣብይ ስለሆነ ሳይሆን የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው የተሰጠው ፤ ስለዚ ዓቃቤ ህግም ሊጠይቅ ግድ ይላል ። ካልሆነ ግን በስሙ Official ሌብነት ተብሎ,ብሩ የተሰጠው የኢትዮጵያ ጠ/ሚኒስትር ስለነበረ ነው  ፤ ስለዚ ዓቃቤ ህግም ይህን መጠየቅ ይችላል ።,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Good for nothing . ኤርሚያስ እንኳን ባለቤት የሌለው ከንቱ ሰው በሚል አነስተኛ መጣጥፍ ቢዘጋጅለት መልካም ነው እላለሁ። ያኛውን ተወው.በቃሬዛ ከኤርፖ,ኤርሚያስ እንኳን ይህን የሚመጥን አነስተኛ መጣጥፍ ቢዘጋጅለት መልካም ነው እላለሁ። ያኛውን ተወው,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Haha ቦቅቧቃ እና መሬትህን እስኪወረር ምን እየጠበቅ ነው,መሬቱ እስኪወሰድ መጠበቅ የለብህም,MultiParaDetox,MultiParaDetox,,True
am,Amharic,I think ፈረስ እና አህያ ፈልገውና ፈቅደው አልያም ሲጠርባቸው ነው የተዳቀሉት፣its just ቅንዝር man . wait wait ምን ለማለት,I think ፈረስ እና አህያ ፈልገውና ፈቅደው  ነው የተዳቀሉት፣i,MultiParaDetox,MultiParaDetox,,True
am,Amharic,Knock3who is there?Do uve anything to say . አማራ ጨዎ ህዝብ ነው። መድፈር በዘሩም የለ። ያንቺ አይነት የ360ውሾች አይነት የህዎት ዲቃላ,አማራ ጨዋ ህዝብ ነው። ደፈር ነው። ያንቺ አይነት  አየደለም,MultiParaDetox,MultiParaDetox,,True
