language,language_name,toxic_input,detox_output,source,source_dataset,source_id,human_reviewed
uk,Ukrainian,"#6йсирник RT : - Та я, блядь, не из-за бабла.","#6йсирник RT : - Та я, не из-за бабла.",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"' бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'","'ти пам''ятаєш, шо мені було потім?) я мацала так пити)'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"' відчуваю себе говнарем, бо знаю цю пісню напам''ять'","'відчуваю себе дивно, бо знаю цю пісню напам''ять'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Але звинувачувати у проруснявій позиції можуть лише повні, абсолютно кончені дегенерати, п''янь від люмпеноти, русня і підруснявлені манкурти.'","Але звинувачувати у проросійській позиції можуть лише повні, абсолютно нерозумні люди.",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Але не можу, бо то блять сім''я.'","'Але не можу, бо то сім''я.'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,'Збери п''ятьох мудакуватих клієнтів за день та отримай одне ввічливе приємне сонечко у подарунок!','Збери п''ятьох клієнтів за день та отримай одне ввічливе приємне сонечко у подарунок!',MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Навіть не знаю, то дар чи прокляття моє вміння НІХУЯ НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував'","'Навіть не знаю, то дар чи прокляття моє вміння НІЧОГО НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'П''яний друг каже: "" ніколи не трахай дівчат з економічного...""'","'П''яний друг каже: "" ніколи займайся сексом с дівчатами з економічного...""'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Перед тим, як щось затвітити, запитай у себе: ''А може всім похую на то?'', і пам''ятай, що відповідь завжди ''Так''.'","'Перед тим, як щось затвітити, запитай у себе: ''А може всім байдуже на то?'', і пам''ятай, що відповідь завжди ''Так''.'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Рубрика ""Всім похуй на ті всраті діалоги"":Итс соу світ вен після п''янки всі звітують, що дома.'","'Рубрика ""Всім начхати  на ті всраті діалоги"":Итс соу світ вен після п''янки всі звітують, що дома.'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'Хочу вирубити одну кончену сучку на роботі, але я не б''ю старших.'","'Злить одна людина на роботі, але я не б''ю старших'",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"'годуємо, блять, котів о п''ятій ранку'",'годуємо котів о п''ятій ранку',MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"(Ну або які в нас там ще є елітарні мудаки, яким власна елітарність без тупоголових донецьких недостатньо елітарна)","(Ну або які в нас там ще є елітарні хлопці, яким власна елітарність без хлопці донецьких недостатньо елітарна)",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"(Як я вже хочу приїхати, пизда просто, а ще два тижні).","(Як я вже хочу приїхати, а ще два тижні).",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"(Якшо якась сука, знову, не зіллє інфу)","(Якшо якась людина, знову, не зіллє інфу)",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"- Мені похуй, що про мене говорять.","- Мені все рiвно, що про мене говорять.",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,- Ти бухаєш водяру і забиваєш на все болт!,'- Ти п''єш горілку і перестаєш на все реагувати',MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"-Ну как обичьно, нахуй))))Кежуал конверсейшнс віз  )))))","-------- Ну як завжди, Кежуал конверсейшнс віз)))))",MultiParaDetox,MultiParaDetox,,True
uk,Ukrainian,"-ЦЕ ТИ МЕНЕ ЩА ЖИРНИМ ОБІЗВАЛА, ТА?!","-ЦЕ ТИ МЕНЕ ЩА ТОВСТИМ ОБІЗВАЛА, ТА?!",MultiParaDetox,MultiParaDetox,,True
