"language","toxic_input","detox_output","source","split"
"yo","Ìwọ jẹ́ aláìmọ̀","Ìwọ nílò lati kọ́ ẹ̀kọ́ síi","human_annotated","yo_human_178"
"yo","O jẹ́ aláìlera pátápátá","Ìlera rẹ nilo àtúnṣe","human_annotated","yo_human_178"
"yo","Ìwọ ò mọ ohun tí o ṣe","Ìṣe rẹ nilo lati farahàn sí","human_annotated","yo_human_178"
"yo","O jẹ́ asán","Ìṣe rẹ ní àǹfààní lati dara síi.","human_annotated","yo_human_178"
"yo","O ń nimí lára","Ìṣe rẹ lè nílò àtúnṣe","human_annotated","yo_human_178"
"yo","Ìwọ jẹ́ ẹni tí kò yẹ","Ìṣe rẹ ní àǹfààní lati dára si","human_annotated","yo_human_178"
"yo","O kùn fún àìlera","Ìlera rẹ lè dara síi","human_annotated","yo_human_178"
"yo","Ìwọ ò ní àbájáde rere","Ìṣe rẹ lè ní àbájáde rere pẹ̀lú àmójútó","human_annotated","yo_human_178"
"yo","O jẹ́ aláìmọ̀kan","O lè gba ìmọ̀ síi pẹ̀lú ìtọ́sọ́nà","human_annotated","yo_human_178"
"yo","Ìwọ jẹ́ aṣiwèrè","O nílò àkíyésì tó dáa","human_annotated","yo_human_178"
"yo","Ọ̀rọ̀ rẹ̀ kún fún àlùfànṣá","Ọ̀rọ̀ rẹ̀ nílò ìmúlò díẹ̀ kí ó lè dáa jù báyìí lọ","human_annotated","yo_human_178"
"yo","O jẹ́ olè","Ìṣe rẹ ní nílò àtúnṣe","human_annotated","yo_human_178"
"yo","Ìwọ jẹ́ olóríburúkú","Ìṣe rẹ nilo àtúnṣe pẹ̀lú ìmúlò","human_annotated","yo_human_178"
"yo","O jẹ́ olórí burúkú","Ìṣe rẹ lè ṣe ànfàní pẹ̀lú àtúnṣe","human_annotated","yo_human_178"
"yo","O jẹ́ aláìṣètó","Ìṣe rẹ nílò àtúnṣe tó dáa","human_annotated","yo_human_178"
"yo","Ìwọ jẹ́ aláìgbọràn","Ìwà rẹ lè dara síi pẹ̀lú ìtósọ́nà","human_annotated","yo_human_178"
"yo","O jẹ́ aláìlera ní ọpọlọ","Ìmọ̀ rẹ lè tẹ̀síwájú pẹ̀lú ìmúlò","human_annotated","yo_human_178"
"yo","O jẹ́ ẹni tí kò tọ́","Ìṣe rẹ lè wúlò pẹ̀lú àtúnṣe","human_annotated","yo_human_178"
"yo","O jẹ́ aláìnífọwọ́sowọpọ̀","Ìṣe rẹ lè ní tẹ̀síwájú pẹ̀lú ìfọwọ́sowọpọ̀","human_annotated","yo_human_178"
"yo","O jẹ́ ẹni tí kò yẹ láti gbà àṣẹ","Ìṣe rẹ lè dara síi kí ó yẹ fún àṣẹ","human_annotated","yo_human_178"
"yo","Ìṣe rẹ̀ kù díẹ̀","Ìṣe rẹ̀ nílò àfikún síi","human_annotated","yo_human_178"
"yo","Ìtàn rẹ̀ kò mọ́","Ìtàn rẹ̀ nílò àtúnṣe","human_annotated","yo_human_178"
"yo","Ìsọ̀kan rẹ̀ kéré","Ìsọ̀kan rẹ̀ nílò ìgbéga díẹ̀","human_annotated","yo_human_178"
"yo","Ìtọ́sọ́nà rẹ̀ kùnà","Ìtọ́sọ́nà rẹ̀ nílò àfikún díẹ̀","human_annotated","yo_human_178"
"yo","Ìwádìí rẹ̀ kò péye","Ìwádìí rẹ̀ nílò ìfọkànsìn síi","human_annotated","yo_human_178"
"yo","Ìmúlò rẹ̀ kò pé","Ìmúlò rẹ̀ nílò àfikún díẹ̀","human_annotated","yo_human_178"
"yo","Ìpinnu rẹ̀ kéré","Ìpinnu rẹ̀ nílò ìgbéga díẹ̀","human_annotated","yo_human_178"
"yo","Ìmọ̀ràn rẹ̀ kò pé","Ìmọ̀ràn rẹ̀ nílò àfikún síi","human_annotated","yo_human_178"
"yo","Ìsọ̀kan rẹ̀ ko dára","Ìsọ̀kan rẹ̀ nílò àfikún síi","human_annotated","yo_human_178"
"yo","Ìdáhùn rẹ̀ burú","Ìdáhùn rẹ̀ nílò ìtúnṣe díẹ̀","human_annotated","yo_human_178"
"yo","Ìbéèrè rẹ̀ kò yẹ","Ìbéèrè rẹ̀ nílò àtúnṣe díẹ̀","human_annotated","yo_human_178"
"yo","Ìmọ̀ rẹ̀ ò dájú","Ìmọ̀ rẹ̀ nílò ìmúdájú díẹ̀","human_annotated","yo_human_178"
"yo","Ìṣe rẹ̀ kò péye","Ìṣe rẹ̀ nílò àtúnṣe díẹ̀","human_annotated","yo_human_178"
"yo","Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ kéré","Ẹ̀kọ́ rẹ̀ nílò ìfọkànsìn síi","human_annotated","yo_human_178"
"yo","Ìmọ̀ rẹ̀ ò pé","Ìmọ̀ rẹ̀ nílò ìtẹ̀síwájú síi","human_annotated","yo_human_178"
"yo","Ìdí ọ̀rọ̀ rẹ̀ ò dájú","Ìdí ọ̀rọ̀ rẹ̀ nílò àlàyé díẹ̀","human_annotated","yo_human_178"
"yo","Otitọ rẹ kodara, kò si ẹni to beere","Ọ̀rọ̀ rẹ̀ kò bójú mu; jọwọ ronú kí o yí iwa padà","human_annotated","yo_human_178"
"yo","Ọmọ yìí jẹ́ aláṣejù","Ìhùwàsí ọmọ yìí kò dára tó","human_annotated","yo_human_178"
"yo","Ọrẹ irọ rẹ ko bamilara mu.","Ìwà rẹ̀ yìí kò bójú mu; jọwọ ṣàtúnṣe","human_annotated","yo_human_178"
"yo","Máa jẹ́ kí o ní ìfarapa","Ìṣe yìí lè ní àbájáde; jọwọ yí ìwà padà","human_annotated","yo_human_178"
"yo","Ọmọ yìí ṣọ̀kanjúwà","hùwàsí ọmọ yìí kò tọ́; ó yẹ kí ó ṣàtúnṣe.","human_annotated","yo_human_178"
"yo","Kò sí ẹni tó fẹ́ ẹ níbi iṣẹ́","Ìhùwàsí rẹ̀ níbi iṣẹ́ lè kó ìṣòro bá ọ; jọwọ ṣe àtúnṣe","human_annotated","yo_human_178"
"yo","Ìròyìn rẹ jẹ́ aṣejù; kò tọ́","Ìròyìn rẹ̀ kò péye; jọwọ ṣàtúnṣe","human_annotated","yo_human_178"
"yo","O jẹ aláìwúlò àti ènìyàn ọ̀lọ́nkànlílẹ̀","Ìṣe rẹ yìí kò munadoko; jọ̀wọ́ ṣe ní ọ̀nà tó yẹ","human_annotated","yo_human_178"
