pair_id,group_id,language,toxic_input,detox_output,source,orig_split,split,source_row_index
es-0000,es-g0370,es,pues hazme los deberes furcia barata,"Bueno, haz mi tarea.",MultiParaDetox,es,reserve,0
es-0007,es-g0122,es,JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,Jajajajaja qué vas a eclipse tú y el otro xd,MultiParaDetox,es,reserve,7
es-0009,es-g0033,es,"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.","Yo no me haría nunca un twitter, eso está lleno de rojos.",MultiParaDetox,es,reserve,9
es-0010,es-g0088,es,Esperando reacciones de los perroflautas de #podemos,Esperando reacciones de que podemos,MultiParaDetox,es,reserve,10
es-0012,es-g0170,es,"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...","Maruenda, este que dice ser Catalán solo cuando pretende hacer daño a todos los catalanes, llama...",MultiParaDetox,es,reserve,12
es-0013,es-g0066,es,"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Esta noche manda mi primo,MultiParaDetox,es,reserve,13
es-0014,es-g0151,es,"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.","Lo considero aceptable, siempre y cuando cada uno deje varias pensiones pagadas antes de regresar a su país.",MultiParaDetox,es,reserve,14
es-0015,es-g0064,es,"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",E si non eres un periodista decente deberías cambiar de profesión.,MultiParaDetox,es,reserve,15
es-0017,es-g0353,es,lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Lo personal es político pero eso no significa que haya que ir a una manifestación que convoque a sindicatos.,MultiParaDetox,es,reserve,17
es-0018,es-g0302,es,"Vaya, nunca pensé oir decir eso a una mujer",Nunca esperé escuchar eso de una mujer.,MultiParaDetox,es,reserve,18
es-0019,es-g0102,es,Excepto si te lo envenenan con mierdas,Excepto si lo envenenan con cosas,MultiParaDetox,es,reserve,19
es-0021,es-g0157,es,"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los izquierdas de la cultura del odio.",MultiParaDetox,es,reserve,21
es-0024,es-g0268,es,Sigue existiendo mucha basura en España que limpiar y no solo en lo politico.,Sigue existiendo mucha cosas en España que limpiar y no solo en lo politico.,MultiParaDetox,es,reserve,24
es-0025,es-g0154,es,Los centros de menores no tutelados son escuelas de delincuentes.,Los centros de menores no tutelados pueden presentar desafíos en la prevención del comportamiento delictivo.,MultiParaDetox,es,reserve,25
es-0026,es-g0096,es,Esto para un pedazo de retrasado como tu:,Esto para ti:,MultiParaDetox,es,reserve,26
es-0027,es-g0345,es,"fijate, todo tiene su lado bueno, hasta el puto coronabicho","Fíjate, todo tiene su lado bueno.",MultiParaDetox,es,reserve,27
es-0028,es-g0009,es,: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278,: #Modelpodemos ser comunistas y vencer a España  # LaHoraAzulPP278,MultiParaDetox,es,reserve,28
es-0029,es-g0337,es,el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,el Partido Socialista de Andalucía no son honrados,MultiParaDetox,es,reserve,29
es-0030,es-g0159,es,Los mejores los más preparados para cortar cabezas,Los mejores los más preparados para realizar el trabajo,MultiParaDetox,es,reserve,30
es-0031,es-g0308,es,Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,Y además te apellidas Castillo.,MultiParaDetox,es,reserve,31
es-0032,es-g0272,es,"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas","Son los mejores. Paguita, alquiler y seguridad social ya.",MultiParaDetox,es,reserve,32
es-0035,es-g0092,es,Este es el maricón de Aida?,Este es el de Aida?,MultiParaDetox,es,reserve,35
es-0037,es-g0386,es,y snk ultima temp pronto   pd rachel puta zorra la traicion no se perdona,ps rachel la traición no se perdona,MultiParaDetox,es,reserve,37
es-0038,es-g0146,es,"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.","Lo que Cuba está haciendo, como siempre, es propaganda para que gente como Núñez repita.",MultiParaDetox,es,reserve,38
es-0039,es-g0095,es,Este wifi boliguayo de mierda,Este mal wifi boliviano,MultiParaDetox,es,reserve,39
es-0040,es-g0355,es,"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.","los Salesianos de San Francisco de Sales, Los Marianistas y los vecinos del San Cirano nos ablandaron en exceso.",MultiParaDetox,es,reserve,40
es-0043,es-g0089,es,"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",Estaba tan bien durmiendo hasta q vino roco a despertarme 😒,MultiParaDetox,es,reserve,43
es-0044,es-g0187,es,No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,No soporto a Dani Rovira,MultiParaDetox,es,reserve,44
es-0045,es-g0091,es,"Este cabron está peor que los 1,200 que están por llegar",Es peor que los 1.200 que aún están por venir,MultiParaDetox,es,reserve,45
es-0049,es-g0364,es,para vos y todos los trolos panelistas putos de Fox,Para vos y todos los de Fox,MultiParaDetox,es,reserve,49
es-0050,es-g0326,es,Yo soy así puto moro,Yo soy así,MultiParaDetox,es,reserve,50
es-0051,es-g0037,es,"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...","mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",MultiParaDetox,es,reserve,51
es-0052,es-g0307,es,"Y a mí qué me importa lo que tú ""notes"", facha?","Y a mí qué me importa lo que tú ""notes""?",MultiParaDetox,es,reserve,52
es-0054,es-g0229,es,Pues puede trabajar de carnicero para pagar pensiones,Entonces podría trabajar como carnicero para cubrir las pensiones.,MultiParaDetox,es,reserve,54
