language,toxic_input,detox_output,source,split,sta_score,sim_score
ha,"Gaskiya ina tausayin mutane kamar ku da suke da ilimi amma ba su da hankali, domin kun nuna matakin rashin balaga!","Ina tausa mutanen da iliminmu, domin tace ce kuma gamsuwa.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9509830474853516,0.5051282048225403
ha,"Idan ka harbe ni, ka harbe ni daga cikin kabari, har ma na sami matsala.","Ba zai samu wata matsala ba, kamar yadda ka ke yi.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.6980164051055908,0.2398567795753479
ha,"""Me!! icked!!: Yoruba boys ne mai dadi ruwan hoda ice cream idan aka kwatanta da wani mugun Igbo yaro, tunani kamar zuma Rock. """"","Kuna abubuwa da aka samu a wannan wurin, sai dai kuma na son kunshe shi, bai yi fice yaɗa kuwa.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9259875416755676,0.13925206661224365
ha,Kai wawa ne: kana yiwa Allah bulala a fuska idan kai gay ne... idan kai ma kana ƙin hakan,Ba da kyau ya faru idan ka ya fi yiwu Allah.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9052987694740295,0.4688396751880646
ha,Arewa maza ne mafi munin!,Mai zuwa yake ya iya tattalin arzi.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.8774911165237427,0.21531298756599426
ha,Buhari yana da 'yancin bayyana kansa ba? Sowore bai yi barazanar zaman lafiya na Najeriya ba amma kuna son kashe shi.,"Aboki, Buhari ya ci gaba da tunaniya kan sahihinmu. Soworen yawan hulɗe a kan siyasar Najeriyya, domin kare masa haɗin ɗaya.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.15078873932361603,0.40877068042755127
ha,Wannan ɗan kabari da ake kira Yoruba mai wayo ne mai wayo.,Aboki Yorubawa ba ya fi mayar da kuskure ba.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.3784596025943756,0.3646444082260132
ha,"Wallahi ba su da zuciya, suna da jini suna tsotsa aljanu... idan ka ce rashin kunya ba shi da kyau, babu kalmomi da za a kira su.","Ba tare da zuciyar ku, ba a gani jinin su ya yiwu aljanun... ida ka yi fadi, ba ciyuan wata zuwa ku.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9402446746826172,0.6831040382385254
ha,"Lol, ka dauki abin da nake so daga nan. ku mutane ne mafi yawan maras karatu da almajiri suna rokon. ba ku ƙara komai ga kasar ba. babu komai. ku marasa amfani ne, kuna son iko kuma ba za ku iya amfani da shi da hankali ba. Hausas dole ne ku tafi. dole ne ku tafi. ya ce 'yan jihohi sun zabe shi","Kada ku ji da abin don ku nan. Kuɗe masu karatu bakwai ana son rokokun. Ba ku sake shiga cikin ku ba. Babu wata sabon. Kana amfana ne, ku fahimta da yadda ku iyo. Hausawa kuma ku tafada.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.649638831615448,0.45317578315734863
ha,Don Allah wani zai iya bayyana mini abin da David Umahi ya sa ran daga dukan goyon baya ga wadannan.,Ina yi kama yadda David Umashi ya shiga cikin wannan matakai.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.3555069863796234,0.5452759265899658
ha,Aikin Gwamnonin Arewa yana goyon bayan tsinkayar kafofin sada zumunta😂. Wasu wawaye. Me suke tsoro?,Mun ya fahimci cewa gwamnoni na arewa suna kan karbi kawo gaba da hulɗar ɓangare.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9502810835838318,0.331969678401947
ha,'Yan Uganda sun wulakanta matasan Soro Soke da ba su da 'yan diplomaci ba 😂😂😂 An kira gwamnatin da ba ta da amfani a kasar su cece su.,Ba za ku iya ganin matsakaicin gwamnan Soro daga cikin 'yan diplomat na Uganda.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.6802933216094971,0.5193637609481812
ha,Hoodlum ya wallafa wani abu a shafinsa na Twitter,"Ko da cikin yanzu, anan da kuma a Twitter.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9315068125724792,0.4622880220413208
