pair_id,group_id,language,toxic_input,detox_output,source,orig_split,split,source_row_index
am-0003,am-g0236,am,ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳዉቃለን,MultiParaDetox,am,train,3
am-0004,am-g0135,am,ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው የዛሬ አስፈራሪ የነገ ፈሪ ይሆናል,ብዙም መደሰት ሳያሰፈልግ ጋሽ ሄኖክን በሀሣብ መሞገቱ የተሻለ ነው፡፡ ነገ ነገሮች በዚሁ ላይቀጥሉ ይችላሉ፡፡,MultiParaDetox,am,train,4
am-0006,am-g0280,am,እውነት ካለህ እኮ ምንም ኣግዙኝ እርዱኝ ማለት አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: ለእንዳንተ ዉሸት ቀለቡ ግን ዕዉነትም ሲነግሩት ኣይዋጥለጥም,እውነት ካለህ እኮ ምንም ሌላ ተጨማሪ እርዳታ መጠየቅ አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: በእውነት የማታምን ከሆነ ግን እውነትም ቢነግሩህ ላይዋጥልህ ይችላል፡፡,MultiParaDetox,am,train,6
am-0019,am-g0114,am,በንጹሃን ደም መቀለድ ውጤቱ መጥፋት ነው። የክፋት ጥጉ መጥፋት ነው። ንጹሃን እንዲታረዱ ያደረግኸው ሴራ ጠልፎ ሊጥልህ እደጅህ ቆሟል።,በንጹሃን ደም መቀለድ ውጤቱ መጥፋት ነው። በየቦታው ወድቀው የቀሩት ንፁኀን  ሕይወት በቅርቡ ከፈጣሪ የስራህን ያሰጥሀል,MultiParaDetox,am,train,19
am-0022,am-g0313,am,ወንጀሎች እንደልባቸው የሚፈነጩባት አገር ማየት ኣንፈልግም መንግሥት አደብ ያስገዛልን ነው ያልከው ??? ኢትዮጵያ ውስጥ ከአብይ በላይ ወንጀለኛ የለም,ወንጀሎች እንደልባቸው የሚፈነጩባት አገር ማየት ኣንፈልግም መንግሥት አደብ ያስገዛልን ።,MultiParaDetox,am,train,22
am-0023,am-g0127,am,ባለጌ ለመሆንሺ ምሰክር አያሻኝም ሰው ሰላልሆንሺ አሉ ብለሺ አወራሺ ማንም በሴትነቱ በሰውነቱ ይከበራል,ለስርአት ተገዢ እንዳልሆንሽ ተረድቼአለሁ፡፡ ማንም በሴትነቱ በሰውነቱ ይከበራል,MultiParaDetox,am,train,23
am-0025,am-g0040,am,ለውሸት የተፈጠርክ በሽተኛ በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል ሁሉ ነገርህ አስመሳይ ውሸታም ከስምህ ጀምረህ ፎርጅድ የሆንክ,የምትናገረው የሚታመን ነገር አይደለም፤  በዚህ አይነት ነገር ሰው ሊቀበልህ የማይችልበት ደረጃ ደርሷል,MultiParaDetox,am,train,25
am-0027,am-g0385,am,ጉራ ብቻ ግንቦት ሃያ መከበር ካቆመ ሶስት ዓመት ሞላው ተመስገን አንተም ዝም ብለህ አለቃቅስ,ወሬ ብቻ አታብዙ  ግንቦት ሃያ መከበር ካቆመ ሶስት ዓመት ሞላው ተመስገን አንተም ዝም ብለህ አታዉራ,MultiParaDetox,am,train,27
am-0037,am-g0098,am,ቀድሞ ነበር እንጂ መጥኖ መደቆስ አሁን ምን ያደርጋል ድስት ጥዶ ማልቀስ። ጉራ ብቻ  ለዚሁ ነበር ያ ሁላ ፉከራ ???,ቀድሞ ነበር እንጂ መጥኖ መደቆስ አሁን ምን ያደርጋል ድስት ጥዶ ማልቀስ። ወሬ ብቻ ምንም አያሰራም፡ ተግበር,MultiParaDetox,am,train,37
am-0038,am-g0310,am,ወንድ የሆነማ ቆሞ ይሸናል። ደግሞ ለሰነፍ ቆሞ ሊሸና ያምረዋል እንዴ? ያው እንደ ለመደው ቁጭ ብሎ ይሽና እንጂ። ወሬ አያብዛ ጀግንነት በስራ እንጂ መች በቀረርቶ በፉከራ ሆነና።,ጀግንነት በስራ ይገለጻል እንጂ በወሬ ሊሆን አይችልም ፡፡,MultiParaDetox,am,train,38
