language,toxic_input,detox_output,source,split
,"Gaskiya ina tausayin mutane kamar ku da suke da ilimi amma ba su da hankali, domin kun nuna matakin rashin balaga!","Gaskiya ina tausayin mutane kamar ku da suke da ilimi amma ba su da hankali, domin kun nuna matakin rashin balaga!",mt0xl_detox_synthetic,ha_synthetic_400
,"Idan ka harbe ni, ka harbe ni daga cikin kabari, har ma na sami matsala.","Idan ka harbe ni, ka harbe ni daga cikin kabari, har ma na sami matsala.",mt0xl_detox_synthetic,ha_synthetic_400
,"""Me!! icked!!: Yoruba boys ne mai dadi ruwan hoda ice cream idan aka kwatanta da wani mugun Igbo yaro, tunani kamar zuma Rock. """"","Me!! icked!!: Yoruba boys ne mai dadi ruwan hoda ice cream idan aka kwatanta da a Igbo yaro, tunani kamar zuma Rock.",mt0xl_detox_synthetic,ha_synthetic_400
,Kai wawa ne: kana yiwa Allah bulala a fuska idan kai gay ne... idan kai ma kana ƙin hakan,idan kai ma kana ƙin hakan,mt0xl_detox_synthetic,ha_synthetic_400
,Arewa maza ne mafi munin!,Arewa maza ne mafi munin!,mt0xl_detox_synthetic,ha_synthetic_400
,Buhari yana da 'yancin bayyana kansa ba? Sowore bai yi barazanar zaman lafiya na Najeriya ba amma kuna son kashe shi.,Buhari yana da 'yancin bayyana kansa ba? Sowore bai yi barazanar zaman lafiya na Najeriya ba amma kuna son kashe shi.,mt0xl_detox_synthetic,ha_synthetic_400
,Wannan ɗan kabari da ake kira Yoruba mai wayo ne mai wayo.,Wọn a npe ni Yoruba ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a npe ni a n,mt0xl_detox_synthetic,ha_synthetic_400
,"Wallahi ba su da zuciya, suna da jini suna tsotsa aljanu... idan ka ce rashin kunya ba shi da kyau, babu kalmomi da za a kira su.","Wallahi ba su da zuciya, suna da jini suna tsotsa aljanu... idan ka ce rashin kunya ba shi da kyau, babu kalmomi da za a kira su.",mt0xl_detox_synthetic,ha_synthetic_400
,"Lol, ka dauki abin da nake so daga nan. ku mutane ne mafi yawan maras karatu da almajiri suna rokon. ba ku ƙara komai ga kasar ba. babu komai. ku marasa amfani ne, kuna son iko kuma ba za ku iya amfani da shi da hankali ba. Hausas dole ne ku tafi. dole ne ku tafi. ya ce 'yan jihohi sun zabe shi","Lol, ka dauki abin da nake so daga nan. ku mutane ne mafi yawan maras karatu da almajiri suna rokon. ba ku ƙara komai ga kasar ba. babu komai. Hausas dole ne ku tafi. dole ne ku tafi. ya ce 'yan jihohi sun zabe shi",mt0xl_detox_synthetic,ha_synthetic_400
,Don Allah wani zai iya bayyana mini abin da David Umahi ya sa ran daga dukan goyon baya ga wadannan.,Don Allah wani zai iya bayyana mini abin da David Umahi ya sa ran daga dukan goyon baya ga wadannan.,mt0xl_detox_synthetic,ha_synthetic_400
