pair_id,group_id,language,toxic_input,detox_output,source,orig_split,split,source_row_index
hi-0000,hi-g0154,hi,जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया,आस मोहम्मद को गिरफ्तार किया गया,MultiParaDetox,hi,reserve,0
hi-0002,hi-g0207,hi,देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा,इसपे तेरा मुह नही खुलेगा,MultiParaDetox,hi,reserve,2
hi-0003,hi-g0201,hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ,MultiParaDetox,hi,reserve,3
hi-0004,hi-g0275,hi,ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया,ममता_बनर्जी ने शाह को औकात पे ला दिया,MultiParaDetox,hi,reserve,4
hi-0005,hi-g0209,hi,देखिए आज की रिपोर्ट अमीश भड़वा से,देखिए आज की रिपोर्ट बेकार अमीश से,MultiParaDetox,hi,reserve,5
hi-0007,hi-g0140,hi,चुप मादरचोद मेरी बाइक तुमने तोड़ी,चुप कर अब मेरी बाइक तुमने तोड़ी,MultiParaDetox,hi,reserve,7
hi-0008,hi-g0015,hi,अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?,अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?,MultiParaDetox,hi,reserve,8
hi-0010,hi-g0002,hi,अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?,अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?,MultiParaDetox,hi,reserve,10
hi-0012,hi-g0279,hi,मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?,उधर नेटवर्क का प्रॉब्लम है तो सिम कार्ड क्यों इश्यू करते हो उस एरिया में?,MultiParaDetox,hi,reserve,12
hi-0016,hi-g0063,hi,इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।,इसको ऐसा सबक सिखाओ कि किसी दूसरी औरत को कभी गंदी नजर से ना देखे |,MultiParaDetox,hi,reserve,16
hi-0018,hi-g0138,hi,चला है लोडा एक्सपर्ट बनने...,चला है एक्सपर्ट बनने...,MultiParaDetox,hi,reserve,18
hi-0023,hi-g0172,hi,तुम लोग सालों नंगे कर के मारे जाओगे सुवर की औलाद,तुम लोगों का अंजाम अच्छा नहीं होगा,MultiParaDetox,hi,reserve,23
hi-0024,hi-g0003,hi,"अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी  और अन्याय तीनों है जो आपके यहां हो रहा है","अगर ये गलत है तो जो जसोदाबेन के साथ हो रहा है वो पक्षपात, गलत और अन्याय तीनों है जो आपके यहां हो रहा है",MultiParaDetox,hi,reserve,24
hi-0027,hi-g0102,hi,काहे के प्रोफेशनल बे भड़वा गिरी और दलाली के ?,काहे के प्रोफेशनल बे गलत काम करने के ?,MultiParaDetox,hi,reserve,27
hi-0029,hi-g0081,hi,एड्रेस पर भोसड़ी के भेज रहा हू,एड्रेस पर तेरे भेज रहा हू,MultiParaDetox,hi,reserve,29
hi-0031,hi-g0111,hi,कुछ लोग तो अपने बायो मे फाउंडर तो ऎसे लिखेंगे कि जैसे कोई बड़ी सी कंपनी खोल रखी है. हट भेनचोद.,कुछ लोग तो अपने बायो मे फाउंडर तो ऎसे लिखेंगे कि जैसे कोई बड़ी सी कंपनी खोल रखी है.,MultiParaDetox,hi,reserve,31
hi-0033,hi-g0184,hi,तू जेएनयू में झांठ नहीं उखाड़ता भोसडीके,तू जेएनयू में कुछ नहीं कर पाता समझे,MultiParaDetox,hi,reserve,33
hi-0034,hi-g0327,hi,ये हराम की खाने वाले पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती,ये भ्रष्ट पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती,MultiParaDetox,hi,reserve,34
hi-0036,hi-g0292,hi,मूर्खो! ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?,ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?,MultiParaDetox,hi,reserve,36
hi-0037,hi-g0242,hi,भड़वे के पास कुत्ता जैसा नाक है हरामखोर पत्रकार,उस चापलूस पत्रकार को तुरंत सब कुछ पता चल जाता है,MultiParaDetox,hi,reserve,37
hi-0038,hi-g0009,hi,अब तो भेनचोद बेइज्जती को भी शर्म आ रही हो गई |,अब तो बेइज्जती को भी शर्म आ रही हो गई |,MultiParaDetox,hi,reserve,38
hi-0040,hi-g0093,hi,कमीना कातिल को चौराहे पर खड़ा करके गोली मार देनी चाहिये |,इस कत्ल के आरोपित पर कड़ी से कड़ी कार्रवाई करनी चाहिये |,MultiParaDetox,hi,reserve,40
hi-0044,hi-g0381,hi,सूअर लोग अपना अस्तित्व बचाने में लगे हैं।।,बुरे लोग अपने अस्तित्व को बचाने में लगे हैं |,MultiParaDetox,hi,reserve,44
hi-0045,hi-g0273,hi,भोसडीके सिर्फ तीन ही परिवार वर्षों तक शासन करते रहे।,सिर्फ तीन ही परिवार वर्षों तक शासन करते रहे।,MultiParaDetox,hi,reserve,45
hi-0046,hi-g0078,hi,"एक जैसा न समझ सबको, ओर तू गांड लेके बीच मे न आ","एक जैसा न समझ सबको, ओर तू बीच मे न आ",MultiParaDetox,hi,reserve,46
hi-0049,hi-g0259,hi,"भैया ब्लॉक कर दिया मैंने तो इस नीच को,",भैया ब्लॉक कर दिया मैंने तो इस बेकर इंसान को,MultiParaDetox,hi,reserve,49
hi-0052,hi-g0146,hi,ज़रा सुनिए कुछ लोगों का स्तर कितना गिरा हुआ है। हरामी नीच,ज़रा सुनिए कुछ लोगों का स्तर कितना गिरा हुआ है।,MultiParaDetox,hi,reserve,52
hi-0054,hi-g0047,hi,आपने सिर्फ सत्ता की लालच में नफरत और हिंसा को पनपाया है। अब ड्रामेबाजी क्यों पलटु कुमार?,आपने सिर्फ सत्ता की लालच में नफरत और हिंसा को क्यों पनपाया है?,MultiParaDetox,hi,reserve,54
hi-0055,hi-g0158,hi,ठोक ठोक के इतना गन्दी औलाद पैदा किया है,तुम्हारी औलाद अच्छी नहीं है,MultiParaDetox,hi,reserve,55
hi-0056,hi-g0128,hi,खुद का खून जला जला कर ये एनामिक होने को पूरी तरह से ततपर दिखते है,बात बात पर गुस्सा होने को पूरी तरह से ततपर दिखते है,MultiParaDetox,hi,reserve,56
hi-0057,hi-g0076,hi,उनमें एक ये टोटिचोर शामिल है !!!,उनमें एक ये बेकार आदमी शामिल है !!!,MultiParaDetox,hi,reserve,57
hi-0060,hi-g0276,hi,मरने दो इन हरामी लड़कियों को,मरने दो इन बुरी लड़कियों को,MultiParaDetox,hi,reserve,60
hi-0062,hi-g0320,hi,ये ममता भेन के लवडी तेरे गांड मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखादे,ये ममता तेरे मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखा दे,MultiParaDetox,hi,reserve,62
hi-0063,hi-g0388,hi,हमारे टुकड़ों पर पलने वाले सूअर नमक हराम भडवे,हमारे टुकड़ों पर पलने वाले धोखेबाज,MultiParaDetox,hi,reserve,63
hi-0065,hi-g0250,hi,भेनचोद की औलाद एक बाप की औलाद है तो सामने से आकर हमला कर,हिम्मत है तो सामने से आकर हमला करो,MultiParaDetox,hi,reserve,65
hi-0066,hi-g0147,hi,जिगर चाहिए   जो तुम जैसी फ़टु सुअर की औलादो के पास नही है,जिगर चाहिए जो तुम्हारे पास नहीं है,MultiParaDetox,hi,reserve,66
hi-0069,hi-g0192,hi,तेरे गांड के गलिचे ना बना दिये तो बोलना,तेरी कुटाई ना कर दी तो बोलना,MultiParaDetox,hi,reserve,69
hi-0070,hi-g0244,hi,भड्वा जांच करले कितना लाभ लिया तू,जांच करले कितना लाभ लिया तू,MultiParaDetox,hi,reserve,70
hi-0073,hi-g0197,hi,तेरे मुह में अब बवासीर हो गया होगा |,तुम कुछ भी बोल नहीं पा रहे होगे |,MultiParaDetox,hi,reserve,73
hi-0074,hi-g0072,hi,"इसके पिछवाडे मे खूटा ठोकना पडेगा, इसको अच्छी वाते समझ में नहीं आती है ।","इस पर रोक लगानी पड़ेगी, इसको अच्छी वाते समझ में नहीं आती है ।",MultiParaDetox,hi,reserve,74
hi-0075,hi-g0049,hi,इतना दोगला पन कहा से लाते हो लुच्चो ?,इतना चाटुकारिता कहा से लाते हो?,MultiParaDetox,hi,reserve,75
hi-0078,hi-g0291,hi,"मुझे नीच पर सफाई  देने की जरूरत नहीं, बदलेगी सरकार","मुझे सफाई देने की जरूरत नहीं, बदलेगी सरकार",MultiParaDetox,hi,reserve,78
hi-0079,hi-g0328,hi,ये हरामखोरो को पता नही है ?,ये धोखेबाजों को पता नही है ?,MultiParaDetox,hi,reserve,79
hi-0080,hi-g0097,hi,कश्मीर को मिलाया भारत में आज ही अमिश भड़वा की तरफ से खुशखबरी !?,कश्मीर को मिलाया भारत में आज ही अमिश की तरफ से खुशखबरी !?,MultiParaDetox,hi,reserve,80
hi-0082,hi-g0094,hi,कल इंडिया हारी नहीं थी तेरे बाप पाकिस्तान को बाहर करने के लिए जान बूझकर हारी थी,कल इंडिया हारी नहीं थी पाकिस्तान को बाहर करने के लिए जान बूझकर हारी थी,MultiParaDetox,hi,reserve,82
hi-0085,hi-g0364,hi,साला दल्ला वोट के कुछ भी कर सकता है |,वह वोट के कुछ भी कर सकता है |,MultiParaDetox,hi,reserve,85
hi-0086,hi-g0133,hi,गैस सिलेंडर महंगा हुआ होता तो अभी तक रंडी रोना रोते |,गैस सिलेंडर महंगा हुआ होता तो अभी तक तमाशा कर रहे होते |,MultiParaDetox,hi,reserve,86
hi-0087,hi-g0134,hi,गौरव साहब नारंगी वाले क्या दूसरे देश के हैं जो उस रंडी ने ऐसा लिखा है,गौरव साहब नारंगी वाले क्या दूसरे देश के हैं जो उस बुरी औरत ने ऐसा लिखा है,MultiParaDetox,hi,reserve,87
hi-0089,hi-g0246,hi,"भाई साहब ये कोई ताजुब की बात नही है यहाँ पर बहुत सारे कमीने, मकार, नमकहराम, दलाल, फरेबी, देशद्रोही है",भाई साहब ये कोई ताजुब की बात नही है यहाँ पर बहुत सारे बुरे लोग हैं,MultiParaDetox,hi,reserve,89
hi-0092,hi-g0008,hi,अब इसपे कोई न्यूज चैनल और दलाल एंकर आपत्ति भी नही जताएंगे ?,अब इसपे कोई न्यूज चैनल और पक्षपात एंकर आपत्ति भी नही जताएंगे ?,MultiParaDetox,hi,reserve,92
hi-0094,hi-g0171,hi,तुम भोसडीके इधर हो मैंने कहा कहा नही ढूंडा,तुम इधर हो मैंने कहा कहा नही ढूंडा,MultiParaDetox,hi,reserve,94
hi-0095,hi-g0262,hi,"भोसड़ी के कटुवे मादरचोद, जो सच है वही तो सुदर्शन न्यूज दिखाता है।",जो सच है वही तो सुदर्शन न्यूज दिखाता है।,MultiParaDetox,hi,reserve,95
hi-0096,hi-g0000,hi,<number> के स्कोर का सत्यानाश कर दिया साले ने,<number> के स्कोर का सत्यानाश कर दिया उसने,MultiParaDetox,hi,reserve,96
hi-0097,hi-g0229,hi,बड़ी बेगैरत बेगम है तुम्हारी रोटी भी ठीक से नही बना पा रही,बेगम तुम्हारी रोटी भी ठीक से नही बना पा रही,MultiParaDetox,hi,reserve,97
hi-0099,hi-g0013,hi,अब बोल रहा है इक सील भी नहीं हुआ चुप भड़वे भेनचोद,अब बोल रहा है इक सील भी नहीं हुआ,MultiParaDetox,hi,reserve,99
