language,toxic_input,detox_output,source,split,sta_score,sim_score
yo,"Ọ̀gá mi, àwọn arábìnrin yẹn gbà pé ó yẹ kí n ṣe bẹ́ẹ̀, wọ́n sì jẹ́ onígbàgbọ́, bí ẹni tó ń gba ara rẹ̀ gbọ́ ṣe ṣe pàtàkì gan-an ni, àmọ́, wọ́n lè jẹ́ èṣù, aṣojú Jezebel","Ọgá ree, eni to ba ṅ bínú, ṥiipo kí o Ṣé bẹ é, àti àwon ọmọ mọran, tí aye jẹ ọkanlomo, a Ṥo ṣiṣẹ si.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.934095561504364,0.3407093286514282
yo,"Mo máa ń rí i pé ó ń fìfẹ́ hàn sí mi, ó ń ṣe ara rẹ̀, ó ń jáde pẹ̀lú mi, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó sì ń ṣe ara rẹ̀.","Ara rẹ ń fi ńrín wá, èsì kó sí àti àṣàmọrí mí, àti ńgbanjúwóni sí bámi.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.693625271320343,0.3938062191009521
yo,O jẹ́ àdàkàdekè,Ó ṣe èṣùpọ̀.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7280578017234802,0.3768495321273803
yo,Jọwọ gbogbo awọn obinrin yii pẹlu ọpọlọ ẹja biko ti o ba ti o ba ti o nlo 200k ni gbogbo osu ki o si o jẹ ki o jẹ ki o dara lati bẹrẹ kan ìdílé,"Ogunyinwo gbogbon obinran ti won ni ogun ọkunrin ti omo l'oriṣa fun toba ni ibi ti aye ni 200,000 nitori awon onise.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.5938423275947571,0.3126920163631439
yo,"Lójijì, èyí tó pọ̀ jù lára àwọn obìnrin Arewa ló máa ń bá Maryam Sanda ṣọ̀fọ̀ lẹ́yìn tí wọ́n ti pa ọkàn kan.","Baba ni, àwọ́nnu àti ìṣe àgbéè àwón obìrin Arewan laarin re sínú iṣẹ̀lẹ̀ Maryam S.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9261549711227416,0.4674694538116455
yo,"Àwọn obìnrin àti bàbá bíáfírà ń gbàdúrà fún yín, wọ́n sì ń tì yín lẹ́yìn, kì í ṣe àwọn ẹranko ní Nàìjíríà tí wọ́n ń fẹ́ kí ẹ ṣubú kí wọ́n lè gbé ìmúṣẹ àwọn àbá búburú tí wọ́n ń ṣe sí àwọn kristẹni, ìjọba oníkùrù Islam, wọn ò nífẹ̀ẹ́ yín","Olorun kan owo ènìyàn ti oṣu ẹnu ẹni Ọlọrun, ṅ bá ńrà dúró pọ̀ àgbéèkó ọlọ́rọ̀, àti èyí tí ẹ ni ń fẹràn ọkàn, kò si ti àwón ológun ni ilẹ̀ Nàjàjiya.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9322823882102966,0.4234815239906311
yo,"Ìpínlẹ̀ River ni ìpínlẹ̀ tí kò dára jù lọ ní Nàìjíríà tí kò ní ìbò.Àwọn olóṣèlú tí kò ní nǹkan kan, tí àwọn èèyàn tí kò ní nǹkan kan ń gbé ní ilẹ̀ tí kò ní nǹkan kan, mo kábàámọ̀ pé mo jẹ́ ọmọ gúúsù.Ẹ máa bá a lọ láti pa ara yín, ẹ̀yin òmùgọ̀.","Ọmọ ojú rire ni ojúde wà ṣe pàtàkì jù wíwóná ní Ilé Ifẹ̀, ko s'ogbé ẹnì. Àwọn alagbádá ti wón jẹ ọgbọnrin, àwọn ẹni ti wọ́n jẹ agbeji lórí ilẹ, mi kaba mí pé mówó ọkàn. E ma ba a ló lóde síwájú ẹnin.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.812248706817627,0.5219766497612
yo,àwọn ará àríwá náà kórìíra ohun gbogbo tó wá láti àríwá. wọ́n fẹ́ràn kí àwọn èèyàn tó wà ní àríwá máa yan màlúù kan láti ẹ̀yà mìíràn ju pé kí wọ́n yan Peter Obi láti ilẹ̀ Igbo lọ.,Ogun to ba ni owo niwon ti wole l'aye lati ipele fun awon igba ti won wa ni ariwa. Won fi gbagbala kan ni wole kan laarin awon etan ti wa ni riwa ko fe se pe ko fi Peter Obbi laarin Igbolapo.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.8058351874351501,0.5522583723068237
yo,Kí nìdí táwọn ọmọbìnrin Nàìjíríà fi ń ṣe ohun tó ń fa àrùn?,Aṣé ẹ yíò wá ọlọ́wọ́ ni ènìyàn ti ojú àárín Nàjàjília fún ìdánimọ̀?,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9253180027008056,0.4314753711223602
yo,"Àní, nígbà tí wọn ò bá ní ìbọn, tí wọn ò bá ní gbé ìbọn, tí wọ́n bá ti ń wọlé lọ, màá fi ọ̀pá ìpáǹle wọn gbá wọn.","Ojúyè, èyí tó wá ni ó n tì sí, wón kò sí ibon, wó ó sì kò gbé ibon.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.5583059787750244,0.564194917678833
