language,toxic_input,detox_output,source,split
ar,أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,MultiParaDetox,ar
ar,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين,MultiParaDetox,ar
ar,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي,MultiParaDetox,ar
ar,هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,هؤلاء هم جزء من فئة المسلمين الذين هم متطرفون.,MultiParaDetox,ar
ar,كييف بلنتي ذي يلعن امك ياحكمم,كييف بلنتي ذي يرحم امك ياحكمم,MultiParaDetox,ar
ar,تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا دبة وهههههههه,تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا سمينة وهههههههه,MultiParaDetox,ar
ar,لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياقردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…,لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياأردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…,MultiParaDetox,ar
ar,صدقا، الثرثرة تبدو غبية حقا.,ليس من الحكمة أن تتصلي بصراحة,MultiParaDetox,ar
ar,إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أحمق أبله يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.,إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أشخص يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.,MultiParaDetox,ar
ar,ضاعت فلوسك يا دبه ببلاش,ضاعت فلوسك ببلاش,MultiParaDetox,ar
ar,عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣,عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣,MultiParaDetox,ar
ar,الله يلعن كس ام سخافتكم ي شراميط انفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله مثلكم ؟ لكم مقا,اانفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله؟ لكم مقا,MultiParaDetox,ar
ar,طيب لحجيه ليش ضايفني عندك,طيب ليش ضايفني عندك,MultiParaDetox,ar
ar,أنت مختل عقلبا ؟,أليس لديك عقل؟,MultiParaDetox,ar
ar,قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…,أردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…,MultiParaDetox,ar
