source_dataset,source_config,source_split,id,language,label,length,toxic_input_raw,toxic_input_processing,existing_parallel_overlap,phase1_status
AfriHate,yor,train,train_yoruba_01273,Yorùbá,Abuse,29,"""gbogbo yin ti ya werey ##url","""gbogbo yin ti ya werey URL",False,raw_native_annotated_toxic
AfriHate,yor,test,train_yoruba_00778,Yorùbá,Hate,244,ìfínràn ẹ̀gbá àti ìkòròdú ní ọdún tí ogun ìjàyè àti ẹ̀gbá ń ró bíi agogo àwọn ọmọ ogun ìjẹ̀bú gbà láti darapọ̀ mọ́ ẹ̀gbá láti kọjú ti ìjàyè ẹ̀gbá ráńṣẹ́ sí àwọn ará ìkòròdú fún ìdarapọ̀ mọ́ ọmọ ogun wọn àwọn ará ìkòròdú ba takú láti bá ẹ̀gbá pé,ìfínràn ẹ̀gbá àti ìkòròdú ní ọdún tí ogun ìjàyè àti ẹ̀gbá ń ró bíi agogo àwọn ọmọ ogun ìjẹ̀bú gbà láti darapọ̀ mọ́ ẹ̀gbá láti kọjú ti ìjàyè ẹ̀gbá ráńṣẹ́ sí àwọn ará ìkòròdú fún ìdarapọ̀ mọ́ ọmọ ogun wọn àwọn ará ìkòròdú ba takú láti bá ẹ̀gbá pé,False,raw_native_annotated_toxic
AfriHate,yor,train,test_yoruba_00117,Yorùbá,Hate,19,"""dpo olofo 🤣🤣 ##url","""dpo olofo 🤣🤣 URL",False,raw_native_annotated_toxic
AfriHate,yor,test,train_yoruba_02293,Yorùbá,Abuse,75,"""dis one starting 11 with reserves awon olosi ole jati jati @username ##url","""dis one starting 11 with reserves awon olosi ole jati jati @USER URL",False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_02196,Yorùbá,Abuse,106,oniregbe olojukokoro lára ìṣekúṣe lati mú oníṣekúṣe ẹlẹ́yà ni a ti rí ẹlẹ́lẹ́yà ọ̀rọ̀ wo la yọ láti ara ìr,oniregbe olojukokoro lára ìṣekúṣe lati mú oníṣekúṣe ẹlẹ́yà ni a ti rí ẹlẹ́lẹ́yà ọ̀rọ̀ wo la yọ láti ara ìr,False,raw_native_annotated_toxic
AfriHate,yor,validation,train_yoruba_00053,Yorùbá,Abuse,119,àmọ́ ṣá piparun rẹ̀ di ọwọ́ọ kówáa wa píparun rẹ̀ ńkọ́ ọwọ́ọ dede wa ló wá ọmọ àlè ní í fi ọwọ́ òsì júwe ilé e baba rẹ̀,àmọ́ ṣá piparun rẹ̀ di ọwọ́ọ kówáa wa píparun rẹ̀ ńkọ́ ọwọ́ọ dede wa ló wá ọmọ àlè ní í fi ọwọ́ òsì júwe ilé e baba rẹ̀,False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_02525,Yorùbá,Abuse,161,"""@username but why do you people used to do like olóriburúkú  like this? you'll start typing in english then pari ẹ̀ with èdè keèdè. nonsense ni gbogbo iyẹn now""","""@USER but why do you people used to do like olóriburúkú like this? you'll start typing in english then pari ẹ̀ with èdè keèdè. nonsense ni gbogbo iyẹn now""",False,raw_native_annotated_toxic
AfriHate,yor,train,dev_yoruba_00202,Yorùbá,Abuse,27,ó fi omi abíyá nu wèrè lójú,ó fi omi abíyá nu wèrè lójú,False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_03404,Yorùbá,Abuse,63,"""olofo lo n binu ologo. #k1liveinconcert #k1llveinconcert ##url","""olofo lo n binu ologo. #k1liveinconcert #k1llveinconcert URL",False,raw_native_annotated_toxic
AfriHate,yor,test,train_yoruba_03319,Yorùbá,Hate,57,"""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆""","""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆""",False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_01000,Yorùbá,Abuse,213,lókè ọya níbí orin òyìnbó ni àwon ẹgbẹ́ akórin ṣọ́ọ̀ṣì wa ma n kọ bíi ọ̀pẹ́ẹ̀rẹ̀ ṣùgbón a ṣe ìsìn orin kan níjọ́sí wọ́n bá pe onílù kan wa okùnrin yìí ma gbá ìlù oooo háà àjẹbí lógbọdọ̀ jẹ́ọmọ àyàn tómọ èdè ìlù ni,lókè ọya níbí orin òyìnbó ni àwon ẹgbẹ́ akórin ṣọ́ọ̀ṣì wa ma n kọ bíi ọ̀pẹ́ẹ̀rẹ̀ ṣùgbón a ṣe ìsìn orin kan níjọ́sí wọ́n bá pe onílù kan wa okùnrin yìí ma gbá ìlù oooo háà àjẹbí lógbọdọ̀ jẹ́ọmọ àyàn tómọ èdè ìlù ni,False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_00421,Yorùbá,Abuse,116,"""egbon, hafa?, why did you delete this tweet? @username ori yin ti daru! you will not get any appointment. 😂😂😂 ##url","""egbon, hafa?, why did you delete this tweet? @USER ori yin ti daru! you will not get any appointment. 😂😂😂 URL",False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_03060,Yorùbá,Abuse,18,"""ọmọ àlè jatijati""","""ọmọ àlè jatijati""",False,raw_native_annotated_toxic
AfriHate,yor,train,test_yoruba_00161,Yorùbá,Abuse,281,"""@username bastard son of a thousand fathers. i don’t blame you. condom would have protected this but your father was too horny to fornicate that he forgot to pull out. if you don’t fuck out of my mentions. oloribuku eyain jati jati, wa shofo ku ni. o ni she orire, koni dufun eh!""","""@USER bastard son of a thousand fathers. i don’t blame you. condom would have protected this but your father was too horny to fornicate that he forgot to pull out. if you don’t fuck out of my mentions. oloribuku eyain jati jati, wa shofo ku ni. o ni she orire, koni dufun eh!""",False,raw_native_annotated_toxic
AfriHate,yor,train,test_yoruba_00482,Yorùbá,Abuse,24,"""dead nigga  olofo ##url","""dead nigga olofo URL",False,raw_native_annotated_toxic
AfriHate,yor,test,dev_yoruba_00211,Yorùbá,Abuse,61,"""@username you are a bastard!! oloriburuku omo ale jati jati""","""@USER you are a bastard!! oloriburuku omo ale jati jati""",False,raw_native_annotated_toxic
AfriHate,yor,train,train_yoruba_03069,Yorùbá,Abuse,67,gbólóhùn mìíràn fún òpònú ni akídanidání òmùgọ̀ èdì dàrẹ́ dàdańdìdì,gbólóhùn mìíràn fún òpònú ni akídanidání òmùgọ̀ èdì dàrẹ́ dàdańdìdì,False,raw_native_annotated_toxic
AfriHate,yor,train,test_yoruba_00386,Yorùbá,Abuse,22,"""orí ẹ dàrú dànù ##url","""orí ẹ dàrú dànù URL",False,raw_native_annotated_toxic
