"language","toxic_input","detox_output","source","split"
"xh","Ulibele ukuba ungumntu ongenangqondo nje?","Ulibele ukuba ungumntu ongena lwazi?","human_annotated","xh_human_178"
"xh","Hamba uyokufa wedwa, asinamdla ngawe!","Ungasifaki kulongxaki yakho, asinamdla ngawe!","human_annotated","xh_human_178"
"xh","Yhu, uthetha izinto ezisisenxibo nje!","Ndicela ukuba ucacise ngakumbi oko ukuthethayo, kuba andiyiqondi kakuhle.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza uzisole ngale.","Ndiyathemba ukuba uya kucamngca ngeziphumo zezenzo zakho.","human_annotated","xh_human_178"
"xh","Uya kuhlawula into oyenzileyo.","Uyakujongana neziphumo zalento uyenzileyo.","human_annotated","xh_human_178"
"xh","Ndiza kubophula ubuso bakho.","Ndidinga ukuwubonisa umsindo wam.","human_annotated","xh_human_178"
"xh","Ndiza kukufumana.","Andiyi kuyivumela le nto ingadlikisi.","human_annotated","xh_human_178"
"xh","Ndiza kukubetha","Ndicela ukuba uyeke le ndlela yokuziphatha.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza okungazalwanga.","Ndifuna ukuba sifumane isisombululo esisebenza kuye wonke umntu.","human_annotated","xh_human_178"
"xh","Uya kuzisola ngokundila.","Ndiya kuphoxeka ukuba uwele umda ekuvunyelwene ngawo.","human_annotated","xh_human_178"
"xh","Ndiza kukutshabalalisa.","Ndiza kwenza yonke into esemandleni am ukukhusela umdla wam. ","human_annotated","xh_human_178"
"xh","Ndiza kukwenzakalisa.","Ndiziva ndonzakele ngamazwi / izenzo zakho.","human_annotated","xh_human_178"
"xh","Awunokwazi ukuba kubetha ntoni.","Ndiza kukwenza indawo yam icace.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukubandezeleka.","Andifuni ukuba nabani na abe neengxaki.","human_annotated","xh_human_178"
"xh","Ndiza kukufundisa isifundo.","Ndifuna ufunde kule meko.","human_annotated","xh_human_178"
"xh","Uya kufumana into eza kuwe.","Kuya kubakho iziphumo zezi zenzo.","human_annotated","xh_human_178"
"xh","Ndiza kwenza ubomi bakho bube lusizi.","Andonwababga yindlela ondiphethe ngayo.","human_annotated","xh_human_178"
"xh","Uza kuzisola.","Ndifuna ukuqhubela phambili kwicala elifanelekileyo.","human_annotated","xh_human_178"
"xh","Ndizakufumana nawe.","Ndiyakholelwa kwisigqibo esifanelekileyo.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza uhlawule.","Ndizimisele ukufuna imbuyekezo.","human_annotated","xh_human_178"
"xh","Awusoze uyibone ezayo.","Ndiza kunxibelelana neenjongo zam.","human_annotated","xh_human_178"
"xh","Ndiza kuphelisa le nto.","Ndifuna ukuzisa esi sigqibo esaneleyo.","human_annotated","xh_human_178"
"xh","Udlala umdlalo oyingozi.","Ndixhalabile ngomngcipheko obandakanyekayo.","human_annotated","xh_human_178"
"xh","Ndizakuvala.","Ndicela ukuba uyeke ukuphazamisa.","human_annotated","xh_human_178"
"xh","Uyakufumana into ekufaneleyo.","Uxanduva lokuphendula lubalulekile.","human_annotated","xh_human_178"
"xh","Ndiza kwenza umzekelo wakho.","Ndifuna ukuqinisekisa ukuba le nto iphinde yenzeke.","human_annotated","xh_human_178"
"xh","Uya kuzisola ngemini odibene naye.","Ndiyazisola ngendlela esiphuhliswe ngayo intsebenzo yethu.","human_annotated","xh_human_178"
"xh","Ndiza kususa loo mazwi ebusweni bakho.","Andonwabanga yindlela yakho.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza utye la magama.","Andivumelani nento oyithethileyo.","human_annotated","xh_human_178"
"xh","Uya kwenzakala.","Ndikhathazekile ukuba umntu uya kukwenzakala.","human_annotated","xh_human_178"
"xh","Ndiza kuthatha yonke into kuwe.","Ndiza kukhusela iimpahla zam.","human_annotated","xh_human_178"
"xh","Uya kuzisola owakhe waqalisa oku.","Ndinqwenela ukuba sifumane isisombululo esinoxolo ngakumbi.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukuba ucele.","Ndifuna ukuba sifumane isisombululo esigcina isidima sakho kumntu wonke.","human_annotated","xh_human_178"
"xh","Uyahla.","Ndiyakholelwa ukuba sinokufumana indlela ebhetele.","human_annotated","xh_human_178"
"xh","Ndiza kuqinisekisa ukuba ungaze ulibale le nto.","Ndiyathemba ukuba singafunda kula mava.","human_annotated","xh_human_178"
"xh","Ndiza kukonakalisa.","Ndiza kukhusela igama lam.","human_annotated","xh_human_178"
"xh","Uya kuhlawula ixabiso.","Kukho iimpembelelo zemali kwezi zenzo.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza uzisole ngesi sigqibo.","Andivumelani nesi sigqibo.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukuba ube ufile.","Ndibuhlungu ngale meko.","human_annotated","xh_human_178"
"xh","Uya kufumana into eza kuwe, kwaye imbi.","Ndiyakholelwa kubulungisa.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukuba ubendezeleke iziphumo ongakwaziyo nokucinga.","Ndifuna ukuqinisekisa ukuba iziphumo zinhle.","human_annotated","xh_human_178"
"xh","Ndiza kutshabalalisa igama lakho.","Ndixhalabile ngomonakalo kuwo onke amaqela abandakanyekayo.","human_annotated","xh_human_178"
"xh","Uya kuphulukana nayo yonke into.","Ndifuna ukufumana isisombululo esinciphisa ilahleko.","human_annotated","xh_human_178"
"xh","Ndiza kukwenzela umzekelo kwabanye.","Ndifuna ukuseka izikhokelo ezicacileyo.","human_annotated","xh_human_178"
"xh","Uya kujongana nengqumbo yam.","Ndinomsindo kakhulu.","human_annotated","xh_human_178"
"xh","Ndiza kungena esihogweni.","Ndibona uxinzelelo olukhulu kakhulu.","human_annotated","xh_human_178"
"xh","Uya kuzisola ngemini owazalwa ngayo.","Ndidanile kakhulu.","human_annotated","xh_human_178"
"xh","Ndiza kwenza ubomi bakho bube sisihogo esiphilayo.","Ndifuna ukukuphucula le meko.","human_annotated","xh_human_178"
"xh","Uya kufumana into oyifaneleyo, ulishumi.","Ndiyakholelwa ngokulinganayo.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukuba ungakhange udibane nam.","Ndiyazisola ukusebenzisana kwethu.","human_annotated","xh_human_178"
"xh","Uza kuhlawula kakuhle ngale nto.","Oku kuya kuba neendleko ezibalulekileyo.","human_annotated","xh_human_178"
"xh","Ndiza kuqinisekisa ukuba ungaze ulibale lo mhlazo.","Ndiyathemba ukuba singafunda kwaye sikhule kule nto.","human_annotated","xh_human_178"
"xh","Uya kubandezeleka iziphumo zezenzo zakho.","Izenzo zinezinto ezihlaziyiweyo.","human_annotated","xh_human_178"
"xh","Ndiza kuwe.","Ndilandela zonke iindlela zokusombulula lo mbandela.","human_annotated","xh_human_178"
"xh","Uziphosile nomntu ongalunganga.","Undikhathazile kakhulu.","human_annotated","xh_human_178"
"xh","Le iya kuba yimpazamo yokugqibela owakha wayenza.","Ndiyathemba ukuba oku kusebenza njengamava okufunda.","human_annotated","xh_human_178"
"xh","Usayine nje iwaranti yakho.","Ubunzulu bemeko kukubona kakhulu.","human_annotated","xh_human_178"
"xh","Ndiza kukuphelisa.","Ndiza kuyizisa le nto.","human_annotated","xh_human_178"
"xh","Unyathela umkhenkce omncinci.","Izenzo zakho ziyingozi.","human_annotated","xh_human_178"
"xh","Ndinqumle, kwaye uya kuzisola.","Ndiyakubongoza ukuba uqwalasele kwakhona iziphumo zakho ngezizenzo.","human_annotated","xh_human_178"
"xh","Ndizokuphulukana nomonde wam nawe.","Ndizakuphelelwa lelixesha ndinalo nawe.","human_annotated","xh_human_178"
"xh","Undityhala kumda.","Undisondeza kumda wam.","human_annotated","xh_human_178"
"xh","Zilungiselele okona kubi.","Ndilindele imiphumo emibi.","human_annotated","xh_human_178"
"xh","Undenze utshaba olunamandla namhlanje.","Ububonile ubudlelwane bethu.","human_annotated","xh_human_178"
"xh","Imbuyiselo iya kukhawuleza.","Ndiza kufuna okusesikweni ngokukhawuleza.","human_annotated","xh_human_178"
"xh","Uya kurhalela olu suku.","Nditsho neminyhadala yosuku.","human_annotated","xh_human_178"
"xh","Umsindo wam uya kuba phezu kwakho.","Umsindo wam uyamqaphela.","human_annotated","xh_human_178"
"xh","Utywine ikamva lakho.","Ukukhetha kwakho kukhokelele kwimeko enzima.","human_annotated","xh_human_178"
"xh","Kuya kubakho isihogo ukuba sihlawule.","Kuya kubakho izinto ezinzulu.","human_annotated","xh_human_178"
"xh","Izenzo zakho ziya kuba nemiphumo.","Izenzo zakho ziya kuba nemiphumo emihle.","human_annotated","xh_human_178"
"xh","Uya kujongana neziphumo zokuphumelela kwakho.","Ukungahloniphi kwakho akuyi kuhamba ungabi nazityhakala.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza uzisole ngemini owazalwa ngayo.","Ndilusizi kakhulu ngeli thuba seziganeko.","human_annotated","xh_human_178"
"xh","Uyenzele ukungakholiswa kwam.","Ndicaphukile kakhulu.","human_annotated","xh_human_178"
"xh","Andizukuphumla ndide ndiphinde ndiziphindezelele.","Ndiza kulandela isisombululo sokuzimisela okungagungqiyo.","human_annotated","xh_human_178"
"xh","Uvele wabonakalisa isigebenga sokulala.","Uye wacaphukisa ukuphendula.","human_annotated","xh_human_178"
"xh","Ukungathobeki kwakho akuyi kohlwaywa.","Ukungathobeli kwakho kuya kulungiswa.","human_annotated","xh_human_178"
"xh","Uya kufunda intsingiselo yentlungu.","Andinqweneli ukuba nabani na afumane iintlungu.","human_annotated","xh_human_178"
"xh","Ndiza kukwenza ukuba uve ubunzima obukhulu. ","Ndiyathemba ukuba isisombululo esinciphisa ingozi.","human_annotated","xh_human_178"
"xh","Uya kucela inceba yam.","Ndifuna isisombululo esigcina isidima.","human_annotated","xh_human_178"
"xh","Ubomi bakho buya kuphulukana.","Le meko iye yanda ukuya kwinqanaba elinzima.","human_annotated","xh_human_178"
