pair_id,group_id,language,toxic_input,detox_output,source,orig_split,split,source_row_index
uk-0000,uk-g0097,uk,"Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...",MultiParaDetox,uk,reserve,0
uk-0002,uk-g0096,uk,"Все одно він мудак, бо не пише)","Все одно він негідник, бо не пише",MultiParaDetox,uk,reserve,2
uk-0003,uk-g0257,uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться вмикати режим хитрощів.,MultiParaDetox,uk,reserve,3
uk-0004,uk-g0202,uk,"От нахуя мене зайобувати з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???",MultiParaDetox,uk,reserve,4
uk-0005,uk-g0337,uk,"бляха, як же мені прикро, що все так ;(","як же мені прикро, що все так ;(",MultiParaDetox,uk,reserve,5
uk-0011,uk-g0208,uk,"Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю.",MultiParaDetox,uk,reserve,11
uk-0012,uk-g0188,uk,НєБо у вас хуйовий гуртожиток,НєБо у вас  поганий гуртожиток,MultiParaDetox,uk,reserve,12
uk-0013,uk-g0131,uk,"Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.","Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.",MultiParaDetox,uk,reserve,13
uk-0014,uk-g0213,uk,Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.,Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.,MultiParaDetox,uk,reserve,14
uk-0016,uk-g0099,uk,Всі збиратимутися та дрочитимуть на твої фоточки.,Всі збиратимутися та вонанувати на твої фоточки.,MultiParaDetox,uk,reserve,16
uk-0017,uk-g0063,uk,"Бандіти, написав в бложик, про те як мусарку вогнеметами озброїли.","Бандіти, написав в бложик, про те як поліцейських вогнеметами озброїли.",MultiParaDetox,uk,reserve,17
uk-0020,uk-g0352,uk,каре і срібло у хуйовій якості,каре і срібло у жахливой якості,MultiParaDetox,uk,reserve,20
uk-0023,uk-g0135,uk,Коли ти дуже жостко підйобуєш Настю,Коли ти дуже жостко глузуєшь над Настєю,MultiParaDetox,uk,reserve,23
uk-0024,uk-g0113,uk,Дуже хочу написати щось дуже розумне  але хуй його знає що...,Дуже хочу написати щось дуже розумне  але хто його знає що...,MultiParaDetox,uk,reserve,24
uk-0026,uk-g0022,uk,- Ти бухаєш водяру і забиваєш на все болт!,'- Ти п''єш горілку і перестаєш на все реагувати',MultiParaDetox,uk,reserve,26
uk-0027,uk-g0102,uk,"Він потім думає, ну і в пизду не дуже то і хотілось їсти.","Він потім думає, ну і не дуже то і хотілось їсти.",MultiParaDetox,uk,reserve,27
uk-0028,uk-g0264,uk,Українська термінологія - це піздєц.,Українська термінологія - це жах.,MultiParaDetox,uk,reserve,28
uk-0029,uk-g0030,uk,"І бля, їхала сюди - то мала роботу.","І, їхала сюди - то мала роботу.",MultiParaDetox,uk,reserve,29
uk-0030,uk-g0274,uk,"Хочу постити депресивну хуйню в інст, але там забагато знайомих","Хочу постити депресивну дурниці в інст, але там забагато знайомих",MultiParaDetox,uk,reserve,30
uk-0032,uk-g0105,uk,"ДаЗнав одну, їбанутішої людини не бачив","ДаЗнав одну, божевільного людини не бачив",MultiParaDetox,uk,reserve,32
uk-0034,uk-g0081,uk,"В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно","'В коментарях автор пояснює, що їздив дивитися, як тубільці б''ються між собою, про “both sides” і “more neutral approach”, прекрасно'",MultiParaDetox,uk,reserve,34
uk-0036,uk-g0142,uk,"Люди кажуть, що всім похуй на них.","Люди кажуть, що всім всеодно на них.",MultiParaDetox,uk,reserve,36
uk-0037,uk-g0209,uk,"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню","Очікуєш на щось гідне, а в результаті отримуєш щось погане",MultiParaDetox,uk,reserve,37
uk-0038,uk-g0323,uk,а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?,А нє поставіть-ка мне моє достоєнство на аву і зіпсувати собі репутацію,MultiParaDetox,uk,reserve,38
uk-0039,uk-g0115,uk,"Дякую за зауваження)Пиздити мене треба, щоб менше пизділа!","Дякую за зауваження)Бити мене треба, щоб менше тараторіла!",MultiParaDetox,uk,reserve,39
uk-0042,uk-g0393,uk,"ця ""безвітсоткова позика"" це водіння немитим хуєм по губам всіх, без виключення українців. ось що бісить блять у тому числі.","ця ""безвітсоткова позика"" це знущання з усіх, без виключення українців. ось що бісить у тому числі.",MultiParaDetox,uk,reserve,42
uk-0045,uk-g0338,uk,бляяя точно) і поміняти прізвище вконтактику,Блін точно)і поміняти прізвище вконтактику,MultiParaDetox,uk,reserve,45
uk-0047,uk-g0122,uk,"Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!","Зараз закурю... поганий футбол, тримай себе в руках, Міла",MultiParaDetox,uk,reserve,47
uk-0052,uk-g0275,uk,"Хтіли ""паставіть падножку Порошєнка"", а вийшло дати в жопу тіко.","Хтіли ""паставіть падножку Порошєнка"", а вийшло наоборот тільки.",MultiParaDetox,uk,reserve,52
uk-0054,uk-g0336,uk,"бляха, я не можу змусити себе вчитися!","Капець, я не можу змусити себе вчитися",MultiParaDetox,uk,reserve,54
uk-0056,uk-g0146,uk,Мандєц блядьЧо ж так смєшно з цього?,Чого ж так смішно з цього?,MultiParaDetox,uk,reserve,56
uk-0057,uk-g0238,uk,"Та нахуй ти мені впав, скотина ти така)))",Та навіщо ти мені потрібен,MultiParaDetox,uk,reserve,57
uk-0058,uk-g0109,uk,"Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?","Дивлюсь на відповіді голосувань і, хто так погано мене знає?",MultiParaDetox,uk,reserve,58
uk-0059,uk-g0381,uk,"та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм",Нема зворотніх плацкартні на коли мені треба в обозрімом будущєм,MultiParaDetox,uk,reserve,59
uk-0060,uk-g0181,uk,"Ну нахуй, мудаки і є мудаки","Ну, погані і є погані",MultiParaDetox,uk,reserve,60
uk-0061,uk-g0288,uk,"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.","Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття  кидає мені АНЕКДОТИ.",MultiParaDetox,uk,reserve,61
uk-0062,uk-g0255,uk,"Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого","Той  в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого",MultiParaDetox,uk,reserve,62
uk-0063,uk-g0104,uk,"Господи йоб твою мать, вирубіть уже літо нахуй.","Господи, вирубіть уже літо.",MultiParaDetox,uk,reserve,63
uk-0064,uk-g0002,uk,"' бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'","'ти пам''ятаєш, шо мені було потім?) я мацала так пити)'",MultiParaDetox,uk,reserve,64
