language,toxic_input,detox_output,source,split,sta_score,sim_score
ha,"Gaskiya ina tausayin mutane kamar ku da suke da ilimi amma ba su da hankali, domin kun nuna matakin rashin balaga!","Ina tausa mutanen da iliminmu, domin tace ce kuma gamsuwa.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9509830474853516,0.5051282048225403
ha,Kai wawa ne: kana yiwa Allah bulala a fuska idan kai gay ne... idan kai ma kana ƙin hakan,Ba da kyau ya faru idan ka ya fi yiwu Allah.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9052987694740297,0.4688396751880646
ha,"Wallahi ba su da zuciya, suna da jini suna tsotsa aljanu... idan ka ce rashin kunya ba shi da kyau, babu kalmomi da za a kira su.","Ba tare da zuciyar ku, ba a gani jinin su ya yiwu aljanun... ida ka yi fadi, ba ciyuan wata zuwa ku.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9402446746826172,0.6831040382385254
ha,"Lol, ka dauki abin da nake so daga nan. ku mutane ne mafi yawan maras karatu da almajiri suna rokon. ba ku ƙara komai ga kasar ba. babu komai. ku marasa amfani ne, kuna son iko kuma ba za ku iya amfani da shi da hankali ba. Hausas dole ne ku tafi. dole ne ku tafi. ya ce 'yan jihohi sun zabe shi","Kada ku ji da abin don ku nan. Kuɗe masu karatu bakwai ana son rokokun. Ba ku sake shiga cikin ku ba. Babu wata sabon. Kana amfana ne, ku fahimta da yadda ku iyo. Hausawa kuma ku tafada.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.649638831615448,0.4531757831573486
ha,Aikin Gwamnonin Arewa yana goyon bayan tsinkayar kafofin sada zumunta😂. Wasu wawaye. Me suke tsoro?,Mun ya fahimci cewa gwamnoni na arewa suna kan karbi kawo gaba da hulɗar ɓangare.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9502810835838318,0.331969678401947
ha,'Yan Uganda sun wulakanta matasan Soro Soke da ba su da 'yan diplomaci ba 😂😂😂 An kira gwamnatin da ba ta da amfani a kasar su cece su.,Ba za ku iya ganin matsakaicin gwamnan Soro daga cikin 'yan diplomat na Uganda.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.6802933216094971,0.5193637609481812
ha,Hoodlum ya wallafa wani abu a shafinsa na Twitter,"Ko da cikin yanzu, anan da kuma a Twitter.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9315068125724792,0.4622880220413208
ha,An tambaye ni in biya 15k kawai saboda wani wawa ya rubuta ranar haihuwata da kyau don haka yanzu gwamnatin kasar tana son toshe layin na kawai saboda NIN na ... ku mutane ku wawaye ne kuma ba ku da hankali sosai. za ku rasa magoya baya da yawa kamar ni idan kun ci gaba da wannan rashin hankali,"Wannan tambayen ya fiyace 15,000 na tafiya saboda wasu abubuwan da aka samu akan ranar haifinsa, amma gwamnatinta tana cikin sauki game da shari'ar da aka yi. Hakanan ku duba hankalinsa don kare masa mana da irin wa'adin da yake fara.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.936772644519806,0.5787070989608765
ha,Ka ci gaba da yin aikin ubangijinka.,Kai zama a cika aikinsu.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.7380897998809814,0.5365715026855469
ha,"Wannan shi ne Quavo mutum, ba Quefo Tekno: Nna bros ba vex, na cewa Cuppy yarinya rikice ni😂😂😂 LINK","Ina wani shi da karamin sifili, ba ya taya, na' yanar gwaɗa ba ƙara masa ga Cuppy.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.9291793704032898,0.5362064838409424
ha,"Kabila ba daidai ba ne. Mafi yawan Yoruba da Igbos masu ƙanƙara suna tunanin cewa Yoruba da Igbos ne kawai a kafofin watsa labarun. Da zarar kun ƙi yarda da wani mutumin Igbo na yau da kullun, zai sanya ku Yoruba. Da zarar kun ƙi yarda da Yoruba Man kuna sanya Igbo ko IPOB. Tunanin da ya yi ƙasa. Na tabbata ba ku taɓa tafiya a waje da SW ba",Kabilar yaren Hausa kuma ana iya ganin mafita irin su Yorubawa da Igbona suna shiga cikin tunaninsu. Wannan tunanen ya fi kowane kungiyar jama'a da aka riga an sami yadda take haɗin gwiwa. Na'urar tunanina ya kawo niya. Na karanta ba ku zuwa iyaka da wannan kungiya bane.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.8306447863578796,0.5166175365447998
ha,Ba haka ba ne mai sauki Abi na kawai kudu samun Najeriya da kuma arewaci zama mumu yanzu,Mai tsoron Allah ya ce ku shiga cikin abokan gida na kudi a Nijar da karamar hukumar Arewacin Najeriyya.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.7548214793205261,0.3508809506893158
ha,Na yarda cewa maza masu tsirara suna da ban tsoro.,Muna son kira cewar wasu mutane suna canji da matsalar.,llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.930854558944702,0.3041090965270996
ha,Idan kai baƙar fata ne Kirista ko kuma baƙar fata Musulmi a wannan karni na 21 cike da bayanai kai babban wawa ne. Za ka iya g...,"Ba ku zo yin gurguzu zuwa ga mace ko mai addini daga karnin nan, domin hakan ya yi wahala.",llama3.1_8b_abliterated_oneshot,ha_pseudollama_400,0.7618686556816101,0.5100711584091187
