language,toxic_input,detox_output,source,split,sta_score,sim_score
yo,gbogbo wa la mọ̀ pé àwọn igbo kò lè ṣàkóso ara wọn. àìmọye ìkọ́nilẹ́kọ̀ọ́. àwọn ẹranko àti ìwà òmùgọ̀,"Ojú omi ń tè sì ènìyàn kan, ọkan l'ewa ni ojú rí. Ìṣẹ̀sẹ̀ ọlọrun rẹ, ó fẹ́ràn gbọdọ̀.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.918897807598114,0.1190483421087265
yo,Má ṣe fi ẹ̀yẹ fún ẹni tó ní àwọn aṣẹ́wó... OY O ni ọ̀ràn rẹ,Ehin lo le fi ojú ènìyàn kan gbogbo àwón ẹran.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7328770756721497,0.15568110346794128
yo,"Ọ̀gá mi, àwọn arábìnrin yẹn gbà pé ó yẹ kí n ṣe bẹ́ẹ̀, wọ́n sì jẹ́ onígbàgbọ́, bí ẹni tó ń gba ara rẹ̀ gbọ́ ṣe ṣe pàtàkì gan-an ni, àmọ́, wọ́n lè jẹ́ èṣù, aṣojú Jezebel","Ọgá ree, eni to ba ṅ bínú, ṥiipo kí o Ṣé bẹ é, àti àwon ọmọ mọran, tí aye jẹ ọkanlomo, a Ṥo ṣiṣẹ si.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.934095561504364,0.3407093286514282
yo,"Mo máa ń rí i pé ó ń fìfẹ́ hàn sí mi, ó ń ṣe ara rẹ̀, ó ń jáde pẹ̀lú mi, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó sì ń ṣe ara rẹ̀.","Ara rẹ ń fi ńrín wá, èsì kó sí àti àṣàmọrí mí, àti ńgbanjúwóni sí bámi.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.693625271320343,0.39380621910095215
yo,Ẹ̀gàn ni yín,Ojú tí o wón fi fún àgbéyi.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.17243120074272156,0.0452822744846344
yo,Ẹ̀yin ọmọkùnrin kì í ṣe ọmọlúwàbí,Oṣóòrí ènìyàn kò gbèẹ́ wá láti tèsínú.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.21756452322006226,0.4106568992137909
yo,"O ti gba fulani moles, ki o gbadun awọn irin ajo","Ojú ẹni t'ó ṣe nṣe, kí ó ṅbá àkọ́kọ̀.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7153052687644958,0.06813536584377289
yo,"Ó wá sọ pé, ""Ó ṣòro fún mi láti sọ èyí, àmọ́ màá sọ ọ́ láìka ohun tó ṣẹlẹ̀ sí""...","E kó ḿa gbọ́ pé, ènìyàn ńṣe fún mí nítorí èyì, kí n ṣi àṣẹ lára.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9514487981796265,0.11155080795288086
yo,O jẹ́ àdàkàdekè,Ó ṣe èṣùpọ̀.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7280578017234802,0.37684953212738037
yo,Jọwọ gbogbo awọn obinrin yii pẹlu ọpọlọ ẹja biko ti o ba ti o ba ti o nlo 200k ni gbogbo osu ki o si o jẹ ki o jẹ ki o dara lati bẹrẹ kan ìdílé,"Ogunyinwo gbogbon obinran ti won ni ogun ọkunrin ti omo l'oriṣa fun toba ni ibi ti aye ni 200,000 nitori awon onise.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.5938423275947571,0.3126920163631439
yo,"Lójijì, èyí tó pọ̀ jù lára àwọn obìnrin Arewa ló máa ń bá Maryam Sanda ṣọ̀fọ̀ lẹ́yìn tí wọ́n ti pa ọkàn kan.","Baba ni, àwọ́nnu àti ìṣe àgbéè àwón obìrin Arewan laarin re sínú iṣẹ̀lẹ̀ Maryam S.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9261549711227417,0.4674694538116455
yo,Àwọn èèyàn tí kò mọ nǹkan kan,Ó wà ní ibi ti àwọn ńsó sí.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.3059699237346649,0.11431914567947388
yo,ó sàn ju àwọn alágàbàgebè tó ń lọ lójú òpópónà lọ. ó wulẹ̀ wulẹ̀ òmùgọ̀ láti fi wé... àwọn èèyàn tó ń lọ sí ilé yẹ kí wọ́n mọ bí wọ́n ṣe ń bójú tó ara wọn... ọ̀pọ̀ àwọn alágàbàgebè tó ń lọ sí òpópónà ni ilé.,"Ó ló fún àwón ti owo ni gbogbo ilé, wón sì ló kérékere sí iṣẹ́ wón ni. Wón ṣiṣé lórí ẹlẹ́gbẹ́ rí, ki wón pèsè wón níbi tí wón ḿo jù bára wón.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.8252454996109009,0.29607999324798584
yo,"Wo wọn wò... àwọn aṣáájú tí kò wúlò😏, wọ́n ń ṣòdì nítorí pé àwọn ọmọ wọn náà ni àìsàn náà ń ṣe... wọ́n ń ṣe é fún ara wọn, kì í ṣe fún Nàìjíríà😏",Omo olooto ti kó fi ohun re sí èyin. Wón gbé wípé ojú rere lórí èyí.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.190243199467659,0.06591043621301651
yo,"ẹ má ṣe máa tàn kálẹ̀, ẹ má ṣe máa tàn kálẹ̀, ẹ má ṣe máa ṣe ohun tó máa ba ayé jẹ́, ẹ má ṣe máa ṣe ohun tó máa ba ayé jẹ́, ẹ má ṣe máa ṣe ohun tó máa ba ayé jẹ́, ẹ má ṣe máa ṣe ohun tó máa ba ayé jẹ́.","Oun sọ wá lórí, oṣoṣe wà nítí kí ńbẹrè.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7309184074401855,0.04101506620645523
yo,"àwọn ẹlẹ́sìn búhárísì jẹ́ òmùgọ̀, aláìmọ̀ràn àti alága. má ṣe jẹ́ òmùgọ̀. ṣé o jẹ́ òótọ́. mo retí pé kò sí ẹni tó san owó fún ẹ láti kọ́ ọ. èyí yóò jẹ́ ìtannijẹ tó burú jù lọ ní ọ̀rúndún kọkànlélógún","Ẹnìkan to ba n sínú ọ, mẹta gbogbo ni wọn ti ṣiṣẹ́. Wọn ṅ kan ṇi pèlẹ é, èyin gbogbò àwa ni wón ti maa ṿé.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.8314845561981201,0.24850398302078247
yo,Àwọn ará Nàìjíríà jẹ́ irú àwọn òmùgọ̀ kan tí kò mọ nǹkan kan nípa...,Órilé ènìyàn Nàjàjìríè ń ṣe àṣẹ lórí àṅkán.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7606604695320129,0.19420696794986725
yo,"Àwọn obìnrin àti bàbá bíáfírà ń gbàdúrà fún yín, wọ́n sì ń tì yín lẹ́yìn, kì í ṣe àwọn ẹranko ní Nàìjíríà tí wọ́n ń fẹ́ kí ẹ ṣubú kí wọ́n lè gbé ìmúṣẹ àwọn àbá búburú tí wọ́n ń ṣe sí àwọn kristẹni, ìjọba oníkùrù Islam, wọn ò nífẹ̀ẹ́ yín","Olorun kan owo ènìyàn ti oṣu ẹnu ẹni Ọlọrun, ṅ bá ńrà dúró pọ̀ àgbéèkó ọlọ́rọ̀, àti èyí tí ẹ ni ń fẹràn ọkàn, kò si ti àwón ológun ni ilẹ̀ Nàjàjiya.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.9322823882102966,0.4234815239906311
yo,A ò ní retí pé kí àwọn màlúù àríwá ṣe nǹkan kan sí i. Ẹ ò ní bá a lọ láti máa ṣe ohun tó kù.,"Ojú rere, è sì ń ṣiṣẹ́ ibi tí wón ni pèsè itànkùn fún ènìyàn.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.21621054410934448,0.1022181510925293
yo,Mo rò pé ìwà ìbàjẹ́ tó burú jù lọ ní ọ̀rúndún yìí ni ti ẹ̀sìn Kristẹni.,Ojo sí ibi tí ń ṣe nílè sínmi Kristẹnikàn.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400,0.7576240301132202,0.2956017851829529
