language,toxic_input,detox_output,source,split
,"*Da yawa mafi girma da nono, mafi karami da kwakwalwa *..............buck wannan bitch da aka ƙalubalanci wannan",,MultilingualHateSpeechCSV,ha_toxic_only
,"Gaskiya ne, mutane Fulani marasa laifi, wawaye, wataƙila ubansa da mahaifiyarsa ne suka aikata waɗannan laifuffukan.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Ta kasance wata yarinya ba, don haka me kuke tsammani, mutane da suka sanya addini a kan duk abin da wasu ciki har da su rayu da su 'yan adam, btw wanda ya damu da ita Epp, ta yi baff?",,MultilingualHateSpeechCSV,ha_toxic_only
,"Ya ku Arewa Twitter, Naga Hausa na yanzu na zamani Duk wanda yah zagi yaranmu nah Hausa kuh cimasa uwa.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Wadannan 'yan kabari, wadanda suka yi ritaya da suka kona motoci a Apo Mechanic a yau a Abuja ba za su iya sayen daya ba, wadannan yara fulani marasa karatu. ",,MultilingualHateSpeechCSV,ha_toxic_only
,Kullum kana sa ni hauka,,MultilingualHateSpeechCSV,ha_toxic_only
,Wata mace za ta kwana da wani dan negro mai kudi kawai saboda ba ta da mata isa ta samu kanta shit .,,MultilingualHateSpeechCSV,ha_toxic_only
,"'Yan uwan Yoruba na yanzu sun fahimci abin da 'yan IPOB suka fuskanta a hannun wadannan mugayen mutane a iko. amma labari mai dadi a nan shi ne, ba kai kadai ba ne a wannan, Najeriya ba ta aiki ga kowa.",,MultilingualHateSpeechCSV,ha_toxic_only
,"A lokacin da na rubuta wannan labarin, yawancin su suna fama da bugun zuciya. ko kuma...",,MultilingualHateSpeechCSV,ha_toxic_only
,"Har yanzu bai samu takardar ba, har yanzu yana sayen karin mummies na Lagos a kullum.",,MultilingualHateSpeechCSV,ha_toxic_only
,Haka ne saboda mutanenmu makafi ne kuma sun sayar da kansu a gare su....... Tambayar ita ce idan Sinawa ne ke tallafawa tashin hankali a Arewa a yanzu?????,,MultilingualHateSpeechCSV,ha_toxic_only
,Na wawa yarinya da ke son amfani da Nengi Trend .. ya kamata ka lashe HOH don mu ga yadda ka jagoranci duk ka yi shi ne ya jagoranci ta hanyar barci tare da yabo wawa,,MultilingualHateSpeechCSV,ha_toxic_only
,"Thunder zai kore ka, kana ganin mu wawaye ne kamarka, ba ka biya N-power kudinsu ba kuma kana karya cewa kana ba da kudi mara amfani. Baro bansa, ole(baftisma). Hausa mace mara amfani, koma dakinka, ka gaza sosai 🤗🤗🤗🤗",,MultilingualHateSpeechCSV,ha_toxic_only
,Ina karkatar da masu sukar kamar ku har sai kun yi wa kanku ba'a.,,MultilingualHateSpeechCSV,ha_toxic_only
,"Wadannan 'yan Hausa suna da mugunta da son kai, kuna ci gaba da wanke kwakwalwar al'ummarku yayin da kuke tura yaranku zuwa kasashen waje inda suke koyon abubuwa da yawa banda koyarwar ku ta Larabci.",,MultilingualHateSpeechCSV,ha_toxic_only
,"*Yarinya ga yarinya*: ""Kana da kyau!"" *Haba, na gode, haka ma kake da shi!"" *Gay ga saurayi*: ""Kana da kyau"". *Olushi! Allah ya hukunta ka!",,MultilingualHateSpeechCSV,ha_toxic_only
,"Idan Adamu yana ciyar da lokaci tare da Hauwa'u, ta ba su bi maciji magana.",,MultilingualHateSpeechCSV,ha_toxic_only
,"kuma wasu idan u yi wani mataki kuma sowore kuma yi wani mataki abin da yake da mummunan abu a cikinsa lokacin da Sahara rp ya ce yele da sauransu, bari mu ci gaba da natsuwa girman kai kada mu biya lissafin. bari mu hada kai kamar Biafra da Arewa matasa yele ba mu matsala ooooh u kira shi agbaya haka bakin ciki.",,MultilingualHateSpeechCSV,ha_toxic_only
,Wannan sh*t yana da matukar dacewa 😭😂😭💔 Wannan Buhari ne Hausa ne ya yi magana da shi Tunde Bakara ne ya yi magana da shi NNPC ne ya yi magana da shi Owerri ne ya yi magana da shi Najeriya ne ya yi magana da shi Biafra LINK,,MultilingualHateSpeechCSV,ha_toxic_only
,Yoruba boys ba su san abin da suka kira da sauri... za su yi maka kama ko da brigade na masu gadi suna zuwa a sirens,,MultilingualHateSpeechCSV,ha_toxic_only
,"su ne mafi yawan bankunan da ba su da amfani da mafi munin sabis na banki, ba za su iya tsayawa tare da wani bankin microfinance ko da ibolo ko balogun Fulani microfinance bank awon oloshi arindoti masafani",,MultilingualHateSpeechCSV,ha_toxic_only
,"Mafi yawan abubuwan da ba su da ma'ana da kuma mafi yawan abubuwan da ba su da ma'ana da aka yi a shafin yanar gizo ......da aka yi a gabanku duk kuna buɗe bakunanku, na zauna a Arewa maso gabas kuma ni Kirista ne.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Wannan ba daidai ba ne, shi ya sa kuke ci gaba da yin lalata da ku, idan ba haka ba ne ba za a iya samun guba a kusa da ku ba.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Allah ya taimake ni, ina fata wannan numskull mai suna Daddy Freeze ba Yoruba ba ne! irin wannan banza mai magana da banza da irin wannan amincewa!",,MultilingualHateSpeechCSV,ha_toxic_only
,Ba za ka yi nasara ba,,MultilingualHateSpeechCSV,ha_toxic_only
,Allah!!! Yoruba suna da wayo ban taɓa gani ba,,MultilingualHateSpeechCSV,ha_toxic_only
,Na ƙaunaci kiɗa kamar yadda na ƙaunaci zaki!,,MultilingualHateSpeechCSV,ha_toxic_only
,"wannan wawa a bayan wannan kamara ba zai yi kyau tare da ku, bayan na biyan kuɗi za ku nuna mini disco hasken Abi?",,MultilingualHateSpeechCSV,ha_toxic_only
,"Babu wanda yake son kansa ya zama banza. dole ne ya koyi girmama mutane biyu. Zai iya sukar farar hula tun da yake ya ce shi ma fasto ne. Wannan ra'ayin ""zama mai tsoro & rauni saboda kai Kirista ne dalilin da ya sa har ma 'yan ta'adda yanzu suna samun ƙarfin hali su hallaka Krista. Shin kun taɓa jin labarin"" Bishara ta Turai? """,,MultilingualHateSpeechCSV,ha_toxic_only
,"Gwamna Oyetola ya yi rashin nasara a kan jami'an gwamnati a zaben da ya gabata. ko da yake ya biya cikakken albashinsa kuma a lokacin da ya kamata, jami'an gwamnati sun so ya biya bashin fansho wanda ya kai biliyan naira manta jihar Osun tana daya daga cikin jihohin da suka fi talauci dangane da kudaden da Fed ya bayar.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Mutumin ba zai yarda da roƙon ta ba, mutumin ya riga ya ƙi 'ya'ya mata, don haka babu wani abu a wannan duniyar da zai sa namiji ya yarda da roƙon su, saboda wannan al'amari mai kyau ya dace da mutumin. 💔 💔 💔 mata  tare da halayensu masu wayo, Allah ya cece mu 🙏 daga gare su.",,MultilingualHateSpeechCSV,ha_toxic_only
,"Ya ku wawaye, ku kira shi ƙarya. Ku nuna mini inda Buhari ya yi barazanar yaki da Fulani makiyaya.",,MultilingualHateSpeechCSV,ha_toxic_only
,"A halin yanzu ba shi da kyau a zama kabilanci. mafi yawan wadannan arewaci ne m! Shin, kai makaho?",,MultilingualHateSpeechCSV,ha_toxic_only
,Don haka za a iya gano mata masu tsabta daga dabbobi,,MultilingualHateSpeechCSV,ha_toxic_only
,"""Mu"" a mahallin shi ne Fulani janjaweed daga Futa Jalon.",,MultilingualHateSpeechCSV,ha_toxic_only
,Ina jin tausayin ƙwaryarka mai rahusa wanda zai ci gaba da kunyata ka saboda tana cikin zafi koyaushe,,MultilingualHateSpeechCSV,ha_toxic_only
,"Na san ka yi nadama da cewa bai yi amfani da kwaroron roba ba shekaru da suka wuce, domin ka kunyata dukan Ghana.",,MultilingualHateSpeechCSV,ha_toxic_only
,TYRION ne wadannan NIGGAS!!!!,,MultilingualHateSpeechCSV,ha_toxic_only
,"Ku ci ni😂 , ku 'yan Afirka ta Kudu masu jin kunya ba za ku iya kusanci ba . Kuna jin zafi sosai don zama mutum. Da alama mahaifiyarku ta bar ku ba tare da taimako ba a lokacin da kuke yaro kuma ta tafi ta hanyar lalata da kyawawan 'yan Najeriya.",,MultilingualHateSpeechCSV,ha_toxic_only
,Gaskiya ba na zargi gwamnati ba Na san PPL na lokacin da lokaci ya yi da za su yi yaƙi da duk baranda da suke kiran kansu makiyaya za su yi roƙo don rayukansu,,MultilingualHateSpeechCSV,ha_toxic_only
,"'Yan mata da suke yin kamar su wauta ne domin suna ganin yana da kyau, suna bukatar a yi musu bulala a fuska da kwanon frying....",,MultilingualHateSpeechCSV,ha_toxic_only
,'Yan mata na IGBO ne mafi yawa' 'Yan mata na Yoruba ne mafi yawa' 'Yan mata na Hausa ne mafi yawa',,MultilingualHateSpeechCSV,ha_toxic_only
,Iwo ati molebi re. Oloshi buruku,,MultilingualHateSpeechCSV,ha_toxic_only
,"To, idan ka samu zabi ba za ka zabi ni ba?",,MultilingualHateSpeechCSV,ha_toxic_only
,"Komawa zuwa baya, ka nuna maka yadda gangstar ke motsawa, dope man, Ina bukatar dope bitch, zan iya qve ka duk dope shit",,MultilingualHateSpeechCSV,ha_toxic_only
,Ƙarƙashin ƙyama,,MultilingualHateSpeechCSV,ha_toxic_only
,"Pls wani ya ga wani Garba mai hankali a kan wannan app kafin? Bcos duk Garbas da na samu ne kawai m Eg; Adamu Garba, Shehu Garba, da dai sauransu Idan ka san wani Garba da hankali, don Allah sanar da ni kafin na fara tunanin Arewa sunayen wawa yaro Garba",,MultilingualHateSpeechCSV,ha_toxic_only
,🤣🤣🤣🤣 manyan 'yan kabari,,MultilingualHateSpeechCSV,ha_toxic_only
,Wannan Yoruba mutane ne na gaskiya aljanu,,MultilingualHateSpeechCSV,ha_toxic_only
