source_id,language,language_code,original_index,condition,model,temperature,prompt_hash,toxic_input,human_reference,generated_output,raw_response,source_status,strategy,toxic_function,toxic_span,content_to_preserve,edit_operation,meaning_risk,status,error,response_id,created_utc,score,split
yo_112,Yorùbá,yo,112,structured_cot,openai/gpt-4o,0.2,543837e2b75eb7e3,Máa jẹ́ kí o jìyà lórí ohun tí o kò rò.,Abájáde nkan lè tóbi ju bó ṣe rò lọ,O lè dojúkọ ìṣòro lórí ohun tí o kò rò.,"SOURCE_STATUS: TOXIC_SUITABLE
STRATEGY: C_SOFTEN_HOSTILE_CRITICISM
TOXIC_FUNCTION: hostile criticism
TOXIC_SPAN: ""Máa jẹ́ kí o jìyà""
CONTENT_TO_PRESERVE: consequence of actions
EDIT_OPERATION: REPHRASE
MEANING_RISK: LOW
DETOX_OUTPUT: O lè dojúkọ ìṣòro lórí ohun tí o kò rò.",TOXIC_SUITABLE,C_SOFTEN_HOSTILE_CRITICISM,hostile criticism,"""Máa jẹ́ kí o jìyà""",consequence of actions,REPHRASE,LOW,ok,,gen-1787982769-TYZ9mc1FF9lgoDROiZCp,2026-08-29T05:52:50.287873+00:00,5,pilot_20
yo_112,Yorùbá,yo,112,direct,openai/gpt-4o,0.2,95c20940cab0acac,Máa jẹ́ kí o jìyà lórí ohun tí o kò rò.,Abájáde nkan lè tóbi ju bó ṣe rò lọ,Ó ṣeé ṣe kí o ní iriri àwọn ìṣòro lórí ohun tí o kò rò.,Ó ṣeé ṣe kí o ní iriri àwọn ìṣòro lórí ohun tí o kò rò.,,,,,,,,ok,,gen-1787982767-ngNAjaJqznnHY0S2bPwv,2026-08-29T05:52:48.495027+00:00,5,pilot_20
yo_124,Yorùbá,yo,124,direct,openai/gpt-4o,0.2,a44d17e062136941,Ìpò yìí jẹ́ àjálù.,Ìpò yìí kò bójú mu,Ìpò yìí jẹ́ ìṣòro.,Ìpò yìí jẹ́ ìṣòro.,,,,,,,,ok,,gen-1787982750-gX4dbYa8wGVFREz6O7A6,2026-08-29T05:52:31.813091+00:00,4,pilot_20
yo_124,Yorùbá,yo,124,structured_cot,openai/gpt-4o,0.2,ca65917b19f34eb7,Ìpò yìí jẹ́ àjálù.,Ìpò yìí kò bójú mu,Ìpò yìí jẹ́ ìṣòro.,"SOURCE_STATUS: TOXIC_SUITABLE
STRATEGY: C_SOFTEN_HOSTILE_CRITICISM
TOXIC_FUNCTION: hostile criticism
TOXIC_SPAN: ""àjálù""
CONTENT_TO_PRESERVE: description of the position
EDIT_OPERATION: REPLACE
MEANING_RISK: LOW
DETOX_OUTPUT: Ìpò yìí jẹ́ ìṣòro.",TOXIC_SUITABLE,C_SOFTEN_HOSTILE_CRITICISM,hostile criticism,"""àjálù""",description of the position,REPLACE,LOW,ok,,gen-1787982752-WNGtt3v2K3lGxupvBIBG,2026-08-29T05:52:34.111183+00:00,4,pilot_20
yo_066,Yorùbá,yo,66,structured_cot,openai/gpt-4o,0.2,08f8a9c7550b8131,Máa bá ẹ jẹ́.,N kò ní gbàgbé ohun tó ṣẹ̀lẹ̀,Máa bá ẹ sọ̀rọ̀ nípa èyí.,"SOURCE_STATUS: TOXIC_SUITABLE
STRATEGY: A_DELETE_OR_REPLACE_PROFANITY
TOXIC_FUNCTION: threat
TOXIC_SPAN: ""Máa bá ẹ jẹ́""
CONTENT_TO_PRESERVE: intention to confront
EDIT_OPERATION: REPLACE
MEANING_RISK: LOW
DETOX_OUTPUT: Máa bá ẹ sọ̀rọ̀ nípa èyí.",TOXIC_SUITABLE,A_DELETE_OR_REPLACE_PROFANITY,threat,"""Máa bá ẹ jẹ́""",intention to confront,REPLACE,LOW,ok,,gen-1787982762-dSQFCj2bzbuBPdQmVggZ,2026-08-29T05:52:43.316734+00:00,4,pilot_20
yo_066,Yorùbá,yo,66,direct,openai/gpt-4o,0.2,b89d3189cb0bb9d6,Máa bá ẹ jẹ́.,N kò ní gbàgbé ohun tó ṣẹ̀lẹ̀,REVIEW_REQUIRED,REVIEW_REQUIRED,,,,,,,,ok,,gen-1787982760-kFUF21CkLpQpQ2DIQlpm,2026-08-29T05:52:41.487294+00:00,4,pilot_20
yo_068,Yorùbá,yo,68,structured_cot,openai/gpt-4o,0.2,b6308c5774ef6bb3,Ìwọ yóò banujẹ pé o tako mi.,A lè kọ́ ẹ̀kọ́ nínú ìṣẹ̀lẹ̀ yìí; jọ̀wọ́ jẹ́ ká ṣètúnṣe,O lè rí ìyà kan nígbà tí o bá tako mi.,"SOURCE_STATUS: TOXIC_SUITABLE
STRATEGY: C_SOFTEN_HOSTILE_CRITICISM
TOXIC_FUNCTION: hostile criticism
TOXIC_SPAN: ""Ìwọ yóò banujẹ pé o tako mi.""
CONTENT_TO_PRESERVE: consequence of opposing
EDIT_OPERATION: REPHRASE
MEANING_RISK: LOW
DETOX_OUTPUT: O lè rí ìyà kan nígbà tí o bá tako mi.",TOXIC_SUITABLE,C_SOFTEN_HOSTILE_CRITICISM,hostile criticism,"""Ìwọ yóò banujẹ pé o tako mi.""",consequence of opposing,REPHRASE,LOW,ok,,gen-1787982755-I1b69atEsPMIg3bHfVYt,2026-08-29T05:52:37.241641+00:00,3,pilot_20
yo_068,Yorùbá,yo,68,direct,openai/gpt-4o,0.2,cd055d481fef87b3,Ìwọ yóò banujẹ pé o tako mi.,A lè kọ́ ẹ̀kọ́ nínú ìṣẹ̀lẹ̀ yìí; jọ̀wọ́ jẹ́ ká ṣètúnṣe,Ìwọ yóò ṣàníyàn pé o tako mi.,Ìwọ yóò ṣàníyàn pé o tako mi.,,,,,,,,ok,,gen-1787982754-fOx5LtzNLBJECOvW2KXJ,2026-08-29T05:52:35.444879+00:00,3,pilot_20
yo_109,Yorùbá,yo,109,structured_cot,openai/gpt-4o,0.2,d535f8c84074c9f9,O ti kọjá ààlà tí kò yẹ.,Ìṣe yìí kọja ààlà,O ti kọjá ààlà tí ó yẹ kí o ṣọra.,"SOURCE_STATUS: TOXIC_SUITABLE
STRATEGY: C_SOFTEN_HOSTILE_CRITICISM
TOXIC_FUNCTION: hostile criticism
TOXIC_SPAN: ""ààlà tí kò yẹ""
CONTENT_TO_PRESERVE: exceeding limits
EDIT_OPERATION: REPHRASE
MEANING_RISK: LOW
DETOX_OUTPUT: O ti kọjá ààlà tí ó yẹ kí o ṣọra.",TOXIC_SUITABLE,C_SOFTEN_HOSTILE_CRITICISM,hostile criticism,"""ààlà tí kò yẹ""",exceeding limits,REPHRASE,LOW,ok,,gen-1787982765-YzEErLqm0Kckg9lKnTeb,2026-08-29T05:52:46.745557+00:00,3,pilot_20
yo_109,Yorùbá,yo,109,direct,openai/gpt-4o,0.2,580b1490098cfa77,O ti kọjá ààlà tí kò yẹ.,Ìṣe yìí kọja ààlà,O ti kọjá ààlà tí ó yẹ.,O ti kọjá ààlà tí ó yẹ.,,,,,,,,ok,,gen-1787982763-VLcWSgEGwWxHqJBa8Bnk,2026-08-29T05:52:44.961310+00:00,3,pilot_20
