language,toxic_input,detox_output,source,split
,gbogbo wa la mọ̀ pé àwọn igbo kò lè ṣàkóso ara wọn. àìmọye ìkọ́nilẹ́kọ̀ọ́. àwọn ẹranko àti ìwà òmùgọ̀,Gbogbo wa la mọ̀ pé àwọn igbo kò lè ṣàkóso ara wọn. àìmọye ìkọ́nilẹ́kọ̀ọ́. awọn ẹranko ati ìwá òmùgọ̀,mt0xl_detox_synthetic,yo_synthetic_400
,Má ṣe fi ẹ̀yẹ fún ẹni tó ní àwọn aṣẹ́wó... OY O ni ọ̀ràn rẹ,Má ṣe fi ẹ̀yẹ fún ẹni tó ní àwọn aṣẹ́wó... OY O ni ọ̀ràn rẹ,mt0xl_detox_synthetic,yo_synthetic_400
,"Ọ̀gá mi, àwọn arábìnrin yẹn gbà pé ó yẹ kí n ṣe bẹ́ẹ̀, wọ́n sì jẹ́ onígbàgbọ́, bí ẹni tó ń gba ara rẹ̀ gbọ́ ṣe ṣe pàtàkì gan-an ni, àmọ́, wọ́n lè jẹ́ èṣù, aṣojú Jezebel","Ọ̀gá mi, àwọn arábìnrin yẹn gbà pé ó yẹ kí n ṣe bẹ́ẹ̀, wọ́n sì jẹ́ onígbàgbọ́, bí ẹni tó ń gba ara rẹ̀ gbọ́ ṣe pàtàkì gan-an ni, àmọ́, wọ́n lè jẹ́ aṣojú Jezebel",mt0xl_detox_synthetic,yo_synthetic_400
,"Mo máa ń rí i pé ó ń fìfẹ́ hàn sí mi, ó ń ṣe ara rẹ̀, ó ń jáde pẹ̀lú mi, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó sì ń ṣe ara rẹ̀.","Mo máa ń rí i pé ó ń fìfẹ́ hàn sí mi, ó ń jáde pẹ̀lú mi, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀",mt0xl_detox_synthetic,yo_synthetic_400
,Ẹ̀gàn ni yín,Ẹ̀gàn ni yín,mt0xl_detox_synthetic,yo_synthetic_400
,Ẹ̀yin ọmọkùnrin kì í ṣe ọmọlúwàbí,Ẹ̀yin ọmọkùnrin kì í ṣe ọmọlúwábí,mt0xl_detox_synthetic,yo_synthetic_400
,"O ti gba fulani moles, ki o gbadun awọn irin ajo","O ti gba fulani moles, ki o gbadun awọn irin ajo",mt0xl_detox_synthetic,yo_synthetic_400
,"Ó wá sọ pé, ""Ó ṣòro fún mi láti sọ èyí, àmọ́ màá sọ ọ́ láìka ohun tó ṣẹlẹ̀ sí""...","Ó wá sọ pé, ""Ó rọrùn fún mi láti sọ èyí, àmọ́ maá sọ ọ́ láìka ohun tó ṣẹlẹ̀ sí...",mt0xl_detox_synthetic,yo_synthetic_400
,O jẹ́ àdàkàdekè,O jẹ́ àdàkàdekè,mt0xl_detox_synthetic,yo_synthetic_400
,Jọwọ gbogbo awọn obinrin yii pẹlu ọpọlọ ẹja biko ti o ba ti o ba ti o nlo 200k ni gbogbo osu ki o si o jẹ ki o jẹ ki o dara lati bẹrẹ kan ìdílé,Jọwọ gbogbo awọn obinrin yii biko ti o ba ti o ba ti o nlo 200k ni gbogbo osu ki o si o jẹ ki o dara lati bẹrẹ kan ìdílé,mt0xl_detox_synthetic,yo_synthetic_400
,"Lójijì, èyí tó pọ̀ jù lára àwọn obìnrin Arewa ló máa ń bá Maryam Sanda ṣọ̀fọ̀ lẹ́yìn tí wọ́n ti pa ọkàn kan.","Lójijì, èyí tó pọ̀ jù lára àwọn obìnrin Arewa ló máa ń bá Maryam Sanda sọ̀fọ̀ lẹ́yìn tí wọ́n ti pa ọkàn kan.",mt0xl_detox_synthetic,yo_synthetic_400
,Àwọn èèyàn tí kò mọ nǹkan kan,Awọn eniyan ti ko mọ nkankan,mt0xl_detox_synthetic,yo_synthetic_400
