language,toxic_input,detox_output,source,split
,"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi  ko si iye owo to to fun u",,MultilingualHateSpeechCSV,yo_toxic_only
,"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ní báyìí, àwọn ọmọ ogun fulani ti ń fipá bá àwọn obìnrin lò pọ̀, a ti rí i pé àwọn olùṣọ́ àgùntàn fulani, àwọn aládùúgbò fulani àti fulani bokoharam ni àwọn ẹranko pàápàá ń gba ìyọ́nú àwọn obìnrin, èyí tó túmọ̀ sí pé àwọn ọmọ ogun fulani kò ju àwọn ẹranko lọ.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ní báyìí mo ti mọ ibi tí ìfẹ́ ọkàn yín wà, láti ní orílẹ̀-èdè kan tí wọ́n ṣe ní irú àwọn ọmọ ẹ̀sìn Ìsálómù tí wọ́n ń ṣe ní ààlà.",,MultilingualHateSpeechCSV,yo_toxic_only
,Gbogbo eniyan ni lati wa ni Ashewo fun Ile-iṣẹ abeg... bitch shaming ko si ohun titun!,,MultilingualHateSpeechCSV,yo_toxic_only
,Ẹ fi ẹ̀rù bà á yín.,,MultilingualHateSpeechCSV,yo_toxic_only
,Ẹ̀yìn àtìpó tí ń bẹ láàyè 😭😂😂😂,,MultilingualHateSpeechCSV,yo_toxic_only
,kò sí ẹ̀bi rẹ tí kò fi mọ́ ẹ̀kọ́ ilé.,,MultilingualHateSpeechCSV,yo_toxic_only
,"Ọ̀nà tí mi ò fi nífẹ̀ẹ́ àwọn orin Yorùbá ehh, bó tilẹ̀ jẹ́ pé mi ò rí bí wọ́n ṣe ń sọ nǹkan",,MultilingualHateSpeechCSV,yo_toxic_only
,mo ò mọ ohun tí ọkùnrin macaroni yẹn ń gbìyànjú láti ṣe nínú àwọn àròsọ tí kò wúlò tí ó fi sí ayélujára. láti fi ojú àwọn obìnrin ṣe ohun tó yẹ kó ṣe títí dé fífi ohun tó dára gbéjà ko oògùn olóró. ọmọkùnrin yẹn ò ní èrò inú. ó ń sọ̀rọ̀ burúkú nípa nàìjíríà ṣùgbọ́n ó kọ̀ láti dá ara rẹ̀ lẹ́bi.,,MultilingualHateSpeechCSV,yo_toxic_only
,"Àwọn ọmọ Nàìjíríà ń ṣiṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́",,MultilingualHateSpeechCSV,yo_toxic_only
,O sọ pé ó máa rọrùn fún PDP láti ṣe bíi,,MultilingualHateSpeechCSV,yo_toxic_only
,Home akọkọ duro ti n ṣaṣeyọri akoko rẹ ti n ṣaṣeyọri awọn Southerners jẹ awọn afiniṣeleri ko ti wọn celeb tabi eyikeyi eniyan ti o wa ni gbangba n ṣe iranlọwọ fun wa ti n ṣaṣeyọri ṣugbọn awọn celeb ati awọn eniyan ti o wa ni gbangba ko ni yi ihuwasi  ♂️ nibẹ gbọdọ wa ni a farasin eto ,,MultilingualHateSpeechCSV,yo_toxic_only
,O jẹ aṣiwere fun ṣiṣe eyi si ara rẹ ... odeh,,MultilingualHateSpeechCSV,yo_toxic_only
,"Ọmọbìnrin mi tó ti pé oṣù mẹ́ta béèrè bóyá o rántí pé o ti kú, àti pé o ti kú.",,MultilingualHateSpeechCSV,yo_toxic_only
,": Orúkọ tí IPOB máa ń fún àwọn Fulani Janjaweed, àìsàn gíga ẹ̀jẹ̀ sì máa ń mú kí wọ́n di ara wọn òmùgọ̀, wọ́n sì máa ń ṣe...",,MultilingualHateSpeechCSV,yo_toxic_only
,O yoo ni isoro pẹlu rẹ jẹ gay gangan ni awọn ara rẹ isoro sigh .. o homophobic bitch yẹ ki o kọ bi o ṣe le mu omi ati ki o ronu nipa rẹ ibalopo :-x,,MultilingualHateSpeechCSV,yo_toxic_only
,"àwọn kan lára àwọn ará àríwá tó kẹ́kọ̀ọ́ dáadáa ṣì ò mọ ohun tó ń mú kí àwọn èèyàn yín hùwà bí ẹranko, ẹ̀yin ò mọ ohun tó ń fa ìṣòro yín, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Orílẹ̀-èdè yín ń ṣubú, àwọn ọmọdé ẹlẹ́dẹ̀ yìí kò sì ní lè borí àbúrò ńlá wọn. Ẹ̀yin ẹ̀dá ènìyàn!",,MultilingualHateSpeechCSV,yo_toxic_only
,"Mo ti rẹ́ láti rí àwọn tí wọ́n ń pe ara wọn ní ""ìgbòòrò"". Ojú ẹ̀yìn rẹ̀ kò lè tẹ́lẹ̀, kò sì lè fọwọ́ kàn ẹ̀rẹ́ ẹ̀rẹ́ ẹ̀rẹ́ rẹ láìjìnnà.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Àwọn ará gúúsù nìkan ló ń ṣe ìwádìí nípa ìṣèlú, àwọn ará àríwá nìkan ló ń ṣe ìpinnu láti wà lábẹ́ agbára.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ohun tí wọ́n ń ṣe yìí ni, ohun tí wọ́n ti ń ṣe látọjọ́ pípẹ́ yìí.",,MultilingualHateSpeechCSV,yo_toxic_only
,Ìdí nìyẹn tí Miyetti Allah fi ń fa àwọn ará Hausa tí kò jẹ̀bi sínú ọ̀ràn yìí.,,MultilingualHateSpeechCSV,yo_toxic_only
,àwọn ará àríwá yìí/àwọn ọkùnrin Fulani yìí jẹ́ àwọn ẹranko ẹhànnà títí kan Buhari fúnra rẹ̀. ó ṣe kedere látinú ìdáhùn wọn sí àwọn ìbéèrè pé wọ́n wà lẹ́yìn àwọn ìpànìyàn náà ní àṣírí,,MultilingualHateSpeechCSV,yo_toxic_only
,O wo ni ọpọlọpọ awọn eniyan Yoruba yii kii ṣe alagbeka nikan ṣugbọn tun jẹ ẹlẹgbin pupọ eyiti o jẹ idi ti wọn ko le rii ohun ti baba Ijesha ṣe aṣiṣe! ṣugbọn eyi jẹ iya ẹnikan sha abi🏼 ♀️? ati awọn ọmọ rẹ ro pe wọn ni iya️ LINK,,MultilingualHateSpeechCSV,yo_toxic_only
,Àwọn olùṣọ́ àgùntàn yìí máa ń rí orí kókókókó,,MultilingualHateSpeechCSV,yo_toxic_only
,Àwọn àwòrán: Ìpínlẹ̀ Ísálì ń yí àwọn ọmọ ogun rẹ̀ padà sí àwọn ZOMBIES tí kò bẹ̀rù ikú: Ìpínlẹ̀ Ísálì ń... LINK,,MultilingualHateSpeechCSV,yo_toxic_only
,"Lol: Àì, bọ́ọ̀sì ọjọ́"": Ṣé ọjọ́ ìbéèrè òmùgọ̀ ni lónìí????????: ọmọdé, ṣé ìwọ ni obìnrin ẹlẹ́yà ara ẹni?""""""",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ìfẹ́ dùn, ṣùgbọ́n àwọn obìnrin Nàìjíríà jẹ́ ẹni burúkú",,MultilingualHateSpeechCSV,yo_toxic_only
,"Nígbà tí màmá rẹ bá gbà pé o jẹ́ òmùgọ̀, á dà bí Jennifer tó ń mú Sharwama àti àjàrà bò ó sì ń padà wá.",,MultilingualHateSpeechCSV,yo_toxic_only
,"""Àwọn ọkùnrin aláfẹ̀ẹ́ ara ẹni tí wọ́n ń rán owó sí i lẹ́yìn tó sọ fún wọn pé òun kì í ṣe aláfẹ̀ẹ́ ara ẹni"" jọ pé ó ń gbìyànjú láti rí owó tí kò tó nǹkan fún àwọn ọkùnrin aláfẹ̀ẹ́ ara ẹni.",,MultilingualHateSpeechCSV,yo_toxic_only
,Dope orí Nigerians mejeeji ọkunrin ati obinrin gonna ri d jade ti DAMILO DAMOCHE ahhhhhhhhh OMG,,MultilingualHateSpeechCSV,yo_toxic_only
,Gbogbo àwọn ọmọbìnrin Hausa tí ẹ̀yà wọn kéré àti ẹ̀yà ara wọn tó tóbi...,,MultilingualHateSpeechCSV,yo_toxic_only
,"Àwọn ọmọ ìlú Lagos ni àwọn ọ̀daràn, àwọn Staphylococcuserus nìkan ni kòkòrò tó ń tà àwọn oògùn aṣẹ́wó sí àwọn aláìmọ̀.",,MultilingualHateSpeechCSV,yo_toxic_only
,"♥♥♥"": Mo nífẹ̀ẹ́ ọmọ mi ...ó ń bá mi ṣòfò... """,,MultilingualHateSpeechCSV,yo_toxic_only
,"Mo búra pé tí orí rẹ̀ bá ti tọ́, ọmọbìnrin tí kò ní nǹkan kan...",,MultilingualHateSpeechCSV,yo_toxic_only
,Alágàbàgebè,,MultilingualHateSpeechCSV,yo_toxic_only
,"àwọn ará àríwá ń fi ẹ̀gbin ṣàn bí wọ́n ti ń ṣe, ìparí ìṣekúṣe tí kò dára yìí ti dé.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Kò sí ẹran ọ̀sìn tó yẹ kí ẹ fi ẹ̀mí yín sílẹ̀, kò sì sí àkúnya ọ̀sìn tó yẹ kí ẹ fi ìyàwó yín sílẹ̀!",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ó ṣeni láàánú pé, ìrísí lè tanni jẹ.",,MultilingualHateSpeechCSV,yo_toxic_only
,Allah ya hada shi da dai dai shi.,,MultilingualHateSpeechCSV,yo_toxic_only
,"àmọ́ àwọn ọmọ ogun nàìjíríà ti ń lépa ipob àti èsn ní gúúsù ìlà oòrùn, nígbà tí àwọn apaniyan Fulani Herdsmen ń bá àwọn ìwà ìkà wọn lọ ní kaduna àti ekiti lónìí.",,MultilingualHateSpeechCSV,yo_toxic_only
,Àwọn ọmọbìnrin kò lè pa mi mọ́!!!!!!,,MultilingualHateSpeechCSV,yo_toxic_only
,Ìtìjú ńlá lo jẹ́ fún AREWA.,,MultilingualHateSpeechCSV,yo_toxic_only
,"Sharap..bí ẹni pé o sàn ju"": igbo boi ń kọ Oku ní okwu... Ọlọ́run ń wo ọ ní 3D""",,MultilingualHateSpeechCSV,yo_toxic_only
,"Kì í ṣe àwọn olè tó ń kó àwọn nǹkan jọ, bí kò ṣe àwọn tó ní í ṣe pẹ̀lú òfin...",,MultilingualHateSpeechCSV,yo_toxic_only
,O kò ní jẹ́ fún orílẹ̀-èdè mi Abeg lọ wá orílẹ̀-èdè rẹ nígbà náà o bá ti bá baba rẹ̀ bọ̀,,MultilingualHateSpeechCSV,yo_toxic_only
,"Àwọn obìnrin kan ò tiẹ̀ fẹ́ bá ọ̀rẹ́ wọn tí wọ́n jọ ń gbé jáde, wọn ò sì sọ̀rọ̀ nípa ọkọ wọn.",,MultilingualHateSpeechCSV,yo_toxic_only
,"Ọ̀gbẹ́ni mazi Nnamdi Kanu jẹ́ ẹlẹ́wọ̀n ẹ̀rí ọkàn, ó sì gbọ́dọ̀ tú òun sílẹ̀ láìnídìí nínú ẹ̀wọ̀n ẹ̀rí ìjọba ọlọ́pàá nítorí pé ó ń ṣètìlẹ́yìn fún àwọn apániláyà tó ń pa àwọn ọmọ orílẹ̀-èdè Nàìjíríà láìnídìí",,MultilingualHateSpeechCSV,yo_toxic_only
,"Orji kalu jẹ malu, ọ̀daràn àti ọmọ ọ̀daràn.",,MultilingualHateSpeechCSV,yo_toxic_only
,O ti di alagbákò bí o bá rò pé Buhari yóò dìbò fún Igboman tí ipò rẹ bá yí padà.,,MultilingualHateSpeechCSV,yo_toxic_only
,"ó kéré tán, ó ní àwọn ọmọ orílẹ̀ - èdè míì tó ń gbé nílùú náà, ó sì ní àwọn ọmọ orílẹ̀ - èdè míì tó ń gbé nílùú náà.",,MultilingualHateSpeechCSV,yo_toxic_only
,"àwọn obìnrin ni àwọn alágàbàgebè tó ga jù lọ láyé àtijọ́, gbogbo àwọn ẹ̀dá yìí ni nítorí pé kò sí ohun tó yí wọn ká.",,MultilingualHateSpeechCSV,yo_toxic_only
,O ti wa ni aibalẹ nipa sisọ rẹ agbegbe ati kidnapping ni kanna gbolohun. O ṣeun si Ọlọrun Day o talaka ti o ko ba fun won don kidnapping o gan fun wipe ẹgbẹ rẹ,,MultilingualHateSpeechCSV,yo_toxic_only
,"ìṣòro náà kì í ṣe ti àwọn ará àríwá, ìṣòro náà ni ti àwọn ará àríwá tí wọ́n ń fi ìsìn ṣáájú aráyé. ìṣèlú yìí kì í ṣe eré kan, ó sì ṣeni láàánú pé àwọn ẹ̀yà àríwá tó ń ṣe eré ìnàjú tó mọ́gbọ́n dání ju àwọn ẹ̀yà àríwá àtàwọn ẹ̀yà yòókù lọ. ṣùgbọ́n a mọ̀ pé a lè ràn wá lọ́wọ́ gbogbo wa.",,MultilingualHateSpeechCSV,yo_toxic_only
,"èmi náà jẹ́ ọmọ ígbo, o sì jẹ́ òmùgọ̀ gan - an pé o ń pe onye ara. ó tọ́, o sì ní láti bójú tó ohun tó sọ. òmùgọ̀.",,MultilingualHateSpeechCSV,yo_toxic_only
,Yakubu Gowon tó ta àwọn èèyàn rẹ̀ fún àwọn apaniyan wọn nítorí agbára tó ń kọjá lọ.,,MultilingualHateSpeechCSV,yo_toxic_only
