source_dataset,source_config,source_split,id,language,label,length,toxic_input_raw,toxic_input_processing,existing_parallel_overlap,phase1_status
AfriHate,xho,train,train_isixhosa_01809,isiXhosa,Abuse,41,"but brains dololo, isibhanxa nyani! ##url","but brains dololo, isibhanxa nyani! URL",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02634,isiXhosa,Hate,42,@username yazi ngizodakelwa ikwerekwere 🤣🤬,@USER yazi ngizodakelwa ikwerekwere 🤣🤬,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_01797,isiXhosa,Hate,50,@username lol ngiyakhuza uzoba isidudla esifishane,@USER lol ngiyakhuza uzoba isidudla esifishane,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00723,isiXhosa,Abuse,73,lamasimba osendelwa incanca kwi dm isuka phi? hayibo kudala ndinyamezele.,lamasimba osendelwa incanca kwi dm isuka phi? hayibo kudala ndinyamezele.,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02364,isiXhosa,Abuse,45,@username yambona kodwa umuntu ka zee? igeza!,@USER yambona kodwa umuntu ka zee? igeza!,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_00730,isiXhosa,Abuse,42,@username then sundibulisela umnqundu ke 😏,@USER then sundibulisela umnqundu ke 😏,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00313,isiXhosa,Abuse,60,@username wang’biza nges’cefe engathi ng’phaka kini....mdidi,@USER wang’biza nges’cefe engathi ng’phaka kini....mdidi,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01263,isiXhosa,Abuse,102,"fifi needs a stylist and needs to gain abit of weight.  ngathi uyanuka nje futhi, angikho sure ngaye 😔","fifi needs a stylist and needs to gain abit of weight. ngathi uyanuka nje futhi, angikho sure ngaye 😔",False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01855,isiXhosa,Abuse,56,"@username 🙆🏾‍♂️ bathumele kum ke, khe ndiphoxe isibhanxa","@USER 🙆🏾‍♂️ bathumele kum ke, khe ndiphoxe isibhanxa",False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02333,isiXhosa,Hate,95,@username esingaka sona isidudla esiyisishumani neyo condom ngeke ilunge ingacane kongaka umntu,@USER esingaka sona isidudla esiyisishumani neyo condom ngeke ilunge ingacane kongaka umntu,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02081,isiXhosa,Abuse,68,@username yee wena tumi... in xhosa sukuphambana!!! unxilile kwedini,@USER yee wena tumi... in xhosa sukuphambana!!! unxilile kwedini,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01576,isiXhosa,Abuse,24,uyawaz umsunu 😂😂😂😂 ##url,uyawaz umsunu 😂😂😂😂 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00303,isiXhosa,Abuse,48,@username yeyi wena idiot nguyihlo msunu kanyoko,@USER yeyi wena idiot nguyihlo msunu kanyoko,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00144,isiXhosa,Abuse,39,@username lol kuzalwa igeza kanti. 🤣🎂🎊🎉,@USER lol kuzalwa igeza kanti. 🤣🎂🎊🎉,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00071,isiXhosa,Abuse,111,@username ndonqena nothukisa ngezinye ilwimi ngoba nditsho kubekanye uba futsek then umntu amise ubucopo bakhe.,@USER ndonqena nothukisa ngezinye ilwimi ngoba nditsho kubekanye uba futsek then umntu amise ubucopo bakhe.,False,raw_native_annotated_toxic
