language,toxic_input,detox_output,source,split
yo,gbogbo wa la mọ̀ pé àwọn igbo kò lè ṣàkóso ara wọn. àìmọye ìkọ́nilẹ́kọ̀ọ́. àwọn ẹranko àti ìwà òmùgọ̀,"Ojú omi ń tè sì ènìyàn kan, ọkan l'ewa ni ojú rí. Ìṣẹ̀sẹ̀ ọlọrun rẹ, ó fẹ́ràn gbọdọ̀.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,Má ṣe fi ẹ̀yẹ fún ẹni tó ní àwọn aṣẹ́wó... OY O ni ọ̀ràn rẹ,Ehin lo le fi ojú ènìyàn kan gbogbo àwón ẹran.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,"Ọ̀gá mi, àwọn arábìnrin yẹn gbà pé ó yẹ kí n ṣe bẹ́ẹ̀, wọ́n sì jẹ́ onígbàgbọ́, bí ẹni tó ń gba ara rẹ̀ gbọ́ ṣe ṣe pàtàkì gan-an ni, àmọ́, wọ́n lè jẹ́ èṣù, aṣojú Jezebel","Ọgá ree, eni to ba ṅ bínú, ṥiipo kí o Ṣé bẹ é, àti àwon ọmọ mọran, tí aye jẹ ọkanlomo, a Ṥo ṣiṣẹ si.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,"Mo máa ń rí i pé ó ń fìfẹ́ hàn sí mi, ó ń ṣe ara rẹ̀, ó ń jáde pẹ̀lú mi, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó ń ṣe ara rẹ̀, ó sì ń ṣe ara rẹ̀.","Ara rẹ ń fi ńrín wá, èsì kó sí àti àṣàmọrí mí, àti ńgbanjúwóni sí bámi.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,Ẹ̀gàn ni yín,Ojú tí o wón fi fún àgbéyi.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,Ẹ̀yin ọmọkùnrin kì í ṣe ọmọlúwàbí,Oṣóòrí ènìyàn kò gbèẹ́ wá láti tèsínú.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,"O ti gba fulani moles, ki o gbadun awọn irin ajo","Ojú ẹni t'ó ṣe nṣe, kí ó ṅbá àkọ́kọ̀.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,"Ó wá sọ pé, ""Ó ṣòro fún mi láti sọ èyí, àmọ́ màá sọ ọ́ láìka ohun tó ṣẹlẹ̀ sí""...","E kó ḿa gbọ́ pé, ènìyàn ńṣe fún mí nítorí èyì, kí n ṣi àṣẹ lára.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,O jẹ́ àdàkàdekè,Ó ṣe èṣùpọ̀.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,Jọwọ gbogbo awọn obinrin yii pẹlu ọpọlọ ẹja biko ti o ba ti o ba ti o nlo 200k ni gbogbo osu ki o si o jẹ ki o jẹ ki o dara lati bẹrẹ kan ìdílé,"Ogunyinwo gbogbon obinran ti won ni ogun ọkunrin ti omo l'oriṣa fun toba ni ibi ti aye ni 200,000 nitori awon onise.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,"Lójijì, èyí tó pọ̀ jù lára àwọn obìnrin Arewa ló máa ń bá Maryam Sanda ṣọ̀fọ̀ lẹ́yìn tí wọ́n ti pa ọkàn kan.","Baba ni, àwọ́nnu àti ìṣe àgbéè àwón obìrin Arewan laarin re sínú iṣẹ̀lẹ̀ Maryam S.",llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
yo,Àwọn èèyàn tí kò mọ nǹkan kan,Ó wà ní ibi ti àwọn ńsó sí.,llama3.1_8b_abliterated_oneshot,yo_pseudollama_400
