id	tweet	label	length
train_isixhosa_00166	"imali umxabanisi! ""@username : singabangani impela, kodwa ubungani bethu mabungafiki emalini..."""	Normal	96
train_isixhosa_01142	@username 😂😂😂 lugezo olo uthiye injubaqa yomntana ngegama lam.	Abuse	62
train_isixhosa_01071	"😳😳😳😳😆😆😆 “@username : ""isifebe sibalulekile kwi food chain"" 😂😂😂😂😂😂”"	Abuse	66
train_isixhosa_00658	makuvalwe neemens clinics ezi..  ewileyo incanca mayilale ngoxolo mntakabawo.	Normal	77
test_isixhosa_00042	umnqundu uqale apho, njani? ##url	Abuse	33
train_isixhosa_02212	ndiphantse ndathi akana pipi lomntu wakho ##url	Abuse	47
train_isixhosa_01709	ayikho into enyanyisa indoda yomxhosa njengokubizwa inkwenkwe 😂😂😂.	Normal	66
train_isixhosa_02376	lmao rt @username : khumbulekhaya is getting deep, next thing kogoduswa inkwenkwe ebaleka ukwaluka aymsho	Normal	105
test_isixhosa_00319	vele ukhabe isibhanxa qha wena. ##url	Abuse	37
test_isixhosa_00418	"@username ""utye ibhentse ukba uyafuna"" tjo diamond 🤣🤣🤣🤣🤣🤣"	Normal	57
dev_isixhosa_00293	inkawu ityiwa ilila imfene isinda gokugoloza.asizukutya nkawu sifuna imfene ubuqu ##url	Normal	87
train_isixhosa_02654	@username #masigoduke ndandiqhele ukuva kusithiwa iquigney igcwele oomarhosha tjoo ndithe ndisohlala apha ndazbonela  @username !	Abuse	129
dev_isixhosa_00018	@username o yini inxilakazi lasekhaya madoda🤣🤣🤣🤣🤣❤️	Abuse	51
train_isixhosa_02495	"lol rt""@username ehban 😢 kumnandi neh “@username : home time... thina esingasebenzi ikula ke lol”"	Hate	97
dev_isixhosa_00232	@username lol masithembe uyamazi ''unomokhwe'' yintoni😂😂😂 infact ukuqhibile	Abuse	75
train_isixhosa_00653	indoda iyakhala: “andinayo incanca, yaqhawuka esibhedlele emva kokuba ndibethwe ngamakhankatha amane...: ##url	Normal	110
train_isixhosa_01635	@username inkawu ityiw'ilila imfene isinda  ngogoloza	Normal	53
dev_isixhosa_00103	mxelele wethu yhu ukuqhela ikaka 🤣😂🤣 ##url ##url	Abuse	48
train_isixhosa_01383	uzakutya yonke into oyifunayo is very important xa uplita isidudla.	Hate	67
train_isixhosa_01287	@username ndiyavuya ke nkothovu yakuthi.	Normal	40
train_isixhosa_01197	"@username isho kahle uthi ""mdidi"" wenja 🤣🤣🤣🤣🤣🤣"	Abuse	46
train_isixhosa_01557	@username lol august will come kuvele kunuke umsunu futhi 😂😂😂😂😂😂	Abuse	64
dev_isixhosa_00511	kukho iqhalo elithi ihule lilala kwibedi ngebedi	Abuse	48
train_isixhosa_02396	kwedini soso uyaskoma ngoku? ##url	Abuse	34
dev_isixhosa_00141	@username cacile nakhuliswa ngotefiswa do you call that assault ngokukhuza isela	Normal	80
test_isixhosa_00225	awuthi sibambe a light snack and drinks kwa-s'phiwe. @ ilawu botanical hotel &amp; studios ##url	Normal	96
train_isixhosa_01710	inoba ndim isibhanxa apha 😭	Abuse	27
train_isixhosa_02060	ndinxila ikaka shame xa sendithi drink🤦🏼‍♂️	Abuse	43
train_isixhosa_01960	“uyabhequza umnt’ ozal’ inkwenkwe” is the real song of the year for 2021 🔥	Normal	74
train_isixhosa_01689	@username y zezam? ndithathela abantu amavirginity nha? usundenza utsotsi wama virginity manje🤣🤣🤣	Normal	97
dev_isixhosa_00452	@username silinde wena apha buthe yeza kwedini ngok uduke engceni xakufiki xesha	Abuse	80
test_isixhosa_00552	😂 😂 niyeke usixelela sinxila ikaka nafuthi ##url	Abuse	48
train_isixhosa_00296	@username mdidi musukudlala ngengane yakho kanje 🤣🤣🤣👌💝	Abuse	54
dev_isixhosa_00333	umnqundu uqala apha ke umntu ongawaziyo. ##url	Abuse	46
train_isixhosa_01221	@username mhlawumbe siyibeke ngembaba ... impimpi	Normal	49
train_isixhosa_00540	@username unxilile kwedini 😂😂😂 ##url	Abuse	36
train_isixhosa_02472	@username unyoko umgodoyi wena nja yenja! ungazong’xhaphela masimba ohlanya.	Abuse	76
train_isixhosa_01176	😂😂😂😂😂😂😂😂😂lol lol ugowishela inxila imagine😂 ##url	Normal	49
train_isixhosa_01487	a drunk man once said 'msunu kanyoko' to my dad phambi kwami 😂😂😂 all he said was 'uma njalo loyo' 💔	Abuse	99
train_isixhosa_00201	uhili akakphumi ezingcongolweni nangoku enaturena?	Normal	50
test_isixhosa_00174	n'bheke amagama wabo bayazazi ukuthi yiy'mfene	Abuse	46
train_isixhosa_01796	umlomo uwakho uyanuka.. #whatjayzsaidtosolange	Normal	46
train_isixhosa_01815	lontombazane from uyangthanda na uzitholele isilambi somuntu vele	Abuse	65
train_isixhosa_00698	ngase utsho kwesinye isibhanxa ##url	Abuse	36
train_isixhosa_01054	@username 😂😂 ingcuka yombethe ifele legusha hahaha ##url	Normal	56
train_isixhosa_01880	"""kwedini! kwedini! i-🔪-hli-🔪-nzwa-🔪-ka-🔪-nje igusha!"" ##url"	Normal	59
train_isixhosa_00510	being called a youngin is cool but inkwenkwe, uyanga mxhosa ndini	Normal	65
dev_isixhosa_00549	@username camera seyilapha uzobaleka? ndingathi govo isidalwa sikhathixo mna ndibuze uluyanda ba ikhona enye into	Normal	113
train_isixhosa_02398	@username 😂😂😂😂🙈. uthuka isicaka sikathixo ubonanje.	Normal	51
train_isixhosa_00861	@username khohlwa inkawu niyeke ukusiyuza😹	Hate	42
train_isixhosa_01302	ingathi bangatyiwa ezimpundu izigcwele ikaka. ##url	Abuse	51
train_isixhosa_02420	‘inkwenkwe yakhe’ 😂	Normal	19
train_isixhosa_02315	@username yintoni lempesu solidi ndiyiva yenza abantu ihagu	Normal	59
train_isixhosa_01858	@username usekwa pha kwi anc umbulali nje futhi bayabazi	Normal	56
train_isixhosa_01598	lol!! #lrt... ukuhleka nge pipi ke lokhuya..	Normal	44
train_isixhosa_02002	imenemene, imencu 🤔😶 ##url	Normal	26
dev_isixhosa_00513	"uthi ufakela umakhelwane wakho i airtime ubone igama leoulady lakho ulisaver as ""imenemene"" do a quick search for yours and thank me later ##url"	Normal	144
test_isixhosa_00545	"guys yintoni ""utsotsi wempundu.""?😂"	Normal	34
test_isixhosa_00229	yho ecrossroads, masomali berojwa, ladubula utsotsi oyi1 ngoku abahlali babetha kwa amasomali :(	Normal	96
test_isixhosa_00055	inja yasema khaya lol uyinja ugqoka e dunns malume. kopela kimi phela ama lebuli ##url	Abuse	86
train_isixhosa_02522	sabela was killed very nice 😄😄, impimpi yenzwa njalo #sarafina	Normal	62
train_isixhosa_00377	umxabanisi 🙉🤣 abazali abasithembi ngenxa nje ke hee hee hee nge sonto ekseni 🤣🤣🤣🤣🤣🤣🤣🤣 @username ##url	Normal	101
train_isixhosa_02366	basiqhela inja abelungu tbqh	Normal	28
train_isixhosa_01622	le weather indenza isibhanxa yazi 😠😠😠.	Abuse	38
dev_isixhosa_00270	andimbi ngathi ndimithe inkwenkwe😣	Normal	34
train_isixhosa_01843	@username zamnandi izingoma ngizbhekise kumndeni wakwa thusi o mfene o gcwabaza	Normal	79
train_isixhosa_01512	@username ukwanda kwaliwa umthakathi🙌🏾	Normal	38
train_isixhosa_02625	inkwenkwe in my mentions!	Normal	25
train_isixhosa_01210	@username i wits igeza gqitha kwaye inobuhlanga too much, so isebe lemfundo malingenelele lize nesisombululo kengxaki	Normal	117
train_isixhosa_00565	@username iqaba lase mampondweni liyazi fanela nozamangwanya 😂	Abuse	62
train_isixhosa_02076	kunganya isifebe, kudabuke imomozi ngifica ingane yami yenziwa nje😡 ##url	Abuse	73
test_isixhosa_00261	@username kuyasho ukuthi igeza lensizwa	Abuse	39
train_isixhosa_02148	baxhonkxwa besebatsha, sad in this case kwakhiwa isidlwengu 🙆🏼‍♂️ ##url	Normal	71
train_isixhosa_02037	@username zivume ulelincanyiweyo inxila😂😂	Normal	41
dev_isixhosa_00113	@username . tjo kutheni undiphoxa ngoku ntonkozana ehle ingathi igeza ngobisi.	Normal	78
