language,language_code,source_id,toxic,detox,source,source_dataset,afrihate_label,judge_decision,human_decision,human_comments,human_reviewed
isiXhosa,xh,dev_isixhosa_00007,uthetha umsunu kwedini! URL,Uthetha izinto ezingaqondakaliyo apha!,afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00020,yawthetha umsunu lo dzudzu yazi. URL,"Uyathetha izinto ezingaqondakaliyo, yazi.",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00037,"brother wam uthi bakhe bayovotisa abantu abadala ezindlini so babuza lo makhulu uzawvotela nton yena wathi ""ndizovotela umnqundu"" 😭","brother wam uthi bakhe bayovotisa abantu abadala ezindlini so babuza lo makhulu uzawvotela ntoni yena wathi ""ndizovotela umntu"" 😭",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00045,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt","Inkazana, nceda ungandixeleli ukuba ndithini ngemali yam #lrt",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00045,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt",Akufuneki ukuba inkazana indixelele ndenze ntoni ngemali yam #lrt,afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00045,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt",Andiyithandi le nto; umntu undixelela ukuba ndenzeni ngemali yam. #lrt,afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00095,kwedini 😂😭😂😭😂 ungaphinde uthi masikusindise kwezi ntwana URL,"Nceda ungaphindi uthi ""masikusindise kwezi ntwana"".",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00102,"@username ahhh kodwa lol @username uzizwele rt @username : @username msebenzi womchamo, futsek nalowo msebenzi wakhe","@username ahhh kodwa lol @username uzizwele rt @username : @username umsebenzi ongafanelekanga, nceda shintsha lowo msebenzi wakhe",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00105,@username kungenaphi lokho mdidi,"@username kungenaphi lokho, nceda uchaze",afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
isiXhosa,xh,dev_isixhosa_00118,and angathushuka lapho emfuleni ngoba naye umthakathi bae ave ehlupha URL,Akafanele athushuke emfuleni ngoba naye wayehlupha abantu.,afrihate_human_reviewed,AfriHate,Abuse,accepted,ACCEPT,,True
