row_id,source_id,language,condition,toxic_input,generated_output,verification_status,error,verifier_model,verifier_raw_response,source_status,detox_status,toxicity_removed,meaning_preserved,naturalness,language_correct,new_content_added,generic_template,copied_input,reason,native_review_required,response_id,created_utc
0,yo_124,Yorùbá,direct,Ìpò yìí jẹ́ àjálù.,Ìpò yìí jẹ́ ìṣòro.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 4,
  ""naturalness"": 5,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate successfully removes the toxic element by replacing 'àjálù' (disaster) with 'ìṣòro' (problem), preserving the main meaning."",
  ""native_review_required"": true
}",toxic_suitable,accepted,True,4,5,True,False,False,False,"The candidate successfully removes the toxic element by replacing 'àjálù' (disaster) with 'ìṣòro' (problem), preserving the main meaning.",True,gen-1787983480-m3qIlW0IggtUDbjNxDZV,2026-08-29T06:04:42.457348+00:00
1,yo_124,Yorùbá,structured_cot,Ìpò yìí jẹ́ àjálù.,Ìpò yìí jẹ́ ìṣòro.,ok,,openai/gpt-4o,"{
  ""source_status"": ""not_toxic"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 4,
  ""naturalness"": 5,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The source sentence is not toxic, and the candidate provides a less severe interpretation while preserving meaning."",
  ""native_review_required"": true
}",not_toxic,accepted,True,4,5,True,False,False,False,"The source sentence is not toxic, and the candidate provides a less severe interpretation while preserving meaning.",True,gen-1787983482-QuEuez5EGsleml4yvdr1,2026-08-29T06:04:44.318969+00:00
2,yo_068,Yorùbá,direct,Ìwọ yóò banujẹ pé o tako mi.,Ìwọ yóò ṣàníyàn pé o tako mi.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 4,
  ""naturalness"": 4,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate removes the toxic element of regret and replaces it with concern, preserving the main meaning."",
  ""native_review_required"": true
}",toxic_suitable,accepted,True,4,4,True,False,False,False,"The candidate removes the toxic element of regret and replaces it with concern, preserving the main meaning.",True,gen-1787983484-5Qk4F0mb6vn0JpCxFGsD,2026-08-29T06:04:45.950687+00:00
3,yo_068,Yorùbá,structured_cot,Ìwọ yóò banujẹ pé o tako mi.,O lè rí ìyà kan nígbà tí o bá tako mi.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""rejected"",
  ""toxicity_removed"": false,
  ""meaning_preserved"": 2,
  ""naturalness"": 3,
  ""language_correct"": true,
  ""new_content_added"": true,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate introduces a threat, which retains toxicity."",
  ""native_review_required"": true
}",toxic_suitable,rejected,False,2,3,True,True,False,False,"The candidate introduces a threat, which retains toxicity.",True,gen-1787983486-HzhSH35SlG5klZp40YbG,2026-08-29T06:04:47.496004+00:00
4,yo_033,Yorùbá,direct,Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ kéré,Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ kò tóbi.,ok,,openai/gpt-4o,"{
  ""source_status"": ""not_toxic"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": false,
  ""meaning_preserved"": 5,
  ""naturalness"": 5,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The source sentence is not toxic, and the candidate maintains the meaning while using natural language."",
  ""native_review_required"": true
}",not_toxic,accepted,False,5,5,True,False,False,False,"The source sentence is not toxic, and the candidate maintains the meaning while using natural language.",True,gen-1787983487-kmid0WFylxI2VUQGUJly,2026-08-29T06:04:49.167708+00:00
5,yo_033,Yorùbá,structured_cot,Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ kéré,Ìjìnlẹ̀ ẹ̀kọ́ rẹ̀ lè ní àgbéga síi.,ok,,openai/gpt-4o,"{
  ""source_status"": ""not_toxic"",
  ""detox_status"": ""rejected"",
  ""toxicity_removed"": false,
  ""meaning_preserved"": 1,
  ""naturalness"": 3,
  ""language_correct"": true,
  ""new_content_added"": true,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The source sentence is not toxic, and the candidate changes the meaning by adding new content."",
  ""native_review_required"": true
}",not_toxic,rejected,False,1,3,True,True,False,False,"The source sentence is not toxic, and the candidate changes the meaning by adding new content.",True,gen-1787983489-ZUh1ApNVsdzEpyt7CjO2,2026-08-29T06:04:50.785710+00:00
6,yo_066,Yorùbá,direct,Máa bá ẹ jẹ́.,REVIEW_REQUIRED,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_context_required"",
  ""detox_status"": ""needs_edit"",
  ""toxicity_removed"": false,
  ""meaning_preserved"": 1,
  ""naturalness"": 1,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate requires review to determine if the source is toxic based on context."",
  ""native_review_required"": true
}",toxic_context_required,needs_edit,False,1,1,True,False,False,False,The candidate requires review to determine if the source is toxic based on context.,True,gen-1787983491-S4v7UzbJmRTiJEjOySnF,2026-08-29T06:04:52.338817+00:00
7,yo_066,Yorùbá,structured_cot,Máa bá ẹ jẹ́.,Máa bá ẹ sọ̀rọ̀ nípa èyí.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 3,
  ""naturalness"": 4,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate removes the toxic element and maintains a similar context of engagement."",
  ""native_review_required"": true
}",toxic_suitable,accepted,True,3,4,True,False,False,False,The candidate removes the toxic element and maintains a similar context of engagement.,True,gen-1787983492-kS4nXf1BXAhCkqAvZAl8,2026-08-29T06:04:53.840155+00:00
8,yo_109,Yorùbá,direct,O ti kọjá ààlà tí kò yẹ.,O ti kọjá ààlà tí ó yẹ.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 5,
  ""naturalness"": 5,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate removes the negative connotation by changing 'kò yẹ' to 'ó yẹ', making it non-toxic."",
  ""native_review_required"": true
}",toxic_suitable,accepted,True,5,5,True,False,False,False,"The candidate removes the negative connotation by changing 'kò yẹ' to 'ó yẹ', making it non-toxic.",True,gen-1787983494-pwQS1A2IoTBHJ7MqSDZl,2026-08-29T06:04:55.385495+00:00
9,yo_109,Yorùbá,structured_cot,O ti kọjá ààlà tí kò yẹ.,O ti kọjá ààlà tí ó yẹ kí o ṣọra.,ok,,openai/gpt-4o,"{
  ""source_status"": ""toxic_suitable"",
  ""detox_status"": ""accepted"",
  ""toxicity_removed"": true,
  ""meaning_preserved"": 4,
  ""naturalness"": 4,
  ""language_correct"": true,
  ""new_content_added"": false,
  ""generic_template"": false,
  ""copied_input"": false,
  ""reason"": ""The candidate removes the implicit insult and suggests caution instead."",
  ""native_review_required"": true
}",toxic_suitable,accepted,True,4,4,True,False,False,False,The candidate removes the implicit insult and suggests caution instead.,True,gen-1787983495-rsPD9azdUJceA6Gc0j67,2026-08-29T06:04:56.853675+00:00
